polity_code,polity_name,start_year,end_year,duration_years,polity_type,continent,iso3_code,cow_code,polygon_source,predecessor,successor,data_sources,verification_status,notes
RUSM-1993-2025,Smolensk (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.64_1
RUST-1993-2025,Stavropol' (Territory),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.65_1
RUSV-1993-2025,Sverdlovsk (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.66_1
RUTB-1993-2025,Tambov (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.67_1
RUTT-1993-2025,Tatarstan (Republic),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.68_1
RUTO-1993-2025,Tomsk (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.69_1
RUTL-1993-2025,Tula (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.70_1
RUTU-1993-2025,Tuva (Republic),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.71_1
RUTV-1993-2025,Tver' (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.72_1
RUTY-1993-2025,Tyumen' (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.73_1
RUUD-1993-2025,Udmurt (Republic),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.74_1
RUUL-1993-2025,Ul'yanovsk (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.75_1
RUVL-1993-2025,Vladimir (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.76_1
RUVG-1993-2025,Volgograd (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.77_1
RUVO-1993-2025,Vologda (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.78_1
RUVR-1993-2025,Voronezh (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.79_1
RUYN-1993-2025,Yamal-Nenets (Autonomous Province),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.80_1
RUYS-1993-2025,Yaroslavl' (Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.81_1
RUYV-1993-2025,Yevrey (Autonomous Region),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.82_1
RUZB-1993-2025,Zabaykal'ye (Territory),1993,2025,33,subnational,Europe,RUS,,GADM 3.6 (subnational),,,GADM,VERIFIED,Parent: RUS-2014-2025; GADM GID: RUS.83_1
