polity_code,polity_name,polity_type,continent,area_deg2,centroid_lon,centroid_lat,n_parts,n_vertices,n_holes,compactness,is_valid,span_lon,span_lat
CPV-1800-2025,Cabo Verde,sovereign,Africa,0.3375028960869569,-23.968159973263592,15.978065889908413,8,183,0,0.1008814892992907,True,2.6941685025091147,2.3812550022176566
GMB-1800-2025,Gambia,sovereign,Africa,0.8950689264306005,-15.386758451861509,13.452586935473148,1,204,0,0.09675192033411675,True,3.023055002815397,0.7714088757184783
MUS-1800-2025,Mauritius,sovereign,Africa,0.184444315881789,57.85787149978426,-20.253300023864448,2,44,0,0.5866176560127296,True,6.189445005764355,0.8463910007882838
STP-1800-2025,Sao Tome and Principe,sovereign,Africa,0.09278999833283803,6.73658835748469,0.45698595480636117,2,30,0,0.49923255139031536,True,0.9983370009297801,1.6829090015673251
SLE-1800-2025,Sierra Leone,sovereign,Africa,5.9533057323335035,-11.791775797896758,8.56017913420444,2,259,0,0.39238788657270385,True,3.028914002820926,3.0816685028700164
AGO-1816-2025,Angola,sovereign,Africa,103.81177130266067,17.54471194160729,-12.295282312345382,2,758,0,0.3763612361480307,True,12.353200011504754,13.624950012689219
MOZ-1816-2025,Mozambique,sovereign,Africa,66.9746047526447,35.5520729626441,-17.260012614330293,3,1076,1,0.1884822106488367,True,10.633091009902756,16.385640994810686
ZAF-1828-2025,South Africa,sovereign,Africa,113.13601757344674,25.092496051116957,-28.998402394876937,2,999,1,0.3035278476035245,True,21.40889101993853,24.832640523127218
DZA-1831-2025,Algeria,sovereign,Africa,213.5133119927282,2.632372947737856,28.16323674542939,1,804,0,0.5394587145278948,True,20.653691019235225,18.113463016869503
LBR-1847-2025,Liberia,sovereign,Africa,7.848530661134322,-9.307712336394504,6.448053880662668,1,246,0,0.434961883072239,True,4.096187003814834,4.169173003882847
GNB-1879-2025,Guinea-Bissau,sovereign,Africa,2.759697585839525,-14.964722270660953,12.030611601354476,7,405,0,0.11664621715958327,True,3.078541252867069,1.7596180016387653
