excel_region,match_status,polity_code,parent_code,has_polygon,polygon_source,quality_tier,needs_subnational
british bahamas,matched,BHS-1800-2025,,True,CShapes 2.0 (1886-1973),1,False
british barbados,matched,BRB-1800-2025,,True,CShapes 2.0 (1886-1966),1,False
british basutoland,matched,BAS-1884-2025,,True,CShapes 2.0 (1886-1966),1,False
british bechuanaland,matched,BEC-1885-2025,,True,CShapes 2.0 (1890-1895),1,False
british bermuda,matched,BMU-1800-2025,,True,GADM 4.1,1,False
british brunei,matched,BRN-1888-2025,,True,CShapes 2.0 (1888-1983),1,False
british burma,matched,MMR-1800-2025,,True,CShapes 2.0 (1948-2005),1,False
british cameroon,matched,BCA-1914-2025,,True,CShapes 2.0 (1922-1961),1,False
british caymans,matched,CYM-1800-2025,,True,GADM 4.1,1,False
british ceylon,matched,LKA-1800-2025,,True,CShapes 2.0 (1886-1948),1,False
british christmas,matched,CXR-1800-2025,,True,GADM 4.1,1,False
british cyprus,matched,CYP-1879-2025,,True,CShapes 2.0 (1914-1960),1,False
british dominica,matched,DMA-1800-2025,,True,CShapes 2.0 (1978-2019),1,False
british falkland islands,matched,FLK-1833-2025,,True,"GADM 3.6 (full, FLK)",1,False
british federated malay states,matched,FED-1909-1946,,True,CShapes 2.0 (1909-1946),1,False
british fiji,matched,FJI-1874-2025,,True,CShapes 2.0 (1886-1970),1,False
british gambia,matched,GMB-1800-2025,,True,CShapes 2.0 (1889-1965),1,False
british gibraltar,matched,GIB-1800-2025,,True,GADM 4.1,1,False
british gilbert and ellice,matched,GIL-1892-2025,,True,CShapes 2.0 (1999-2019),1,False
british gold coast,matched,GOL-1843-2025,,True,CShapes 2.0 (1898-1956),1,False
british grenada,matched,GRD-1800-1833,,True,GADM 4.1,1,False
british guernsey,matched,GGY-2005-2025,,True,GADM 4.1,1,False
british guiana,matched,GUY-1800-2025,,True,CShapes 2.0 (1886-1966),1,False
british honduras,matched,BLZ-1800-2025,,True,CShapes 2.0 (1886-1970),1,False
british hong kong,matched,HKG-1841-2025,,True,GADM 4.1,1,False
british india,matched,IND-1800-1947,,True,CShapes 2.0 (1886-1893),1,False
british india (by land),matched,IND-1800-1947,,True,CShapes 2.0 (1886-1893),1,False
british india (by sea),matched,IND-1800-1947,,True,CShapes 2.0 (1886-1893),1,False
british india: crown provinces,subnational,IND-1800-1947,IND-1800-1947,False,,,True
"british india: crown provinces, excluding burma",subnational,IND-1800-1947,IND-1800-1947,False,,,True
british india: excluding burma,subnational,IND-1800-1947,IND-1800-1947,True,CShapes 2.0 subtracted: India - [Myanmar (Burma)],3,True
british india: princely states,subnational,IND-1800-1947,IND-1800-1947,False,,,True
british india: south provinces,subnational,IND-1800-1947,IND-1800-1947,False,,,True
british iraq,matched,IRQ-1921-2025,,True,CShapes 2.0 (1932-2019),1,False
british jamaica,matched,JAM-1800-2025,,True,CShapes 2.0 (1886-1962),1,False
british jersey,matched,JEY-2005-2025,,True,GADM 4.1,1,False
british kenya,matched,KEN-1924-1926,,True,CShapes 2.0 (1924-1926),1,False
british kenya (european cultivation),subnational,KEN-1924-1926,KEN-1924-1926,True,"CShapes 2.0 (Kenya, 1914-1920)",2,True
british kenya and uganda,matched,BEA-1895-2025,,True,CShapes 2.0 (1926-1963),1,False
british leeward islands,matched,LEE-1800-2025,,True,GADM 4.1,1,False
british malaya,matched,BMA-1922-2025,,True,CShapes 2.0 (1909-1946),1,False
british malta,matched,MLT-1800-2025,,True,CShapes 2.0 (1886-1964),1,False
british mauritius,matched,MUS-1800-2025,,True,CShapes 2.0 (1886-1968),1,False
"british mauritius, adamawa and bornu",subnational,MUS-1800-2025,MUS-1800-2025,False,,,True
british montserrat,matched,MSR-1800-2025,,True,GADM 4.1,1,False
british nauru,matched,NRU-1888-2025,,True,CShapes 2.0 (1999-2019),1,False
british nauru and ocean island,matched,NRU-1888-2025,,True,CShapes 2.0 (1999-2019),1,False
british newfoundland,matched,NFL-1816-2025,,True,CShapes 2.0 (1886-1948),1,False
british nigeria,matched,NIG-1914-1961,,True,CShapes 2.0 (1914-1960),1,False
"british nigeria and cameroon: north provinces, adamawa and bornu",subnational,NIG-1914-1961,NIG-1914-1961,True,"CShapes 2.0 merged: Northern Nigeria, British Cameroons",2,True
british nigeria and cameroon: south provinces,subnational,NIG-1914-1961,NIG-1914-1961,True,"CShapes 2.0 merged: Southern Nigeria, British Cameroons",2,True
british nigeria: north provinces,subnational,NIG-1914-1961,NIG-1914-1961,True,"CShapes 2.0 (Northern Nigeria, 1903-1904)",1,True
british nigeria: south provinces,subnational,NIG-1914-1961,NIG-1914-1961,True,"CShapes 2.0 (Southern Nigeria, 1906-1913)",1,True
british north borneo,matched,SAB-1888-2025,,True,CShapes 2.0 (1946-1963),1,False
british north rhodesia,matched,ZMB-1964-2025,,True,CShapes 2.0 (1964-2019),1,False
british nyasaland,matched,NYA-1891-2025,,True,CShapes 2.0 (1891-1953),1,False
british nyasaland (european cultivation),subnational,NYA-1891-2025,NYA-1891-2025,True,"CShapes 2.0 (Malawi, 1891-1953)",2,True
british nyasaland (indigenous cultivation),subnational,NYA-1891-2025,NYA-1891-2025,True,"CShapes 2.0 (Malawi, 1891-1953)",2,True
british ocean island,matched,KIR-1800-2025,,True,CShapes 2.0 (1999-2019),1,False
british palestine,matched,PAL-1920-1948,,True,CShapes 2.0 (1923-1948),1,False
british saint christopher and nevis,matched,KNA-1800-2025,,True,CShapes 2.0 (1983-2019),1,False
british saint helena,matched,SHN-1800-2025,,True,GADM 4.1,1,False
british saint lucia,matched,LCA-1800-2025,,True,CShapes 2.0 (1979-2019),1,False
british saint vincent,matched,VCT-1800-2025,,True,CShapes 2.0 (1979-2019),1,False
british saint vincent (sea island),matched,VCT-1800-2025,,True,CShapes 2.0 (1979-2019),1,False
british samoa,matched,WSM-1900-2025,,True,CShapes 2.0 (1976-2019),1,False
british sarawak,matched,SAR-1841-2025,,True,CShapes 2.0 (1889-1946),1,False
british seychelles,matched,SYC-1903-2025,,True,CShapes 2.0 (1976-2019),1,False
british sierra leone,matched,SLE-1800-2025,,True,CShapes 2.0 (1895-1961),1,False
british solomon,matched,SLB-1885-2025,,True,CShapes 2.0 (1952-1978),1,False
british somaliland,matched,BSO-1884-2025,,True,GADM 4.1 fallback,1,False
british south rhodesia,matched,ZWE-1890-2025,,True,CShapes 2.0 (1965-2019),1,False
british south west africa,matched,NAM-1884-2025,,True,CShapes 2.0 (1920-1966),1,False
british straits settlements,matched,STR-1826-1922,,True,GADM 4.1 fallback,1,False
british straits settlements: labuan,subnational,STR-1826-1922,STR-1826-1922,True,GADM admin-1: MYS [Labuan],2,True
british straits settlements: malacca,subnational,STR-1826-1922,STR-1826-1922,True,GADM admin-1: MYS [Melaka],2,True
british straits settlements: penang,subnational,STR-1826-1922,STR-1826-1922,True,GADM admin-1: MYS [Pulau Pinang],2,True
british straits settlements: singapore,subnational,STR-1826-1922,STR-1826-1922,True,GADM admin-0: SGP,2,True
british swaziland,matched,SWZ-1894-2025,,True,CShapes 2.0 (1902-1968),1,False
british tanganyika,matched,TAN-1922-1964,,True,CShapes 2.0 (1922-1961),1,False
british togoland,matched,BRI-1922-1955,,True,CShapes 2.0 (1922-1955),1,False
british tonga,matched,TON-1800-2025,,True,CShapes 2.0 (1999-2019),1,False
british transjordan,matched,JOR-1920-1923,,True,CShapes 2.0 (1920-1923),1,False
british trinidad and tobago,matched,TTO-1800-2025,,True,CShapes 2.0 (1886-1962),1,False
british turks and caicos islands,matched,TCA-1800-2025,,True,GADM 4.1,1,False
british uganda,matched,UGA-1910-1926,,True,CShapes 2.0 (1914-1926),1,False
british unfederated malay states: johor,subnational,UNF-1909-1946,UNF-1909-1946,True,GADM admin-1: MYS [Johor],2,True
british unfederated malay states: kedah,subnational,UNF-1909-1946,UNF-1909-1946,True,GADM admin-1: MYS [Kedah],2,True
british unfederated malay states: kelantan,subnational,UNF-1909-1946,UNF-1909-1946,True,GADM admin-1: MYS [Kelantan],2,True
british unfederated malay states: perlis,subnational,UNF-1909-1946,UNF-1909-1946,True,GADM admin-1: MYS [Perlis],2,True
british unfederated malay states: terengganu,subnational,UNF-1909-1946,UNF-1909-1946,True,GADM admin-1: MYS [Trengganu],2,True
british virgin islands,matched,VGB-1800-2025,,True,GADM 4.1,1,False
british west indies federation,matched,LEE-1800-2025,,True,GADM 4.1,1,False
british windward islands,matched,VCT-1800-2025,,True,CShapes 2.0 (1979-2019),1,False
british zanzibar,matched,ZAN-1890-1964,,True,CShapes 2.0 (1895-1963),1,False
british-french togoland,matched,TGO-1960-2025,,True,CShapes 2.0 (1960-2019),1,False
british‑egyptian sudan,matched,SUD-1882-2025,,True,CShapes 2.0 (1934-1955),1,False
british‑french cameroon,matched,CMR-1884-2025,,True,CShapes 2.0 (1901-1912),1,False
british‑french new hebrides,matched,NHB-1906-2025,,True,CShapes 2.0 (1981-2019),1,False
bulgaria,matched,BGR-1940-2025,,True,CShapes 2.0 (1940-2019),1,False
canada,matched,CAN-1948-2025,,True,CShapes 2.0 (1948-2019),1,False
chile,matched,CHL-1902-2025,,True,CShapes 2.0 (1902-2019),1,False
chile (reexportation),matched,CHL-1902-2025,,True,CShapes 2.0 (1902-2019),1,False
china,matched,CHN-1800-2025,,True,CShapes 2.0 (1899-1912),1,False
china: excluding manchuria,subnational,CHN-1800-2025,CHN-1800-2025,True,"GADM admin-0 minus admin-1: CHN - [Heilongjiang, Jilin, Liaoning]",3,True
china: manchuria,subnational,CHN-1800-2025,CHN-1800-2025,True,"GADM admin-1 merged: CHN [Heilongjiang, Jilin, Liaoning]",3,True
colombia,matched,COL-1922-2025,,True,CShapes 2.0 (1922-2019),1,False
costa rica,matched,CRI-1800-2025,,True,CShapes 2.0 (1920-2019),1,False
cuba,matched,CUB-1800-2025,,True,CShapes 2.0 (1909-2019),1,False
czechoslovakia,matched,F51-1918-1938,,True,CShapes 2.0 (1918-1938),1,False
denmark,matched,DNK-1920-2025,,True,CShapes 2.0 (1945-2019),1,False
denmark (rural communities),subnational,DNK-1920-2025,DNK-1920-2025,True,GADM admin-0: DNK,2,True
denmark: faroe islands,subnational,FRO-1800-2025,FRO-1800-2025,True,GADM admin-0: FRO,2,True
denmark: greenland,subnational,GRL-1800-2025,GRL-1800-2025,True,GADM admin-0: GRL,2,True
dominican republic,matched,DOM-1800-2025,,True,CShapes 2.0 (1894-1916),1,False
dutch bali and lombok,subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Bali, Nusa Tenggara Barat]",3,True
dutch bali and lombok (indigenous cultivation),subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Bali, Nusa Tenggara Barat]",3,True
dutch curacao,matched,CUW-2010-2025,,True,GADM 4.1 fallback,1,False
dutch east indies,matched,DEI-1800-2025,,True,CShapes 2.0 (1889-1945),1,False
dutch east indies (european plantations),matched,DEI-1800-2025,,True,CShapes 2.0 (1889-1945),1,False
dutch east indies (indigenous cultivation),matched,DEI-1800-2025,,True,CShapes 2.0 (1889-1945),1,False
dutch east outer provinces,subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Nusa Tenggara Timur, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua, Papua Barat]",3,True
dutch east outer provinces (european plantations),subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Nusa Tenggara Timur, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua, Papua Barat]",3,True
dutch east outer provinces (indigenous cultivation),subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Nusa Tenggara Timur, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua, Papua Barat]",3,True
dutch guiana,matched,DGU-1800-2025,,True,GADM 4.1 fallback,1,False
dutch java and madura,subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta]",2,True
dutch java and madura (european cultivation),subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta]",2,True
dutch java and madura (indigenous cultivation),subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta]",2,True
dutch java and madura (native cultivations),subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta]",2,True
dutch java and sumatra,subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta, Aceh, Sumatera Utara, Sumatera Barat, Kepulauan Riau, Jambi, Sumatera Selatan, Bengkulu, Lampung, Kepulauan Riau]",2,True
"dutch java, madura and east outer provinces",subnational,DEI-1800-2025,DEI-1800-2025,True,"GADM admin-1 merged: IDN [Jawa Barat, Jawa Tengah, Jawa Timur, Banten, Jakarta Raya, Yogyakarta, Nusa Tenggara Timur, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua, Papua Barat]",3,True
dutch sint eustatius and sint maarten,subnational,DUT-1800-2025,DUT-1800-2025,True,"GADM admin-0 merged: BES, SXM",3,True
