excel_region,match_status,polity_code,parent_code,has_polygon,polygon_source,quality_tier,needs_subnational
french syria and lebanon,matched,SYR-1918-2025,,True,CShapes 2.0 (1967-2019),1,False
french syria and lebanon (area in production),matched,SYR-1918-2025,,True,CShapes 2.0 (1967-2019),1,False
french syria and lebanon (total area and area in production),matched,SYR-1918-2025,,True,CShapes 2.0 (1967-2019),1,False
french syria and lebanon (total area),matched,SYR-1918-2025,,True,CShapes 2.0 (1967-2019),1,False
french syria and lebanon: state of the alawites,subnational,SYR-1918-2025,SYR-1918-2025,True,"GADM admin-1 merged: SYR [Lattakia, Tartus]",3,True
french tangier,matched,MOR-1904-1956,,True,CShapes 2.0 (1912-1956),1,False
french togoland,matched,GER-1919-1922,,True,CShapes 2.0 (1919-1922),1,False
french tonkin,subnational,FID-1887-2025,FID-1887-2025,False,,,True
french tunisia,matched,TUN-1881-2025,,True,CShapes 2.0 (1886-1955),1,False
french tunisia (european vineyard),matched,TUN-1881-2025,,True,CShapes 2.0 (1886-1955),1,False
french tunisia (indigenous vineyard),matched,TUN-1881-2025,,True,CShapes 2.0 (1886-1955),1,False
french upper senegal and niger,subnational,FWA-1895-2025,FWA-1895-2025,True,"CShapes 2.0 merged: Mali, Niger, Burkina Faso (Upper Volta)",3,True
french upper volta,subnational,FWA-1895-2025,FWA-1895-2025,True,"CShapes 2.0 (Burkina Faso (Upper Volta), 1919-1932)",1,True
french west africa,matched,FWA-1895-2025,,True,CShapes 2.0 (1898-1902),1,False
french west morocco,subnational,MOR-1904-1956,MOR-1904-1956,False,,,True
german bohemia and moravia,matched,CZE-1947-1992,,True,CShapes 2.0 (1947-1992),1,False
german new guinea,matched,GER-1884-2025,,True,CShapes 2.0 (1920-1949),1,False
german south west africa,matched,GWA-1884-1914,,True,GADM 4.1 fallback,1,False
german togoland,matched,GER-1897-1919,,True,CShapes 2.0 (1897-1914),1,False
german western samoa,matched,WSM-1900-2025,,True,CShapes 2.0 (1976-2019),1,False
germany,matched,DEU-1990-2025,,True,CShapes 2.0 (1990-2019),1,False
greece,matched,GRC-1919-2025,,True,CShapes 2.0 (1944-2019),1,False
greece (fresh),matched,GRC-1919-2025,,True,CShapes 2.0 (1944-2019),1,False
greece (regular plantations),matched,GRC-1919-2025,,True,CShapes 2.0 (1944-2019),1,False
greece (trellises),matched,GRC-1919-2025,,True,CShapes 2.0 (1944-2019),1,False
guatemala,matched,GTM-1821-2025,,True,CShapes 2.0 (1886-2019),1,False
haiti,matched,HTI-1800-2025,,True,CShapes 2.0 (1886-1915),1,False
honduras,matched,HND-1800-2025,,True,CShapes 2.0 (1899-2019),1,False
hungary,matched,HUN-1947-2025,,True,CShapes 2.0 (1947-2019),1,False
iceland,matched,ISL-1800-2025,,True,CShapes 2.0 (1886-1918),1,False
iran,matched,IRN-1800-2025,,True,CShapes 2.0 (1886-2019),1,False
ireland,matched,IRL-1921-2025,,True,CShapes 2.0 (1922-2019),1,False
