iso3,name,cs_name,area_gadm_km2,area_cshapes_km2,area_ratio,iou,centroid_offset_deg
AFG,Afghanistan,Afghanistan,643857.4974728478,641913.0986065915,0.9969800788623443,0.9899665318822534,0.010872434844141158
AGO,Angola,Angola,1247421.817287384,1247353.008019011,0.9999448388128062,0.9943013784636627,0.00519225265836493
ARE,United Arab Emirates,United Arab Emirates,71205.97879049236,70367.6119950034,0.9882261741256916,0.9626683569036502,0.008706912220135673
ARG,Argentina,Argentina,2780096.7324139834,2780959.9088760987,1.0003104843266968,0.9936523702516744,0.013754576161522794
ARM,Armenia,Armenia,29690.16814823135,29663.63637440585,0.9991063784585847,0.949970646327495,0.011440171231826874
AUS,Australia,Australia,7688039.745251369,7686685.78187291,0.999823887047502,0.9948155495838457,0.006099717460266827
AUT,Austria,Austria,83858.24642184029,83949.51042703493,1.0010883128265708,0.9811157092488477,0.005556097114737323
AZE,Azerbaijan,Azerbaijan,86235.45790330393,85950.98400499021,0.9967011957119459,0.9600093898575482,0.005448203410609072
BDI,Burundi,Burundi,26935.289583433856,27187.583179781697,1.0093666561692736,0.9642069568080066,0.011625828570935949
BEL,Belgium,Belgium,30707.463848494757,30641.650548710117,0.9978567653743939,0.9751614376400548,0.00245129467360986
BEN,Benin,Benin,115423.19494553999,116188.82647902898,1.0066332554201973,0.9831765857702508,0.007715450691548972
BFA,Burkina Faso,Burkina Faso (Upper Volta),273417.29803497,272337.528827139,0.9960508379843147,0.9875910572951581,0.006669501302008191
BGD,Bangladesh,Bangladesh,139384.44500210174,137847.74556096995,0.9889751009080775,0.946551991175194,0.011498498438477368
BGR,Bulgaria,Bulgaria,111587.66818788231,111020.08107080229,0.9949135318776949,0.9836590700963251,0.008714687841756528
BHR,Bahrain,Bahrain,715.1254759915385,628.8227896859395,0.8793181208011948,0.7778357458139336,0.01828346228180877
BHS,Bahamas,Bahamas,13388.079969644945,12048.319322458134,0.899928843402155,0.6985542326176638,0.11333853143178078
BIH,Bosnia and Herzegovina,Bosnia-Herzegovina,51068.861198614555,51534.771488641316,1.009123177589858,0.9706796720023689,0.0078392227309261
BLR,Belarus,Belarus (Byelorussia),207069.82111528085,207711.5333613528,1.0030990138621634,0.984976630904545,0.010674471399403073
BLZ,Belize,Belize,21989.426133250017,22091.933496761252,1.00466166615218,0.95478332704817,0.011174829451961651
