polity_code,polity_name,polity_type,continent,start_year,end_year,iso3_code,node_type,in_degree,out_degree,total_degree
ETH-1800-1889,Ethiopia (to 1889),historical,Africa,1800,1889,ETH,polity,1,4,5
GAB-1839-1912,Gabon (to 1912),historical,Africa,1839,1912,GAB,polity,0,4,4
GHA-1821-1888,Ghana (to 1888),historical,Africa,1821,1888,GHA,polity,0,4,4
LAG-1861-1906,Lagos (to 1906),historical,Africa,1861,1906,LAG,polity,0,1,1
MAD-1800-1912,Madagascar (to 1912),historical,Africa,1800,1912,MAD,polity,0,4,4
MOR-1800-1904,Morocco (to 1904),historical,Africa,1800,1904,MOR,polity,0,4,4
MOZ-1800-1891,Mozambique (to 1891),historical,Africa,1800,1891,MOZ,polity,0,1,1
SIE-1800-1889,Sierra Leone (to 1889),historical,Africa,1800,1889,SIE,polity,0,1,1
ZAN-1856-1964,Zanzibar,historical,Africa,1856,1964,ZAN,polity,0,1,1
ORA-1848-1910,Orange Free State (to 1910),historical,Africa,1848,1910,ORA,polity,0,1,1
GHA-1888-1898,Ghana (1888-1898),historical,Africa,1888,1898,GHA,polity,3,4,7
KEN-1888-1891,Kenya (1888-1891),historical,Africa,1888,1891,KEN,polity,0,4,4
COT-1889-1932,Côte d'Ivoire (1889-1932),historical,Africa,1889,1932,COT,polity,0,4,4
ETH-1889-1897,Ethiopia (1889-1897),historical,Africa,1889,1897,ETH,polity,4,4,8
ZIM-1889-1891,Zimbabwe (1889-1891),historical,Africa,1889,1891,ZIM,polity,2,4,6
ANG-1890-1891,Angola (1890-1891),historical,Africa,1890,1891,ANG,polity,3,4,7
BOT-1890-1895,Botswana (1890-1895),historical,Africa,1890,1895,BOT,polity,3,1,4
ZAN-1890-1964,Zanzibar (1890-1964),historical,Africa,1890,1964,ZAN,polity,0,1,1
ANG-1891-1905,Angola (1891-1905),historical,Africa,1891,1905,ANG,polity,3,1,4
CON-1891-1894,Democratic Republic of the Congo (1891-1894),historical,Africa,1891,1894,CON,polity,3,4,7
KEN-1891-1894,Kenya (1891-1894),historical,Africa,1891,1894,KEN,polity,3,4,7
ZIM-1891-1900,Zimbabwe (1891-1900),historical,Africa,1891,1900,ZIM,polity,3,1,4
CON-1894-1910,Democratic Republic of the Congo (1894-1910),historical,Africa,1894,1910,CON,polity,3,1,4
KEN-1894-1902,Kenya (1894-1902),historical,Africa,1894,1902,KEN,polity,3,4,7
UGA-1894-1902,Uganda (1894-1902),historical,Africa,1894,1902,UGA,polity,6,4,10
BEN-1895-1898,Benin (1895-1898),historical,Africa,1895,1898,BEN,polity,2,1,3
ETH-1897-1902,Ethiopia (1897-1902),historical,Africa,1897,1902,ETH,polity,4,4,8
CON-1898-1900,Congo (1898-1900),historical,Africa,1898,1900,CON,polity,0,4,4
GHA-1898-1956,Ghana (1898-1956),historical,Africa,1898,1956,GHA,polity,6,4,10
EGY-1899-1925,Egypt (1899-1925),historical,Africa,1899,1925,EGY,polity,2,1,3
NOR-1899-1904,Northern Nigeria (1899-1904),historical,Africa,1899,1904,NOR,polity,8,3,11
SOU-1899-1906,Southern Nigeria (1899-1906),historical,Africa,1899,1906,SOU,polity,8,6,14
SUD-1899-1902,Sudan (1899-1902),historical,Africa,1899,1902,SUD,polity,2,4,6
CHA-1900-1912,Chad (1900-1912),historical,Africa,1900,1912,CHA,polity,1,5,6
CON-1900-1906,Congo (1900-1906),historical,Africa,1900,1906,CON,polity,3,4,7
NOR-1900-1911,Northeastern Rhodesia (1900-1911),historical,Africa,1900,1911,NOR,polity,0,1,1
NOR-1900-1905,Northwestern Rhodesia (1900-1905),historical,Africa,1900,1905,NOR,polity,0,4,4
