original_name,source,year_start,year_end,common_name,target_polity_code,confidence,basis,rows,area_code,iso3,match_route,match_status,note
Malaysia,faostat,1961,1962,Sarawak (Brooke Raj / Crown Colony),BSW-1841-1963,high,FAOSTAT area code 131; observed 1961-1962 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match; overlapping polity periods for this span,250837,131,MYS,iso-equal,ambiguous,overlapping polity periods for this span
Malaysia,faostat,1961,1962,British North Borneo,BNB-1881-1963,high,FAOSTAT area code 131; observed 1961-1962 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match; overlapping polity periods for this span,250837,131,MYS,iso-equal,ambiguous,overlapping polity periods for this span
Malaysia,faostat,1961,1962,Malaya and Singapore,MASG-1946-1963,high,FAOSTAT area code 131; observed 1961-1962 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match; overlapping polity periods for this span,250837,131,MYS,iso-equal,ambiguous,overlapping polity periods for this span
Malaysia,faostat,1961,1962,Malaysia (1957-1963),MYS-1957-1963,high,FAOSTAT area code 131; observed 1961-1962 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match; overlapping polity periods for this span,250837,131,MYS,iso-equal,ambiguous,overlapping polity periods for this span
