polity_code,polity_name,start_year,end_year,polity_type,iso3_code,cow_code,continent,wiki_status,last_ingest,polygon_source,polygon_feature_id,polygon_feature_year,polygon_status,polygon_area_km2,predecessor,successor
UGA-1962-2025,Uganda,1962,2025,national,UGA,500,Africa,draft,2026-04-12,cshapes-2.0,500,1962,assigned,,BGA-1800-1894; UGA-1926-1962,
UKR-1991-2014,Ukraine (1991-2014),1991,2014,national,UKR,369,Europe,draft,2026-04-12,cshapes-2.0,369,1991,assigned,,F228-1945-1991,UKR-2014-2025
UKR-2014-2025,Ukraine,2014,2025,national,UKR,369,Europe,draft,2026-04-12,cshapes-2.0,369,2014,assigned,,UKR-1991-2014,
URY-1828-2025,Uruguay,1828,2025,national,URY,165,South America,draft,2026-04-12,cshapes-2.0,165,1886,assigned,,,
USA-1800-1803,United States (original),1800,1803,national,USA,2,North America,draft,2026-04-12,cliopatria,United States of America,1800,assigned,,,USA-1803-1848
USA-1803-1848,United States (1803-1848),1803,1848,national,USA,2,North America,draft,2026-04-12,cliopatria,United States of America,1815,assigned,,USA-1800-1803,USA-1848-1867
USA-1848-1867,United States (1848-1867),1848,1867,national,USA,2,North America,draft,2026-04-12,cliopatria,United States of America,1849,assigned,,USA-1803-1848,USA-1867-1959
USA-1867-1959,United States (1867-1959),1867,1959,national,USA,2,North America,draft,2026-04-12,cliopatria,United States of America,1880,assigned,,USA-1848-1867,USA-1959-2025
USA-1959-2025,United States of America,1959,2025,national,USA,2,North America,draft,2026-04-12,cshapes-2.0,2,1959,assigned,,USA-1867-1959,
UZB-1991-2025,Uzbekistan,1991,2025,national,UZB,704,Asia,reviewed,2026-04-12,cshapes-2.0,704,1991,assigned,,F228-1945-1991,
VCT-1800-1833,Saint Vincent (to 1833),1800,1833,national,NA,NA,North America,draft,2026-04-15,gadm-4.1-adm0,VCT,,assigned,,,VCT-1833-2025
VCT-1833-2025,Saint Vincent and the Grenadines,1833,2025,national,VCT,57,North America,draft,2026-04-13,gadm-4.1-adm0,VCT,,assigned,,VCT-1800-1833,
VEN-1821-2025,Venezuela,1821,2025,national,VEN,101,South America,draft,2026-04-12,cshapes-2.0,101,1886,assigned,,,
VIC-1851-1900,Victoria (to 1900),1851,1900,national,VIC,NA,Oceania,draft,2026-04-15,cshapes-2.0,904,1886,assigned,,NSW-1800-1900,AUS-1901-2025
VNM-1887-1954,Vietnam (French Indochina),1887,1954,national,VNM,815,Asia,draft,2026-06-24,cshapes-2.0,815,1893,assigned,326024,FCC-1862-1887,VNM-1975-2025
VNM-1975-2025,Vietnam,1975,2025,national,VNM,816,Asia,draft,2026-04-12,cshapes-2.0,816,1975,assigned,,,
VUT-1800-2025,Vanuatu,1800,2025,national,VUT,935,Oceania,draft,2026-04-12,gadm-4.1-adm0,VUT,,assigned,,,
WAD-1800-1912,Wadai Empire,1800,1912,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Wadai,,assigned,,,TCD-1900-1912; TCD-1960-2025
WBK-1950-1967,West Bank (Jordanian-annexed),1950,1967,colonial,JOR,6631,Asia,draft,2026-06-25,cshapes-2.0,6631,1953,assigned,5871,PAL-1920-1948,ISR-1967-1979
WLO-1800-1855,Kingdom of Waalo,1800,1855,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Walo,,assigned,,,SEN-1960-2025
WSM-1900-2025,Samoa,1900,2025,national,WSM,990,Oceania,draft,2026-04-12,gadm-4.1-adm0,WSM,,assigned,,,
YEM-1990-2025,Yemen (1990-2025),1990,2025,national,YEM,678,Asia,draft,2026-04-13,cshapes-2.0,678,2000,assigned,,,
ZAF-1828-2025,South Africa,1828,2025,national,ZAF,560,Africa,draft,2026-04-12,cshapes-2.0,560,1910,assigned,,,
ZMB-1964-2025,Zambia,1964,2025,national,ZMB,551,Africa,draft,2026-04-12,cshapes-2.0,551,1964,assigned,,BMB-1800-1899; LZI-1800-1890; KZM-1800-1899,
