polity_code,polity_name,start_year,end_year,polity_type,iso3_code,cow_code,continent,wiki_status,last_ingest,polygon_source,polygon_feature_id,polygon_feature_year,polygon_status,polygon_area_km2,predecessor,successor
BWA-1966-2025,Botswana,1966,2025,national,BWA,571,Africa,draft,2026-04-13,cshapes-2.0,571,1966,assigned,,,
CAF-1906-1912,Central African Republic (1906-1912),1906,1912,national,CAF,482,Africa,draft,2026-04-13,cshapes-2.0,482,1906,assigned,,,CAF-1912-1919
CAF-1912-1919,Central African Republic (1912-1919),1912,1919,national,CAF,482,Africa,draft,2026-04-13,cshapes-2.0,482,1912,assigned,,CAF-1906-1912,CAF-1919-1960
CAF-1919-1960,Central African Republic (1919-1960),1919,1960,national,CAF,482,Africa,draft,2026-04-12,cshapes-2.0,482,1919,assigned,,CAF-1912-1919,CAF-1960-2025
CAF-1960-2025,Central African Republic,1960,2025,national,CAF,482,Africa,draft,2026-04-12,cshapes-2.0,482,1960,assigned,,CAF-1919-1960,
CAN-1800-1866,Canada (pre-Confederation),1800,1866,national,CAN,NA,North America,draft,2026-04-12,cshapes-2.0,20,1886,proxy,,,CAN-1866-1948
CAN-1866-1948,Canada (to 1948),1866,1948,national,CAN,20,North America,draft,2026-04-12,cshapes-2.0,20,1886,assigned,,CAN-1800-1866,CAN-1948-2025
CAN-1948-2025,Canada,1948,2025,national,CAN,20,North America,reviewed,2026-04-12,cshapes-2.0,20,1948,assigned,,CAN-1866-1948,
CAP-1800-1910,Cape Colony (to 1910),1800,1910,national,CAP,NA,Africa,draft,2026-04-17,cshapes-2.0,561,1886,assigned,600802,,ZAF-1910-2025
CAR-1920-1945,Caroline Islands (Japanese Mandate),1920,1945,colonial,NA,NA,Oceania,draft,2026-06-26,gadm-4.1-adm0,FSM,,proxy,702,JPN-1895-1945,FSM-1991-2025
CAY-1800-1886,Kingdom of Cayor,1800,1886,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Cayor,,assigned,,,SEN-1960-2025
CHE-1800-2025,Switzerland,1800,2025,national,CHE,225,Europe,draft,2026-04-13,cshapes-2.0,225,1886,assigned,,,
CHL-1810-1883,Chile (to 1883),1810,1883,national,CHL,155,South America,draft,2026-06-24,none,,,unassigned,,,CHL-1884-1899
CHL-1884-1899,Chile (1884-1899),1884,1899,national,CHL,155,South America,draft,2026-06-24,cshapes-2.0,155,1886,assigned,,CHL-1810-1883,CHL-1899-1902
CHL-1899-1902,Chile (1899-1902),1899,1902,national,CHL,155,South America,reviewed,2026-04-12,cshapes-2.0,155,1899,assigned,,CHL-1810-1899,CHL-1902-2025
CHL-1902-2025,Chile,1902,2025,national,CHL,155,South America,reviewed,2026-04-12,cshapes-2.0,155,1902,assigned,,CHL-1899-1902,
CHN-1800-1895,China (to 1895),1800,1895,national,CHN,710,Asia,draft,2026-04-12,cshapes-2.0,710,1886,assigned,,,CHN-1895-1912
CHN-1895-1913,China (1895-1913),1895,1913,national,CHN,710,Asia,draft,2026-04-12,cshapes-2.0,710,1899,assigned,,CHN-1800-1895,CHN-1913-1914
CHN-1913-1914,China (1913-1914),1913,1914,national,CHN,710,Asia,reviewed,2026-04-12,cshapes-2.0,710,1913,assigned,,CHN-1895-1912,CHN-1914-1921
CHN-1914-1921,China (1914-1921),1914,1921,national,CHN,710,Asia,reviewed,2026-04-12,cshapes-2.0,710,1914,assigned,,CHN-1913-1914,CHN-1921-1945
CHN-1921-1945,China (1921-1945),1921,1945,national,CHN,710,Asia,draft,2026-04-12,cshapes-2.0,710,1921,assigned,,CHN-1914-1921,CHN-1945-1947
CHN-1945-1947,China (1945-1947),1945,1947,national,CHN,710,Asia,draft,2026-04-12,cshapes-2.0,710,1945,assigned,,CHN-1921-1945,CHN-1947-1949
CHN-1947-1949,China (1947-1949),1947,1949,national,CHN,710,Asia,draft,2026-04-12,cshapes-2.0,710,1947,assigned,,CHN-1945-1947,CHN-1949-1950
CHN-1949-1950,China (1949-1950),1949,1950,national,CHN,710,Asia,draft,2026-04-12,cshapes-2.0,710,1949,assigned,,CHN-1947-1949,CHN-1950-2025
CHN-1950-2025,China (PRC),1950,2025,national,CHN,NA,Asia,draft,2026-04-12,cshapes-2.0,710,1949,assigned,,CHN-1949-1950,
CIV-1889-1893,Côte d'Ivoire (1889-1893),1889,1893,national,CIV,437,Africa,draft,2026-04-15,cshapes-2.0,437,1889,assigned,,,CIV-1893-1900
CIV-1893-1900,Côte d'Ivoire (1893-1900),1893,1900,national,CIV,437,Africa,draft,2026-04-15,cshapes-2.0,437,1893,assigned,,CIV-1889-1893,CIV-1902-1932
CIV-1902-1932,Côte d'Ivoire (1902-1932),1902,1932,national,CIV,437,Africa,draft,2026-04-13,cshapes-2.0,437,1902,assigned,,,CIV-1932-1947
CIV-1932-1947,Côte d'Ivoire (1932-1947),1932,1947,national,CIV,437,Africa,draft,2026-04-13,cshapes-2.0,437,1933,assigned,,CIV-1902-1932,CIV-1947-1960
CIV-1947-1960,Côte d'Ivoire (1947-1960),1947,1960,national,CIV,437,Africa,draft,2026-04-12,cshapes-2.0,437,1947,assigned,,CIV-1932-1947,CIV-1960-2025
CIV-1960-2025,Côte d'Ivoire,1960,2025,national,CIV,437,Africa,draft,2026-04-12,cshapes-2.0,437,1983,assigned,,CIV-1947-1960,
CMR-1960-1961,Cameroon (1960-1961),1960,1961,national,CMR,471,Africa,draft,2026-04-12,cshapes-2.0,471,1960,assigned,,,CMR-1961-2025
CMR-1961-2025,Cameroon,1961,2025,national,CMR,471,Africa,draft,2026-04-12,cshapes-2.0,471,1961,assigned,,CMR-1960-1961,
COD-1885-1891,Congo Free State (to 1891),1885,1891,national,COD,NA,Africa,draft,2026-04-15,cshapes-2.0,490,1886,assigned,,LBA-1800-1885; LND-1800-1887,COD-1891-1894
COD-1891-1894,Democratic Republic of the Congo (1891-1894),1891,1894,national,COD,NA,Africa,draft,2026-04-13,cshapes-2.0,490,1892,assigned,,,COD-1894-1910
COD-1894-1910,Democratic Republic of the Congo (1894-1910),1894,1910,national,COD,NA,Africa,draft,2026-04-13,cshapes-2.0,490,1894,assigned,,COD-1891-1894,COD-1910-1960
COD-1910-1960,DR Congo (1910-1960),1910,1960,national,COD,490,Africa,draft,2026-04-12,cshapes-2.0,490,1910,assigned,,COD-1894-1910,COD-1960-2025
COD-1960-2025,Democratic Republic of the Congo,1960,2025,national,COD,490,Africa,reviewed,2026-04-12,cshapes-2.0,490,1960,assigned,,,
CODRU-1922-1960,Belgian Congo and Ruanda-Urundi,1922,1960,national,COD,,Africa,draft,2026-06-25,constructed,CODRU-1922-1960,,assigned,2378962,,
COG-1898-1900,Congo (1898-1900),1898,1900,national,COG,NA,Africa,draft,2026-04-15,cshapes-2.0,484,1886,assigned,,,COG-1900-1906
COG-1900-1906,Congo (1900-1906),1900,1906,national,COG,NA,Africa,draft,2026-04-15,cshapes-2.0,484,1898,assigned,,,COG-1906-1912
COG-1906-1912,Congo (1906-1912),1906,1912,national,COG,NA,Africa,draft,2026-04-13,cshapes-2.0,484,1900,assigned,,,COG-1912-1919
COG-1912-1919,Congo (1912-1919),1912,1919,national,COG,NA,Africa,draft,2026-04-13,cshapes-2.0,484,1906,assigned,,COG-1906-1912,COG-1919-1960
COG-1919-1960,Congo (1919-1960),1919,1960,national,COG,484,Africa,draft,2026-04-12,cshapes-2.0,484,1919,assigned,,COG-1912-1919,COG-1960-2025
COG-1960-2025,Congo,1960,2025,national,COG,484,Africa,draft,2026-04-13,cshapes-2.0,484,1960,assigned,,COG-1919-1960,
COL-1800-1830,Gran Colombia,1800,1830,national,COL,NA,South America,draft,2026-04-12,cliopatria,Gran Colombia,1825,assigned,,,COL-1830-1903
COL-1830-1903,Colombia (to 1903),1830,1903,national,COL,NA,South America,draft,2026-04-12,cliopatria,Gran Colombia,1830,assigned,,COL-1800-1830,COL-1903-1922
COL-1903-1922,Colombia (1903-1922),1903,1922,national,COL,100,South America,reviewed,2026-04-12,cshapes-2.0,100,1903,assigned,,COL-1830-1903,COL-1922-2025
COL-1922-2025,Colombia,1922,2025,national,COL,100,South America,reviewed,2026-04-12,cshapes-2.0,100,1922,assigned,,COL-1903-1922,
COM-1946-1975,Comoros (1946-1975),1946,1975,national,COM,581,Africa,draft,2026-04-12,cshapes-2.0,581,1946,assigned,,,COM-1975-2025
COM-1975-2025,Comoros,1975,2025,national,COM,403,Africa,draft,2026-04-12,cshapes-2.0,581,1946,assigned,,COM-1946-1975,
CPV-1800-2025,Cabo Verde,1800,2025,national,CPV,402,Africa,draft,2026-04-13,cshapes-2.0,402,1886,assigned,,,
CRI-1800-2025,Costa Rica,1800,2025,national,CRI,94,North America,draft,2026-04-12,cshapes-2.0,94,1886,assigned,,,
CUB-1800-2025,Cuba,1800,2025,national,CUB,40,North America,draft,2026-04-12,cshapes-2.0,40,1902,assigned,,,
CYP-1879-2025,Cyprus,1879,2025,national,CYP,352,Asia,draft,2026-04-12,cshapes-2.0,352,1960,assigned,,,
CYR-1949-1951,Emirate of Cyrenaica,1949,1951,national,LBY,620,Africa,draft,2026-06-25,,,,unassigned,,LBY-1943-1949,LBY-1951-2025
TRP-1943-1951,British Military Administration of Tripolitania,1943,1951,national,LBY,620,Africa,draft,2026-06-26,,,,unassigned,,LBY-1934-1943,LBY-1951-2025
CZE-1804-1918,"Czech Lands (Crownlands of Bohemia, 1804-1918)",1804,1918,national,CZE,,Europe,draft,2026-06-24,constructed,CZE-1804-1918,1860,assigned,79349,AUH-1800-1859,F51-1918-1938
CZE-1947-1992,Czechoslovakia (1947-1992),1947,1992,national,CZE,316,Europe,draft,2026-04-12,cshapes-2.0,315,1945,assigned,,,CZE-1993-2025
CZE-1993-2025,Czechia,1993,2025,national,CZE,316,Europe,reviewed,2026-04-12,cshapes-2.0,316,1993,assigned,,F51-1947-1993,
CZN-1903-1979,Panama Canal Zone (US-administered),1903,1979,colonial,PAN,,North America,draft,2026-06-25,,,,unassigned,,PAN-1800-1979,PAN-1979-2025
DEU-1800-1866,Prussia (to 1866),1800,1866,national,DEU,255,Europe,draft,2026-04-13,cshapes-europe,255,1851,assigned,,,DEU-1866-1871
DEU-1866-1871,North German Confederation (1866-1871),1866,1871,national,DEU,255,Europe,draft,2026-04-13,cshapes-europe,255,1867,assigned,,DEU-1800-1866,DEU-1871-1919
DEU-1871-1919,German Empire (1871-1919),1871,1919,national,DEU,255,Europe,draft,2026-04-13,cshapes-europe,255,1886,assigned,,DEU-1866-1871,DEU-1919-1920
DEU-1919-1920,Germany (1919-1920),1919,1920,national,DEU,260,Europe,draft,2026-04-12,cshapes-2.0,255,1919,assigned,,DEU-1871-1919,DEU-1920-1938
DEU-1920-1938,Germany (1920-1938),1920,1938,national,DEU,260,Europe,draft,2026-04-12,cshapes-2.0,255,1920,assigned,,DEU-1919-1920,DEU-1938-1945; AUT-1919-2025
DEU-1938-1945,Germany (1938-1945),1938,1945,national,DEU,260,Europe,draft,2026-04-12,cshapes-2.0,255,1938,assigned,,DEU-1920-1938; AUT-1919-2025,DEU-1990-2025
DEU-1945-1949,Allied-occupied Germany,1945,1949,national,DEU,260,Europe,draft,2026-04-16,constructed,DEU-1945-1949,,assigned,,DEU-1938-1945,F77-1949-1990; F78-1949-1990
DEU-1949-1990,"Germany (divided, 1949-1990)",1949,1990,national,DEU,255,Europe,draft,2026-04-17,constructed,DEU-1949-1990,,assigned,,DEU-1945-1949,DEU-1990-2025
DEU-1990-2025,Germany,1990,2025,national,DEU,260,Europe,reviewed,2026-04-12,cshapes-2.0,260,1990,assigned,,F78-1949-1990; F77-1949-1990,
DGM-1800-1899,Kingdom of Dagbon (Dagomba),1800,1899,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Dagomba,,assigned,,,GHA-1898-1956
DHY-1800-1894,Kingdom of Dahomey,1800,1894,national,NA,NA,Africa,draft,2026-04-12,paine-2024,Dahomey,,assigned,,,BEN-1895-1898; BEN-1960-2025
DJI-1886-2025,Djibouti,1886,2025,national,DJI,522,Africa,draft,2026-04-12,cshapes-2.0,522,1900,assigned,,,
DMA-1800-2025,Dominica,1800,2025,national,DMA,54,North America,draft,2026-04-12,gadm-4.1-adm0,DMA,,assigned,,,
DMG-1800-1899,Sultanate of Damagaram,1800,1899,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Damagaram,,assigned,,,NER-1960-2025
DMO-1800-1860,Duchy Modena,1800,1860,national,DMO,332,Europe,draft,2026-04-12,cliopatria,Duchy of Modena and Reggio,1815,assigned,,,ITA-1861-1919
DNK-1800-1864,Denmark (with Schleswig-Holstein),1800,1864,national,DNK,390,Europe,draft,2026-04-12,cshapes-europe,390,1816,assigned,,,DNK-1864-1920
DNK-1864-1920,Denmark (to 1920),1864,1920,national,DNK,390,Europe,draft,2026-04-12,cshapes-europe,390,1886,assigned,,DNK-1800-1864,DNK-1920-2025
DNK-1920-2025,Denmark,1920,2025,national,DNK,390,Europe,reviewed,2026-04-12,cshapes-2.0,390,1920,assigned,,DNK-1864-1920,
DOM-1800-2025,Dominican Republic,1800,2025,national,DOM,42,North America,draft,2026-04-12,cshapes-2.0,42,1886,assigned,,,
DPA-1800-1860,Duchy Parma,1800,1860,national,DPA,335,Europe,draft,2026-04-12,cliopatria,Duchy of Parma and Piacenza,1815,assigned,,,ITA-1861-1919
DRV-1954-1975,Democratic Republic of Vietnam (North Vietnam),1954,1975,national,NA,816,Asia,draft,2026-06-24,cshapes-2.0,816,1960,assigned,,FID-1887-1954,VNM-1975-2025
DZA-1831-1886,Algeria,1831,1886,national,DZA,615,Africa,draft,2026-04-13,cshapes-2.0,615,1962,assigned,,,DZA-1886-1902
DZA-1886-1902,Algeria (1886-1902),1886,1902,national,DZA,615,Africa,draft,2026-04-13,cshapes-2.0,615,1886,assigned,,DZA-1831-1886,DZA-1902-1919
DZA-1902-1919,Algeria (1902-1919),1902,1919,national,DZA,615,Africa,draft,2026-04-13,cshapes-2.0,615,1902,assigned,,DZA-1886-1902,DZA-1919-1962
DZA-1919-1962,Algeria (1919-1962),1919,1962,national,DZA,615,Africa,draft,2026-04-13,cshapes-2.0,615,1919,assigned,,DZA-1902-1919,DZA-1962-2025
DZA-1962-2025,Algeria (1962-2025),1962,2025,national,DZA,615,Africa,draft,2026-04-13,cshapes-2.0,615,1962,assigned,,DZA-1919-1962,
ECU-1800-1942,Ecuador (to 1942),1800,1942,national,ECU,130,South America,draft,2026-04-12,cshapes-2.0,130,1886,assigned,,,ECU-1942-2025
ECU-1942-2025,Ecuador,1942,2025,national,ECU,130,South America,reviewed,2026-04-12,cshapes-2.0,130,1942,assigned,,ECU-1800-1942,
EGB-1830-1914,Egba United Government (Abeokuta),1830,1914,national,NA,NA,Africa,draft,2026-04-15,paine-2024,Egba,,assigned,,,NGA-1961-2025
EGY-1800-1899,Egypt (to 1899),1800,1899,national,EGY,651,Africa,draft,2026-04-12,cliopatria,Muhammad Ali dynasty,1848,assigned,,,EGY-1899-1925
EGY-1899-1925,Egypt (1899-1925),1899,1925,national,EGY,651,Africa,draft,2026-04-12,cshapes-2.0,651,1899,assigned,,EGY-1800-1899,EGY-1925-1967
EGY-1925-1967,Egypt (1925-1967),1925,1967,national,EGY,651,Africa,draft,2026-04-12,cshapes-2.0,651,1925,assigned,,EGY-1899-1925,EGY-1967-1979
EGY-1967-1979,Egypt (1967-1979),1967,1979,national,EGY,651,Africa,draft,2026-04-12,cshapes-2.0,651,1967,assigned,,EGY-1925-1967,EGY-1979-2025
EGY-1979-2025,Egypt,1979,2025,national,EGY,651,Africa,reviewed,2026-04-12,cshapes-2.0,651,1979,assigned,,EGY-1967-1979,
EGYSUD-1934-1956,Egypt and Anglo-Egyptian Sudan,1934,1956,national,EGY,,Africa,draft,2026-06-25,constructed,EGYSUD-1934-1956,,assigned,3485332,,
ERI-1885-1889,"Eritrea (Italian coastal, 1885-1889)",1885,1889,national,ERI,531,Africa,draft,2026-04-13,cshapes-2.0,531,1886,assigned,,,ERI-1889-1952
ERI-1889-1952,"Eritrea (colony/administration, 1889-1952)",1889,1952,national,ERI,531,Africa,draft,2026-04-13,cshapes-2.0,531,1900,assigned,,ERI-1885-1889,ERI-1993-2025
ERI-1993-2025,Eritrea,1993,2025,national,ERI,531,Africa,draft,2026-04-13,cshapes-2.0,531,1993,assigned,,ERI-1889-1952; ETH-1952-1993,
ESH-1958-1975,Western Sahara (1958-1975),1958,1975,national,ESH,NA,Africa,draft,2026-04-13,none,,,missing,,SWA-1912-1958,ESH-1975-2025
ESH-1975-2025,Western Sahara,1975,2025,national,ESH,NA,Africa,draft,2026-04-13,none,,,missing,,ESH-1958-1975,
ESP-1800-2025,Spain,1800,2025,national,ESP,230,Europe,draft,2026-04-12,cshapes-2.0,230,1886,assigned,,,
EST-1800-1918,Estonia (Governorate),1800,1918,national,EST,366,Europe,draft,2026-04-16,cshapes-2.0,366,1918,assigned,,,EST-1918-1940
EST-1918-1940,Estonia (interwar republic),1918,1940,national,EST,366,Europe,draft,2026-04-17,cshapes-2.0,366,1918,assigned,49295,EST-1800-1918,EST-1940-1991
EST-1940-1991,Estonian SSR,1940,1991,national,EST,366,Europe,draft,2026-04-16,cshapes-2.0,366,1918,assigned,,EST-1918-1940,EST-1991-2025
EST-1991-2025,Estonia,1991,2025,national,EST,366,Europe,reviewed,2026-04-12,cshapes-2.0,366,1991,assigned,,F228-1945-1991,
ETH-1800-1889,Ethiopia (to 1889),1800,1889,national,ETH,530,Africa,draft,2026-04-12,cliopatria,Ethiopian Empire,1769,assigned,,,ETH-1889-1897
ETH-1889-1897,Ethiopia (1889-1897),1889,1897,national,ETH,530,Africa,draft,2026-04-12,cshapes-2.0,530,1889,assigned,,ETH-1800-1889,ETH-1897-1902
ETH-1897-1902,Ethiopia (1897-1902),1897,1902,national,ETH,530,Africa,draft,2026-04-12,cshapes-2.0,530,1897,assigned,,ETH-1889-1897,ETH-1902-1907
ETH-1902-1907,Ethiopia (1902-1907),1902,1907,national,ETH,530,Africa,draft,2026-04-12,cshapes-2.0,530,1902,assigned,,ETH-1897-1902,ETH-1907-1952
ETH-1907-1952,Ethiopia (1907-1952),1907,1952,national,ETH,530,Africa,draft,2026-04-12,cshapes-2.0,530,1907,assigned,,ETH-1902-1907,ETH-1952-1993
ETH-1952-1993,Ethiopia (1952-1993),1952,1993,national,ETH,530,Africa,draft,2026-04-12,cshapes-2.0,530,1952,assigned,,ETH-1907-1952,ETH-1993-2025
ETH-1993-2025,Ethiopia,1993,2025,national,ETH,530,Africa,reviewed,2026-04-12,cshapes-2.0,530,1993,assigned,,ETH-1952-1993,
F228-1800-1856,Russian Empire (to 1856),1800,1856,national,RUS,NA,Europe,draft,2026-04-12,cliopatria,Russian Empire,1815,assigned,,,F228-1856-1905
F228-1856-1905,Russian Empire (1856-1905),1856,1905,national,RUS,NA,Europe,draft,2026-04-12,cshapes-2.0,365,1886,assigned,,F228-1800-1856,F228-1905-1914
F228-1905-1914,Russian Empire (1905-1914),1905,1914,national,NA,365,Europe,draft,2026-04-13,cshapes-2.0,365,1905,assigned,,F228-1856-1905,F228-1914-1917
F228-1914-1917,Russian Empire (1914-1917),1914,1917,national,NA,365,Europe,draft,2026-04-13,cshapes-2.0,365,1914,assigned,,F228-1905-1914,F228-1917-1918
F228-1917-1918,Russia (1917-1918),1917,1918,national,NA,365,Europe,draft,2026-04-13,cshapes-2.0,365,1917,assigned,,F228-1914-1917,F228-1918-1920
F228-1918-1920,RSFSR (1918-1920),1918,1920,national,NA,365,Europe,draft,2026-04-13,cshapes-2.0,365,1918,assigned,,F228-1917-1918,F228-1920-1921
F228-1920-1921,RSFSR (1920-1921),1920,1921,national,NA,365,Europe,draft,2026-04-13,cshapes-2.0,365,1920,assigned,,F228-1918-1920,F228-1921-1940
F228-1921-1940,RSFSR/USSR (1921-1940),1921,1940,national,NA,365,Europe,draft,2026-04-13,cshapes-2.0,365,1921,assigned,,F228-1920-1921,F228-1940-1945
F228-1940-1945,USSR (1940-1945),1940,1945,national,NA,365,Europe,draft,2026-04-12,cshapes-2.0,365,1940,assigned,,F228-1921-1940,F228-1945-1991
F228-1945-1991,USSR (1945-1991),1945,1991,national,NA,365,Europe,draft,2026-04-12,cshapes-2.0,365,1945,assigned,,F228-1940-1945,RUS-1991-2014; UKR-1991-2014; BLR-1991-2025; EST-1991-2025; LVA-1991-2025; LTU-1991-2025; MDA-1991-2025; ARM-1991-2025; AZE-1991-2025; GEO-1991-2025; KAZ-1991-2025; KGZ-1991-2025; TJK-1991-2025; TKM-1991-2025; UZB-1991-2025
F248-1918-1919,Yugoslavia (1918-1919),1918,1919,national,NA,345,Europe,draft,2026-04-12,cshapes-2.0,345,1918,assigned,,AUH-1908-1918,F248-1919-1920; F248-1920-1991
F248-1919-1920,Yugoslavia (1919-1920),1919,1920,national,NA,345,Europe,draft,2026-04-12,cshapes-2.0,345,1919,assigned,,F248-1918-1919,F248-1920-1991
F248-1920-1991,Yugoslavia (1920-1991),1920,1991,national,NA,345,Europe,draft,2026-04-12,cshapes-2.0,345,1920,assigned,,F248-1919-1920; F248-1918-1919,MKD-1991-2025; F248-1991-1992
F248-1991-1992,Yugoslavia (1991-1992),1991,1992,national,NA,345,Europe,draft,2026-04-12,cshapes-2.0,345,1991,assigned,,F248-1920-1991,SVN-1992-2025; HRV-1992-2025; BIH-1992-2025; SCG-1992-2006; MKD-1991-2025
F51-1918-1938,Czechoslovakia (1918-1938),1918,1938,national,NA,315,Europe,draft,2026-04-12,cshapes-2.0,315,1918,assigned,,AUH-1908-1918,F51-1938-1945
F51-1938-1945,Czechoslovakia (1938-1945),1938,1945,national,NA,315,Europe,draft,2026-04-12,cshapes-2.0,315,1938,assigned,,F51-1918-1938,F51-1945-1947
F51-1945-1947,Czechoslovakia (1945-1947),1945,1947,national,NA,315,Europe,draft,2026-04-12,cshapes-2.0,315,1945,assigned,,F51-1938-1945,F51-1947-1993
F51-1947-1993,Czechoslovakia (1947-1993),1947,1993,national,NA,315,Europe,draft,2026-04-12,cshapes-2.0,315,1947,assigned,,F51-1945-1947,CZE-1993-2025; SVK-1993-2025
F77-1949-1990,East Germany,1949,1990,national,NA,265,Europe,draft,2026-04-12,cshapes-2.0,265,1949,assigned,,DEU-1938-1945,DEU-1990-2025
F78-1949-1990,West Germany,1949,1990,national,NA,260,Europe,draft,2026-04-12,cshapes-2.0,260,1949,assigned,,DEU-1938-1945,DEU-1990-2025
FCC-1862-1887,French Cochinchina,1862,1887,national,FID,NA,Asia,draft,2026-04-16,none,,,missing,,,FID-1887-2025
FCM-1920-1960,French Cameroon (1920-1960),1920,1960,national,CMR,NA,Africa,draft,2026-04-16,none,,,missing,,CMR-1912-1919,CMR-1960-1961
FID-1887-1954,French Indochina,1887,1954,national,FID,NA,Asia,draft,2026-04-17,cliopatria,French Indochina,1900,assigned,,,KHM-1953-2025; LAO-1954-2025
FIN-1809-1917,Grand Duchy of Finland,1809,1917,national,FIN,375,Europe,draft,2026-04-16,cshapes-2.0,375,1917,assigned,,,FIN-1917-1940
FIN-1917-1940,Finland (1917-1940),1917,1940,national,FIN,375,Europe,draft,2026-04-12,cshapes-2.0,375,1917,assigned,,,FIN-1940-2025
FIN-1940-2025,Finland (1940-2025),1940,2025,national,FIN,375,Europe,draft,2026-04-12,cshapes-2.0,375,1940,assigned,,FIN-1917-1940,
FJI-1800-2025,Fiji,1800,2025,national,FJI,950,Oceania,draft,2026-06-09,gadm-4.1-adm0,FJI,,proxy,,,
FRA-1800-1919,France (to 1919),1800,1919,national,FRA,220,Europe,draft,2026-04-12,cshapes-europe,220,1816,assigned,,,FRA-1919-2025
FRA-1919-2025,France,1919,2025,national,FRA,220,Europe,draft,2026-04-12,cshapes-2.0,220,1919,assigned,,FRA-1800-1919,
FRIN-1816-1954,French India (Établissements français dans l'Inde),1816,1954,colonial,FRA,220,Asia,draft,2026-06-25,,,,unassigned,,,IND-1949-2025
FRN-1953-1964,Federation of Rhodesia and Nyasaland (1953-1964),1953,1964,national,FRN,NA,Africa,draft,2026-04-13,cshapes-2.0,550,1953,assigned,,ZWE-1900-1953,ZWE-1964-1980; ZMB-1964-2025; MWI-1964-2025
FRS-1884-1977,French Somaliland,1884,1977,national,FRS,NA,Africa,draft,2026-04-15,none,,,missing,,,FRS-1977-2025
FRS-1977-2025,Djibouti (formerly French Somaliland),1977,2025,national,FRS,987,Africa,draft,2026-04-13,cshapes-2.0,522,1900,assigned,,DJI-1886-2025,
FSM-1991-2025,Micronesia,1991,2025,national,FSM,987,Oceania,draft,2026-04-13,gadm-4.1-adm0,FSM,,assigned,,,CAR-1920-1945
FTJ-1800-1896,Imamate of Futa Jallon,1800,1896,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Futa Jalon,,assigned,,,GIN-1958-2025; GIN-1894-1958
FTO-1920-1960,French Togoland (1920-1960),1920,1960,national,TGO,NA,Africa,draft,2026-04-16,none,,,missing,,GTO-1919-1922,TGO-1960-2025
FTT-1800-1862,Imamate of Futa Toro,1800,1862,national,NA,NA,Africa,draft,2026-04-13,paine-2024,Futa Toro,,assigned,,,SEN-1960-2025
GAB-1839-1912,Gabon (to 1912),1839,1912,national,GAB,481,Africa,draft,2026-04-15,cshapes-2.0,481,1886,assigned,,,GAB-1912-1919
GAB-1912-1919,Gabon (1912-1919),1912,1919,national,GAB,481,Africa,draft,2026-04-13,cshapes-2.0,481,1912,assigned,,,GAB-1919-1960
GAB-1919-1960,Gabon (1919-1960),1919,1960,national,GAB,481,Africa,draft,2026-04-13,cshapes-2.0,481,1919,assigned,,GAB-1912-1919,GAB-1960-2025
GAB-1960-2025,Gabon,1960,2025,national,GAB,481,Africa,draft,2026-04-13,cshapes-2.0,481,1960,assigned,,GAB-1919-1960,
GBM-1895-1946,British Malaya (1895-1946),1895,1946,national,MYS,NA,Asia,draft,2026-06-24,cshapes-2.0,cowcodes 827+821+822 (1909-1946 versions),1909,assigned,132040,,MYS-1946-1957
GBR-1800-1921,United Kingdom (to 1921),1800,1921,national,GBR,200,Europe,draft,2026-04-12,cshapes-europe,200,1886,assigned,,,GBR-1921-2025
GBR-1921-2025,United Kingdom,1921,2025,national,GBR,200,Europe,draft,2026-04-12,cshapes-2.0,200,1921,assigned,,GBR-1800-1921,
GCO-1884-2025,German colonies Oceania,1884,2025,national,GCO,255,Oceania,draft,2026-04-13,none,,,excluded,,,
GEO-1991-2025,Georgia,1991,2025,national,GEO,372,Asia,reviewed,2026-04-13,cshapes-2.0,372,1991,assigned,,F228-1945-1991,
GHA-1821-1888,Ghana (to 1888),1821,1888,national,GHA,452,Africa,draft,2026-04-13,cshapes-2.0,452,1886,assigned,,ASH-1800-1896,GHA-1888-1898
GHA-1888-1898,Ghana (1888-1898),1888,1898,national,GHA,452,Africa,draft,2026-04-13,cshapes-2.0,452,1888,assigned,,GHA-1821-1888,GHA-1898-1956
GHA-1898-1956,Ghana (1898-1956),1898,1956,national,GHA,452,Africa,draft,2026-04-12,cshapes-2.0,452,1898,assigned,,ASH-1800-1896; GHA-1888-1898; DGM-1800-1899,GHA-1957-2025
GHA-1957-2025,Ghana,1957,2025,national,GHA,452,Africa,draft,2026-04-12,cshapes-2.0,452,1957,assigned,,,
GIN-1894-1958,Guinea (1894-1958),1894,1958,national,GIN,438,Africa,draft,2026-04-12,cshapes-2.0,438,1894,assigned,,,GIN-1958-2025
GIN-1958-2025,Guinea,1958,2025,national,GIN,438,Africa,draft,2026-04-12,cshapes-2.0,438,1958,assigned,,FTJ-1800-1896; GIN-1894-1958,
GLP-1816-2025,Guadeloupe,1816,2025,national,GLP,65,North America,draft,2026-06-24,cshapes-2.0,65,1886,assigned,1652,,
GMB-1800-2025,Gambia,1800,2025,national,GMB,420,Africa,draft,2026-04-13,cshapes-2.0,420,1889,assigned,,,
