m49_name,m49_code,start_year,end_year,notes,is_old
Saint Kitts and Nevis,659,NA,NA,Current ISO 3166-1 country,FALSE
Anguilla,660,NA,NA,Current ISO 3166-1 country,FALSE
Saint Lucia,662,NA,NA,Current ISO 3166-1 country,FALSE
Saint Martin (French part),663,2007,NA,Issued a numerical code in 2007,FALSE
Saint Pierre and Miquelon,666,NA,NA,Current ISO 3166-1 country,FALSE
Saint Vincent and the Grenadines,670,NA,NA,Current ISO 3166-1 country,FALSE
San Marino,674,NA,NA,Current ISO 3166-1 country,FALSE
Sao Tome and Principe,678,NA,NA,Current ISO 3166-1 country,FALSE
Sark,680,2011,2023,"Part of the Channel Islands (numerical code 830), issued a separate numerical code in 2011. Removed from the list in 2023",TRUE
Saudi Arabia,682,NA,NA,Current ISO 3166-1 country,FALSE
Senegal,686,NA,NA,Current ISO 3166-1 country,FALSE
Serbia,688,2006,NA,Formerly part of Serbia and Montenegro (numerical code 891),FALSE
Seychelles,690,NA,NA,Current ISO 3166-1 country,FALSE
Sierra Leone,694,NA,NA,Current ISO 3166-1 country,FALSE
Singapore,702,NA,NA,Current ISO 3166-1 country,FALSE
Slovakia,703,1993,NA,Formerly part of Czechoslovakia (numerical code 200),FALSE
Viet Nam,704,NA,NA,Current ISO 3166-1 country,FALSE
Slovenia,705,1992,NA,Formerly part of the Socialist Federal Republic of Yugoslavia (numerical code 890),FALSE
Somalia,706,NA,NA,Current ISO 3166-1 country,FALSE
South Africa,710,NA,NA,Current ISO 3166-1 country,FALSE
Zimbabwe,716,NA,NA,Current ISO 3166-1 country,FALSE
Spain,724,NA,NA,Current ISO 3166-1 country,FALSE
South Sudan,728,2011,NA,Formerly part of Sudan (numerical code 736),FALSE
Sudan,729,2011,NA,Formerly part of Sudan (numerical code 736),FALSE
Western Sahara,732,NA,NA,Current ISO 3166-1 country,FALSE
Suriname,740,NA,NA,Current ISO 3166-1 country,FALSE
Svalbard and Jan Mayen,744,NA,NA,Current ISO 3166-1 country,FALSE
Eswatini,748,NA,NA,Current ISO 3166-1 country,FALSE
Sweden,752,NA,NA,Current ISO 3166-1 country,FALSE
Switzerland,756,NA,NA,Current ISO 3166-1 country,FALSE
Syrian Arab Republic,760,NA,NA,Current ISO 3166-1 country,FALSE
Tajikistan,762,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Thailand,764,NA,NA,Current ISO 3166-1 country,FALSE
Togo,768,NA,NA,Current ISO 3166-1 country,FALSE
Tokelau,772,NA,NA,Current ISO 3166-1 country,FALSE
Tonga,776,NA,NA,Current ISO 3166-1 country,FALSE
Trinidad and Tobago,780,NA,NA,Current ISO 3166-1 country,FALSE
United Arab Emirates,784,NA,NA,Current ISO 3166-1 country,FALSE
Tunisia,788,NA,NA,Current ISO 3166-1 country,FALSE
Türkiye,792,NA,NA,Current ISO 3166-1 country,FALSE
Turkmenistan,795,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
Turks and Caicos Islands,796,NA,NA,Current ISO 3166-1 country,FALSE
Tuvalu,798,NA,NA,Current ISO 3166-1 country,FALSE
Uganda,800,NA,NA,Current ISO 3166-1 country,FALSE
Ukraine,804,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
North Macedonia,807,1992,NA,Formerly part of the Socialist Federal Republic of Yugoslavia (numerical code 890). Later renamed to North Macedonia,FALSE
Egypt,818,NA,NA,Current ISO 3166-1 country,FALSE
United Kingdom of Great Britain and Northern Ireland,826,NA,NA,Current ISO 3166-1 country,FALSE
Channel Islands,830,NA,2023,"Removed from M49 list, individual islands given separate codes",TRUE
Guernsey,831,2005,NA,Part of the Channel Islands (numerical code 830),FALSE
Jersey,832,2005,NA,Part of the Channel Islands (numerical code 830),FALSE
Isle of Man,833,NA,NA,Current ISO 3166-1 country,FALSE
"Tanzania, United Republic of",834,NA,NA,Current ISO 3166-1 country,FALSE
United States of America,840,NA,NA,Current ISO 3166-1 country,FALSE
Virgin Islands (U.S.),850,NA,NA,Current ISO 3166-1 country,FALSE
Burkina Faso,854,NA,NA,Current ISO 3166-1 country,FALSE
Uruguay,858,NA,NA,Current ISO 3166-1 country,FALSE
Uzbekistan,860,1991,NA,Formerly part of the Union of Soviet Socialist Republics (numerical code 810),FALSE
"Venezuela, Bolivarian Republic of",862,NA,NA,Current ISO 3166-1 country,FALSE
Wallis and Futuna,876,NA,NA,Current ISO 3166-1 country,FALSE
