banked_key,label,source,banked_span,queue_state,n_carries,carries,banked_verdict
switzerland|fao1952|1936-1951,switzerland,fao1952,1936-1951,matched,0,,confirm
switzerland|iia|1909-1945,switzerland,iia,1909-1945,matched,0,,confirm
syrian arab republic|iia|1922-1945,syrian arab republic,iia,1922-1945,matched,0,,confirm
syrian arab republic|mitchell|1922-1945,syrian arab republic,mitchell,1922-1945,matched,0,,confirm
syrian arab republic|mitchell|1946-1960,syrian arab republic,mitchell,1946-1960,matched,0,,confirm
syria|fao1952|1949-1951,syria,fao1952,1949-1951,matched,0,,confirm
tanganyika|fao1952|1937-1951,tanganyika,fao1952,1937-1951,matched,0,,confirm
tanzania|iia|1922-1945,tanzania,iia,1922-1945,matched,0,,confirm
tanzania|mitchell|1922-1960,tanzania,mitchell,1922-1960,matched,0,,confirm
tasmania|sa_colonial|1854-1898,tasmania,sa_colonial,1854-1898,matched,0,,confirm
thailand|iia|1911-1944,thailand,iia,1911-1944,matched,0,,confirm
thailand|mitchell|1909-1960,thailand,mitchell,1909-1960,matched,0,,confirm
timor leste|iia|1909-1940,timor leste,iia,1909-1940,matched,0,,confirm
trinidad and tobago|mitchell|1850-1960,trinidad and tobago,mitchell,1850-1960,matched,0,,confirm
tunisia|fao1952|1937-1951,tunisia,fao1952,1937-1951,matched,0,,confirm
tunisia|iia|1909-1945,tunisia,iia,1909-1945,matched,0,,confirm
turkey|fao1952|1937-1951,turkey,fao1952,1937-1951,matched,0,,confirm
turkey|iia|1924-1945,turkey,iia,1924-1945,matched,0,,confirm
turkey|mitchell|1920-1960,turkey,mitchell,1920-1960,matched,0,,confirm
uganda|fao1952|1937-1951,uganda,fao1952,1937-1951,matched,0,,confirm
uganda|mitchell|1926-1960,uganda,mitchell,1926-1960,matched,0,,confirm
union of south africa|fao1952|1937-1951,union of south africa,fao1952,1937-1951,matched,0,,confirm
united kingdom great britain|fao1952|1937-1951,united kingdom great britain,fao1952,1937-1951,matched,0,,uncertain
united kingdom|fao1952|1937-1951,united kingdom,fao1952,1937-1951,matched,0,,confirm
united kingdom|juan|1867-1920,united kingdom,juan,1867-1920,matched,0,,confirm
united kingdom|juan|1921-1960,united kingdom,juan,1921-1960,matched,0,,confirm
united states and dependent territories|fao1952|1938-1951,united states and dependent territories,fao1952,1938-1951,matched,0,,confirm
united states of america|iia|1909-1945,united states of america,iia,1909-1945,matched,0,,confirm
united states of america|juan|1900-1958,united states of america,juan,1900-1958,matched,0,,confirm
united states of america|juan|1959-1960,united states of america,juan,1959-1960,matched,0,,confirm
united states of america|mitchell|1867-1958,united states of america,mitchell,1867-1958,matched,0,,confirm
united states|fao1952|1931-1951,united states,fao1952,1931-1951,matched,0,,confirm
uruguay|fao1952|1937-1951,uruguay,fao1952,1937-1951,matched,0,,confirm
uruguay|iia|1910-1945,uruguay,iia,1910-1945,matched,0,,confirm
uruguay|mitchell|1860-1960,uruguay,mitchell,1860-1960,matched,0,,confirm
venezuela|fao1952|1937-1951,venezuela,fao1952,1937-1951,matched,0,,confirm
venezuela|juan|1900-1960,venezuela,juan,1900-1960,matched,0,,confirm
venezuela|mitchell|1873-1960,venezuela,mitchell,1873-1960,matched,0,,confirm
victoria|sa_colonial|1854-1898,victoria,sa_colonial,1854-1898,matched,0,,confirm
viet nam|iia|1930-1944,viet nam,iia,1930-1944,carried,1,viet nam|iia|1929-1944@1.0000,confirm
western australia|sa_colonial|1854-1898,western australia,sa_colonial,1854-1898,matched,0,,confirm
yugoslav sfr|juan|1909-1911,yugoslav sfr,juan,1909-1911,matched,0,,uncertain
yugoslav sfr|juan|1920-1946,yugoslav sfr,juan,1920-1946,matched,0,,confirm
yugoslav sfr|juan|1921-1947,yugoslav sfr,juan,1921-1947,carried,2,yugoslav sfr|juan|1920-1946@0.9630;yugoslav sfr|juan|1947-1960@0.0370,confirm
yugoslav sfr|juan|1947-1960,yugoslav sfr,juan,1947-1960,matched,0,,confirm
yugoslavia|fao1952|1937-1947,yugoslavia,fao1952,1937-1947,carried,2,yugoslavia|fao1952|1937-1939@0.2727;yugoslavia|fao1952|1947-1951@0.0909,confirm
yugoslavia|fao1952|1947-1951,yugoslavia,fao1952,1947-1951,matched,0,,confirm
zambia|iia|1922-1944,zambia,iia,1922-1944,matched,0,,confirm
zanzibar and pemba|fao1952|1937-1951,zanzibar and pemba,fao1952,1937-1951,matched,0,,confirm
zimbabwe|iia|1911-1945,zimbabwe,iia,1911-1945,matched,0,,confirm
zimbabwe|mitchell|1901-1952,zimbabwe,mitchell,1901-1952,matched,0,,confirm
