unit_kind,key,status,issue_id,evidence_hash,last_run,last_commit
match,Paraguay (to 1938),fixed,,,2026-07-01,
match,Romania (1918-1919),fixed,,,2026-07-01,
match,Romania (1940-2025),fixed,,,2026-07-01,
match,Serbia (1816-1913),unreviewed,,,2026-07-01,
polity,HUN-1940-1944,correct,,,2026-07-01,
polity,MMR-1852-1885,correct,,31d56eb0acd0117b,2026-07-01,
polity,MMR-1885-2025,correct,,31d56eb0acd0117b,2026-07-01,
polity,PER-1825-1884,correct,,c25eca6ab482e3a8,2026-07-01,
polity,PER-1884-1909,correct,,,2026-07-01,
polity,PNG-1949-1975,correct,,a8d07767ca11ec36,2026-07-01,
polity,POL-1919-1920,correct,,1380667fadf598ae,2026-07-01,
polity,PRY-1870-1932,correct,,,2026-07-01,
polity,ROU-1918-1919,correct,,918334a7523b86d2,2026-07-01,
polity,ROU-1940-1947,correct,,c3780f1a3e564faa,2026-07-01,
polity,ROU-1947-2025,correct,,,2026-07-01,
polity,SER-1878-1913,correct,,,2026-07-01,
polity,TAN-1920-1922,correct,,c168346ee1035c30,2026-07-01,
polity,THA-1904-1907,correct,,e43ad96fbc2eb1ce,2026-07-01,
polity,THA-1907-1909,correct,,feefbabcb302e027,2026-07-01,
polity,THA-1909-2025,correct,,2f0452dc547023f5,2026-07-01,
polity,TRP-1943-1951,correct,,,2026-07-01,
polity,TUR-1914-1918,correct,,d3c5d4c4859af02b,2026-07-01,
polity,TWN-1895-1945,correct,,1d3b51f177bfc310,2026-07-01,
polity,TWN-1945-2025,correct,,1d3b51f177bfc310,2026-07-01,
polity,UGA-1902-1910,correct,,4992d9ebbd463be7,2026-07-01,
polity,UGA-1910-1926,correct,,e6f46c499f94c2c1,2026-07-01,
polity,UGA-1926-1962,correct,,61fe965df4e5c544,2026-07-01,
polity,USA-1848-1867,correct,,4e6ae12a94098000,2026-07-01,
polity,USA-1867-1959,correct,,05fc1f6fbef468b5,2026-07-01,
polity,USA-1959-2025,correct,,8b42a6d0ad24d766,2026-07-01,
polity,ZWE-1900-1953,correct,,d5fb22553bfbf8a4,2026-07-01,
polity,ADE-1839-1963,correct,,d5904641a61ace4c,2026-07-01,
polity,ALB-1913-2025,correct,,7dd321f3b70a3c09,2026-07-01,
polity,AND-1800-2025,correct,,a3e6955e0ade65e5,2026-07-01,
polity,ASM-1900-2025,correct,,1ca495258097acb3,2026-07-01,
polity,BRA-1800-2025,correct,,9e5f17064dc2f811,2026-07-01,
polity,BSS-1884-1960,correct,,a82e9043ec15fd42,2026-07-01,
polity,BTN-1800-2025,correct,,2367330d840b43be,2026-07-01,
polity,CHE-1800-2025,correct,,64ec4679ad5e91dc,2026-07-01,
polity,CRI-1800-2025,correct,,b921d3d3f69fe5bb,2026-07-01,
polity,CUB-1800-2025,correct,,17e662650c10a732,2026-07-01,
polity,CYP-1879-2025,correct,,547444c009869917,2026-07-01,
polity,DOM-1800-2025,correct,,c5aff64add67906b,2026-07-01,
match,Paraguay (Chaco War period),fixed,,,2026-07-01,
match,Tanzania (1922-1964),fixed,,,2026-07-01,
match,papua new guinea,fixed,,,2026-07-01,
match,Turkey (Anatolia to 1913),fixed,,,2026-07-01,
match,Türkiye (1913-1914),fixed,,,2026-07-01,
match,Türkiye (1918-1920),fixed,,,2026-07-01,
match,South Africa,issue,,,2026-07-01,
match,Angola,unreviewed,,,2026-07-01,
match,Argentina,fixed,,,2026-07-01,
match,Belize,fixed,,,2026-07-01,
match,djibouti (IIA 1930-1945),fixed,,,2026-07-01,
polity,ARG-1800-1899,correct,,28f14c203bd78b2b,2026-07-01,
polity,ARG-1899-1902,correct,,,2026-07-01,
polity,ARG-1902-2025,correct,,,2026-07-01,
polity,TAN-1922-1964,correct,,800554175f77b0ec,2026-07-01,
polity,TPAP-1906-1949,correct,,b94eecf5cf2fdf11,2026-07-01,
polity,F228-1945-1991,correct,,f405575ea075f1ed,2026-07-01,
polity,GLP-1816-2025,correct,,c295aab18246db85,2026-07-01,
polity,GMB-1800-2025,correct,,b3bbf61834adc61b,2026-07-01,
polity,GTM-1821-2025,correct,,83c5246c6f458fbd,2026-07-01,
polity,HAWI-1898-1959,correct,,a180de84961e7171,2026-07-01,
polity,HTI-1800-2025,correct,,6a403a29de41c867,2026-07-01,
polity,ISL-1800-2025,correct,,ac224433b8cd48f6,2026-07-01,
polity,KWT-1800-2025,correct,,c9a44f1be47bec22,2026-07-01,
polity,LBR-1847-2025,correct,,432221e0c56f2454,2026-07-01,
polity,NZL-1840-2025,correct,,f11f92f744cdb085,2026-07-01,
polity,QUE-1859-1900,correct,,554ee122852ea78e,2026-07-01,
polity,REU-1946-2025,correct,,9307fc227a0004a9,2026-07-01,
polity,ZAF-1910-2025,correct,,21d81ec4cb2ad492,2026-07-01,
match,Indonesia Bali and Lombok,correct,,2a8532c81c6920c3,2026-07-02,
match,China 22 provinces & Taiwan,correct,,54a25aff5cd0ed85,2026-07-02,
match,French Morocco & Br Gold Coast,correct,,54a25aff5cd0ed85,2026-07-02,
match,angola,fixed,,,2026-07-02,
match,Surinam,fixed,,,2026-07-02,
match,"Pakistan (territory within British India, 1940–1947)",fixed,,,2026-07-02,
match,Marcinique,fixed,,,2026-07-02,
match,Portuguese Timor,fixed,,,2026-07-02,
match,British West Indies Bahama Islands,fixed,,,2026-07-02,
match,Norfolk Islands,fixed,,,2026-07-02,
match,Pacific Is US tr,fixed,,,2026-07-02,
match,United Kingdom Great Britain,fixed,,,2026-07-02,
match,Australia Fiji,issue,,,2026-07-02,
match,Br West Indies Barbados,fixed,,,2026-07-02,
match,China and Manchuria,issue,,,2026-07-02,
match,Comoro Islands,issue,,,2026-07-02,
match,Fr Equat Africa,fixed,,,2026-07-02,
match,Makatea,issue,,,2026-07-02,
match,Necherlands,issue,,,2026-07-02,
match,NetherlandsWest Indies,fixed,,,2026-07-02,
match,Singapore Christmas Island,issue,,,2026-07-02,
match,St Pierre and Miquelon,fixed,,,2026-07-02,
match,Syria and Lebanon,issue,,,2026-07-02,
match,Yemen,issue,,,2026-07-02,
match,ltaly,issue,,,2026-07-02,
match,niger,fixed,,,2026-07-02,
match,zambia,issue,,,2026-07-02,
match,British W Indies Jamaica,issue,,,2026-07-02,
match,Denmark The Faeroes,fixed,,,2026-07-02,
match,Portuguese India,fixed,,,2026-07-02,
match,United States California,issue,,,2026-07-02,
match,Windward Islands  Grenada,fixed,,,2026-07-02,
match,Windward Islands  St Lucia,fixed,,,2026-07-02,
match,sweden|mitchell|1885-1905,correct,,54b803e727229c67,2026-07-24,
match,austria|mitchell|1851-1918,correct,,afd2e49061392903,2026-07-24,
match,norway|juan|1855-1960,correct,,2e62c9bb18ce9701,2026-07-24,
match,united states of america|juan|1900-1959,fixed,,,2026-07-24,
match,japan|mitchell|1896-1945,correct,,d1bd7720cf9ba5f7,2026-07-24,
match,algeria|mitchell|1920-1960,correct,,c1806ea238076821,2026-07-24,
match,czech republic|iia|1919-1938,correct,,836b3f4c8cdcfb0c,2026-07-24,
match,indonesia bali and lombok|fao1952|1950-1951,fixed,,,2026-07-24,
