reporter_code,reporter,partner_code,partner,item_code,item,year,exp_t,imp_t,ratio,prod_t,reporter_imports_t,avail_t,exp_over_avail,imp_over_avail,impossible_side,plausible_side,whep_keeps_plausible
173,Poland,126,Lithuania,1166,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",2013,4322.0,1.0,4322.0,1498.75,72.0,1570.75,2.752,0.001,exporter,importer,false
97,Hungary,106,Italy,868,"Edible offal of cattle, fresh, chilled or frozen",2017,13074.03,3.26,4010.439,1877.47,1226.55,3104.02,4.212,0.001,exporter,importer,false
114,Kenya,229,United Kingdom of Great Britain and Northern Ireland,420,"Broad beans and horse beans, green",2018,3415.64,1.35,2530.104,1184.0,2.51,1186.51,2.879,0.001,exporter,importer,false
10,Australia,231,United States of America,334,Oil of linseed,2018,7090.34,3.31,2142.097,2200.0,1301.67,3501.67,2.025,0.001,exporter,importer,false
210,Sweden,63,Estonia,558,Other berries and fruits of the genus vaccinium n.e.c.,2011,2097.0,1.0,2097.0,20.0,696.0,716.0,2.929,0.001,exporter,importer,false
255,Belgium,150,Netherlands (Kingdom of the),181,"Broad beans and horse beans, dry",2007,8787.0,5.0,1757.4,1900.0,1300.0,3200.0,2.746,0.002,exporter,importer,false
95,Honduras,231,United States of America,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2002,10487.0,6.0,1747.833,3758.0,57.0,3815.0,2.749,0.002,exporter,importer,false
207,Suriname,69,French Guiana,490,Oranges,1988,30036.0,18.0,1668.667,10013.0,0.0,10013.0,3.0,0.002,exporter,importer,false
27,Bulgaria,183,Romania,446,Green corn (maize),2012,11940.0,8.0,1492.5,646.0,1491.0,2137.0,5.587,0.004,exporter,importer,false
114,Kenya,229,United Kingdom of Great Britain and Northern Ireland,393,Cauliflowers and broccoli,2003,7135.0,6.0,1189.167,2320.0,0.0,2320.0,3.075,0.003,exporter,importer,false
166,Panama,231,United States of America,463,"Other vegetables, fresh n.e.c.",2002,21046.0,21.0,1002.19,5627.0,65.0,5692.0,3.697,0.004,exporter,importer,false
10,Australia,117,Republic of Korea,162,Raw cane or beet sugar (centrifugal only),2005,1.0,1010406.0,1010406.0,5234000.0,2583.0,5236583.0,0.0,0.193,none,undetermined,unknown
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2000,1.0,802053.0,802053.0,5448000.0,2783.0,5450783.0,0.0,0.147,none,undetermined,unknown
150,Netherlands (Kingdom of the),102,Iran (Islamic Republic of),56,Maize (corn),2017,1.75,1398383.25,799076.143,116711.0,5200616.3100000005,5317327.3100000005,0.0,0.263,none,undetermined,unknown
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2001,1.0,762050.0,762050.0,4162000.0,3443.0,4165443.0,0.0,0.183,none,undetermined,unknown
10,Australia,117,Republic of Korea,162,Raw cane or beet sugar (centrifugal only),1994,1.0,674753.0,674753.0,4300000.0,0.0,4300000.0,0.0,0.157,none,undetermined,unknown
101,Indonesia,200,Singapore,257,Palm oil,2006,631603.0,1.0,631603.0,17350848.0,11415.0,17362263.0,0.036,0.0,none,undetermined,unknown
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2009,1.0,571013.0,571013.0,4634000.0,32024.0,4666024.0,0.0,0.122,none,undetermined,unknown
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2008,1.0,497331.0,497331.0,4763435.0,2893.0,4766328.0,0.0,0.104,none,undetermined,unknown
10,Australia,110,Japan,44,Barley,1997,2.0,828739.0,414369.5,6482000.0,0.0,6482000.0,0.0,0.128,none,undetermined,unknown
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2013,1.0,312005.0,312005.0,4300000.0,32887.0,4332887.0,0.0,0.072,none,undetermined,unknown
10,Australia,101,Indonesia,162,Raw cane or beet sugar (centrifugal only),2016,3.05,896430.5,293911.639,5058000.0,57871.49,5115871.49,0.0,0.175,none,undetermined,unknown
21,Brazil,225,United Arab Emirates,162,Raw cane or beet sugar (centrifugal only),2015,559747.73,2.08,269109.486,35194000.0,8.190000000000001,35194008.19,0.016,0.0,none,undetermined,unknown
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2007,2.0,461024.0,230512.0,5026332.0,2005.0,5028337.0,0.0,0.092,none,undetermined,unknown
33,Canada,109,Jamaica,15,Wheat,2007,226980.0,1.0,226980.0,20090400.0,25125.0,20115525.0,0.011,0.0,none,undetermined,unknown
10,Australia,101,Indonesia,162,Raw cane or beet sugar (centrifugal only),2012,1.0,220950.0,220950.0,3683000.0,86107.0,3769107.0,0.0,0.059,none,undetermined,unknown
10,Australia,41,"China, mainland",162,Raw cane or beet sugar (centrifugal only),1994,3.0,641825.0,213941.667,4300000.0,0.0,4300000.0,0.0,0.149,none,undetermined,unknown
230,Ukraine,203,Spain,268,"Sunflower-seed oil, crude",2007,1.0,191382.0,191382.0,2228380.0,236.0,2228616.0,0.0,0.086,none,undetermined,unknown
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2002,4.0,723040.0,180760.0,4987000.0,4530.0,4991530.0,0.0,0.145,none,undetermined,unknown
231,United States of America,157,Nicaragua,27,Rice,2005,180127.0,1.0,180127.0,10107540.0,20.0,10107560.0,0.018,0.0,none,undetermined,unknown
10,Australia,101,Indonesia,162,Raw cane or beet sugar (centrifugal only),2009,1.0,180001.0,180001.0,4634000.0,32024.0,4666024.0,0.0,0.039,none,undetermined,unknown
44,Colombia,33,Canada,486,Bananas,2005,1.0,163714.0,163714.0,1798709.0,5800.0,1804509.0,0.0,0.091,none,undetermined,unknown
150,Netherlands (Kingdom of the),84,Greece,15,Wheat,2000,1.0,154642.0,154642.0,1142700.0,2361599.0,3504299.0,0.0,0.044,none,undetermined,unknown
10,Australia,150,Netherlands (Kingdom of the),270,Rape or colza seed,2021,250664.2,1.68,149204.881,6820286.77,1428.66,6821715.43,0.037,0.0,none,undetermined,unknown
150,Netherlands (Kingdom of the),105,Israel,56,Maize (corn),2005,2.0,283800.0,141900.0,183000.0,2223668.0,2406668.0,0.0,0.118,none,undetermined,unknown
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2005,5.0,700932.0,140186.4,5234000.0,2583.0,5236583.0,0.0,0.134,none,undetermined,unknown
101,Indonesia,79,Germany,252,Coconut oil,2013,1.0,134451.0,134451.0,919931.0,2321.0,922252.0,0.0,0.146,none,undetermined,unknown
230,Ukraine,105,Israel,44,Barley,2012,129457.0,1.0,129457.0,6936400.0,25202.0,6961602.0,0.019,0.0,none,undetermined,unknown
48,Costa Rica,33,Canada,486,Bananas,2007,1.0,125272.0,125272.0,2079106.0,24121.0,2103227.0,0.0,0.06,none,undetermined,unknown
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2014,1.84,222000.0,120652.174,4364000.0,112552.46,4476552.46,0.0,0.05,none,undetermined,unknown
10,Australia,110,Japan,162,Raw cane or beet sugar (centrifugal only),2001,5.0,589845.0,117969.0,4162000.0,3443.0,4165443.0,0.0,0.142,none,undetermined,unknown
10,Australia,200,Singapore,162,Raw cane or beet sugar (centrifugal only),1988,1.0,117608.0,117608.0,3678841.0,10.0,3678851.0,0.0,0.032,none,undetermined,unknown
79,Germany,102,Iran (Islamic Republic of),237,Soya bean oil,2010,1.0,117462.0,117462.0,579200.0,69221.0,648421.0,0.0,0.181,none,undetermined,unknown
10,Australia,200,Singapore,162,Raw cane or beet sugar (centrifugal only),1986,1.0,112607.0,112607.0,3371000.0,30.0,3371030.0,0.0,0.033,none,undetermined,unknown
225,United Arab Emirates,249,Yemen,15,Wheat,2005,1.0,110541.0,110541.0,24.0,1576628.0,1576652.0,0.0,0.07,none,undetermined,unknown
100,India,144,Mozambique,162,Raw cane or beet sugar (centrifugal only),2016,1.9,208668.0,109825.263,27385000.0,2117200.08,29502200.08,0.0,0.007,none,undetermined,unknown
48,Costa Rica,33,Canada,486,Bananas,2004,1.0,106132.0,106132.0,1814123.0,944.0,1815067.0,0.0,0.058,none,undetermined,unknown
10,Australia,200,Singapore,1225,Tallow,2013,308889.0,3.0,102963.0,548000.0,849.0,548849.0,0.563,0.0,none,undetermined,unknown
150,Netherlands (Kingdom of the),105,Israel,56,Maize (corn),2006,1.0,101748.0,101748.0,181200.0,2397416.0,2578616.0,0.0,0.039,none,undetermined,unknown
21,Brazil,211,Switzerland,56,Maize (corn),2001,290745.0,3.0,96915.0,41962475.0,624362.0,42586837.0,0.007,0.0,none,undetermined,unknown
44,Colombia,33,Canada,486,Bananas,1996,1.0,94127.0,94127.0,1491109.0,48902.0,1540011.0,0.0,0.061,none,undetermined,unknown
48,Costa Rica,33,Canada,486,Bananas,2005,1.0,92667.0,92667.0,1629373.0,2355.0,1631728.0,0.0,0.057,none,undetermined,unknown
44,Colombia,33,Canada,486,Bananas,2013,1.0,84700.0,84700.0,2026811.0,2757.0,2029568.0,0.0,0.042,none,undetermined,unknown
131,Malaysia,200,Singapore,661,Cocoa beans,2018,88626.7,1.1,80569.727,826.0,345489.24,346315.24,0.256,0.0,none,undetermined,unknown
10,Australia,110,Japan,162,Raw cane or beet sugar (centrifugal only),2004,6.0,465417.0,77569.5,4994000.0,4997.0,4998997.0,0.0,0.093,none,undetermined,unknown
10,Australia,156,New Zealand,162,Raw cane or beet sugar (centrifugal only),1987,1.0,76851.0,76851.0,3439000.0,16.0,3439016.0,0.0,0.022,none,undetermined,unknown
185,Russian Federation,194,Saudi Arabia,15,Wheat,2003,75559.0,1.0,75559.0,34069788.0,640680.0,34710468.0,0.002,0.0,none,undetermined,unknown
10,Australia,200,Singapore,162,Raw cane or beet sugar (centrifugal only),1991,2.0,147006.0,73503.0,3514522.0,1443.0,3515965.0,0.0,0.042,none,undetermined,unknown
101,Indonesia,79,Germany,252,Coconut oil,2014,1.53,111522.1,72890.261,911100.0,137.7,911237.7,0.0,0.122,none,undetermined,unknown
150,Netherlands (Kingdom of the),84,Greece,15,Wheat,1999,1.0,71389.0,71389.0,851400.0,3075554.0,3926954.0,0.0,0.018,none,undetermined,unknown
10,Australia,101,Indonesia,162,Raw cane or beet sugar (centrifugal only),2021,19.04,1331388.0,69925.84,4335000.0,2707.18,4337707.18,0.0,0.307,none,undetermined,unknown
10,Australia,231,United States of America,162,Raw cane or beet sugar (centrifugal only),2006,2.0,135040.0,67520.0,5063000.0,1381.0,5064381.0,0.0,0.027,none,undetermined,unknown
54,Denmark,110,Japan,1035,"Meat of pig with the bone, fresh or chilled",1999,192798.0,3.0,64266.0,1641800.0,36177.0,1677977.0,0.115,0.0,none,undetermined,unknown
56,Dominican Republic,229,United Kingdom of Great Britain and Northern Ireland,489,Plantains and cooking bananas,2017,84661.89,1.33,63655.556,1036268.0,0.4,1036268.4,0.082,0.0,none,undetermined,unknown
216,Thailand,237,Viet Nam,603,"Other tropical fruits, n.e.c.",2020,79350.16,1.28,61992.312,2917360.0,3079.24,2920439.24,0.027,0.0,none,undetermined,unknown
10,Australia,101,Indonesia,162,Raw cane or beet sugar (centrifugal only),2011,5.0,300228.0,60045.6,3610000.0,102367.0,3712367.0,0.0,0.081,none,undetermined,unknown
230,Ukraine,97,Hungary,187,"Peas, dry",2004,59996.0,1.0,59996.0,636300.0,870.0,637170.0,0.094,0.0,none,undetermined,unknown
150,Netherlands (Kingdom of the),106,Italy,15,Wheat,2002,1.0,58881.0,58881.0,1056640.0,3779565.0,4836205.0,0.0,0.012,none,undetermined,unknown
150,Netherlands (Kingdom of the),100,India,237,Soya bean oil,2021,3.44,199893.94,58108.703,621100.0,78209.0,699309.0,0.0,0.286,none,undetermined,unknown
10,Australia,101,Indonesia,162,Raw cane or beet sugar (centrifugal only),2018,15.93,922897.0,57934.526,4480000.0,2518.89,4482518.89,0.0,0.206,none,undetermined,unknown
131,Malaysia,200,Singapore,661,Cocoa beans,2021,95254.7,1.69,56363.728,537.0,478786.68,479323.68,0.199,0.0,none,undetermined,unknown
106,Italy,68,France,890,"Whey, condensed",1998,56223.0,1.0,56223.0,69650.0,1712.0,71362.0,0.788,0.0,none,undetermined,unknown
10,Australia,156,New Zealand,162,Raw cane or beet sugar (centrifugal only),1990,1.0,55213.0,55213.0,3681000.0,1490.0,3682490.0,0.0,0.015,none,undetermined,unknown
126,Lithuania,185,Russian Federation,388,Tomatoes,2014,55692.7,1.01,55141.287,11978.0,102659.5,114637.5,0.486,0.0,none,undetermined,unknown
231,United States of America,79,Germany,270,Rape or colza seed,1994,54237.0,1.0,54237.0,208670.0,409896.0,618566.0,0.088,0.0,none,undetermined,unknown
10,Australia,101,Indonesia,162,Raw cane or beet sugar (centrifugal only),2010,3.0,161100.0,53700.0,4519000.0,28812.0,4547812.0,0.0,0.035,none,undetermined,unknown
10,Australia,101,Indonesia,162,Raw cane or beet sugar (centrifugal only),2019,10.42,551876.8,52963.225,4725000.0,2265.11,4727265.11,0.0,0.117,none,undetermined,unknown
229,United Kingdom of Great Britain and Northern Ireland,225,United Arab Emirates,44,Barley,2015,66000.0,1.25,52800.0,7370000.0,135501.33,7505501.33,0.009,0.0,none,undetermined,unknown
231,United States of America,112,Jordan,15,Wheat,2010,51160.0,1.0,51160.0,60062408.0,2494599.0,62557007.0,0.001,0.0,none,undetermined,unknown
10,Australia,231,United States of America,162,Raw cane or beet sugar (centrifugal only),2018,1.0,49668.0,49668.0,4480000.0,2518.89,4482518.89,0.0,0.011,none,undetermined,unknown
211,Switzerland,68,France,900,"Whey, dry",2007,49348.0,1.0,49348.0,59000.0,7887.0,66887.0,0.738,0.0,none,undetermined,unknown
185,Russian Federation,183,Romania,15,Wheat,2016,117607.15,2.4,49002.979,73345679.0,579923.1900000001,73925602.19,0.002,0.0,none,undetermined,unknown
44,Colombia,33,Canada,486,Bananas,1997,2.0,96653.0,48326.5,1607960.0,50517.0,1658477.0,0.0,0.058,none,undetermined,unknown
216,Thailand,120,Lao People's Democratic Republic,1058,"Meat of chickens, fresh or chilled",2016,54058.43,1.12,48266.455,1628708.17,1688.85,1630397.02,0.033,0.0,none,undetermined,unknown
84,Greece,15,Belgium-Luxembourg,56,Maize (corn),1989,46314.0,1.0,46314.0,2221700.0,23307.0,2245007.0,0.021,0.0,none,undetermined,unknown
44,Colombia,33,Canada,486,Bananas,2007,3.0,137865.0,45955.0,1819874.0,6188.0,1826062.0,0.0,0.075,none,undetermined,unknown
230,Ukraine,229,United Kingdom of Great Britain and Northern Ireland,267,Sunflower seed,2007,89181.0,2.0,44590.5,4174400.0,6640.0,4181040.0,0.021,0.0,none,undetermined,unknown
255,Belgium,143,Morocco,15,Wheat,2001,44538.0,1.0,44538.0,1457400.0,3191437.0,4648837.0,0.01,0.0,none,undetermined,unknown
10,Australia,200,Singapore,162,Raw cane or beet sugar (centrifugal only),1990,3.0,132306.0,44102.0,3681000.0,1490.0,3682490.0,0.0,0.036,none,undetermined,unknown
96,"China, Hong Kong SAR",41,"China, mainland",619,"Other fruits, n.e.c.",1996,43220.0,1.0,43220.0,5230.0,101438.0,106668.0,0.405,0.0,none,undetermined,unknown
185,Russian Federation,230,Ukraine,116,Potatoes,2018,129390.04,3.0,43130.013,22394960.0,572872.88,22967832.88,0.006,0.0,none,undetermined,unknown
79,Germany,102,Iran (Islamic Republic of),268,"Sunflower-seed oil, crude",2010,1.0,43000.0,43000.0,128400.0,267895.0,396295.0,0.0,0.109,none,undetermined,unknown
58,Ecuador,33,Canada,486,Bananas,1988,2.0,85757.0,42878.5,2576096.0,0.0,2576096.0,0.0,0.033,none,undetermined,unknown
131,Malaysia,200,Singapore,661,Cocoa beans,2019,90248.98,2.15,41976.27,1017.0,351492.69,352509.69,0.256,0.0,none,undetermined,unknown
10,Australia,231,United States of America,162,Raw cane or beet sugar (centrifugal only),2020,3.2,131994.0,41248.125,4283000.0,2069.16,4285069.16,0.0,0.031,none,undetermined,unknown
44,Colombia,33,Canada,486,Bananas,2008,3.0,121800.0,40600.0,1987603.0,5740.0,1993343.0,0.0,0.061,none,undetermined,unknown
211,Switzerland,68,France,900,"Whey, dry",2004,40506.0,1.0,40506.0,45000.0,2774.0,47774.0,0.848,0.0,none,undetermined,unknown
216,Thailand,120,Lao People's Democratic Republic,1058,"Meat of chickens, fresh or chilled",2017,40518.05,1.01,40116.881,1659115.62,0.7,1659116.32,0.024,0.0,none,undetermined,unknown
10,Australia,101,Indonesia,162,Raw cane or beet sugar (centrifugal only),2020,30.51,1214466.0,39805.506,4283000.0,2069.16,4285069.16,0.0,0.283,none,undetermined,unknown
211,Switzerland,68,France,900,"Whey, dry",2006,39409.0,1.0,39409.0,42000.0,4712.0,46712.0,0.844,0.0,none,undetermined,unknown
230,Ukraine,105,Israel,44,Barley,2014,152857.49,3.88,39396.26,9046060.0,6902.45,9052962.45,0.017,0.0,none,undetermined,unknown
10,Australia,117,Republic of Korea,162,Raw cane or beet sugar (centrifugal only),2003,22.0,858415.0,39018.864,5461000.0,7214.0,5468214.0,0.0,0.157,none,undetermined,unknown
10,Australia,68,France,270,Rape or colza seed,2020,59540.1,1.53,38915.098,4756388.25,1278.5900000000001,4757666.84,0.013,0.0,none,undetermined,unknown
79,Germany,229,United Kingdom of Great Britain and Northern Ireland,236,Soya beans,1996,1.0,38746.0,38746.0,1000.0,2737122.0,2738122.0,0.0,0.014,none,undetermined,unknown
169,Paraguay,9,Argentina,236,Soya beans,2014,41431.51,1.08,38362.509,9975000.0,7373.11,9982373.11,0.004,0.0,none,undetermined,unknown
21,Brazil,231,United States of America,165,Molasses,2006,1.0,38044.0,38044.0,13500000.0,773.0,13500773.0,0.0,0.003,none,undetermined,unknown
100,India,41,"China, mainland",813,"Coir, raw",2019,388028.92,10.35,37490.717,867119.69,216.87,867336.5599999999,0.447,0.0,none,undetermined,unknown
229,United Kingdom of Great Britain and Northern Ireland,106,Italy,211,Other pulses n.e.c.,2003,74654.0,2.0,37327.0,464800.0,4895.0,469695.0,0.159,0.0,none,undetermined,unknown
231,United States of America,229,United Kingdom of Great Britain and Northern Ireland,83,Sorghum,2008,1.0,37025.0,37025.0,12087270.0,3633.0,12090903.0,0.0,0.003,none,undetermined,unknown
10,Australia,117,Republic of Korea,162,Raw cane or beet sugar (centrifugal only),2006,26.0,959863.0,36917.808,5063000.0,1381.0,5064381.0,0.0,0.19,none,undetermined,unknown
138,Mexico,231,United States of America,402,"Onions and shallots, green",1992,184459.0,5.0,36891.8,70784.0,54599.0,125383.0,1.471,0.0,none,undetermined,unknown
231,United States of America,236,Venezuela (Bolivarian Republic of),27,Rice,2019,52435.5,1.44,36413.542,8396180.0,177.02,8396357.02,0.006,0.0,none,undetermined,unknown
211,Switzerland,68,France,900,"Whey, dry",2002,36171.0,1.0,36171.0,38200.0,1789.0,39989.0,0.905,0.0,none,undetermined,unknown
