whole_code,part_code,source,year_first,year_last,whole_labels,part_labels,whole_method,part_method,shared_item_units,shared_cells,alias_visible
CHN-1947-1949,MAN-1945-1950,mitchell,1947,1949,"china, mainland;china, manchuria province of","China, Manchuria Province of;china, manchuria province of",alias;applied_alias,alias;applied_alias,14,137,yes
CHN-1949-1950,MAN-1945-1950,mitchell,1949,1949,"china, mainland","China, Manchuria Province of",alias;applied_alias,alias,11,56,yes
F237-1954-1975,RVN-1954-1975,faostat,1961,1974,Viet Nam,viet nam,alias,alias,0,0,yes
GCT-1919-1956,BTL-1920-1957,fao1952,1920,1956,Gold Coast & Br Togoland;Gold Coast and Br Tog;Gold Coast and Br Togoland;Gold Coast and British Togoland,British Togoland;british togoland,alias;applied_alias,alias;applied_alias,4,0,yes
GCT-1919-1956,GHA-1898-1957,fao1952,1919,1956,Gold Coast & Br Togoland;Gold Coast and Br Tog;Gold Coast and Br Togoland;Gold Coast and British Togoland,Gold Coast;gold coast,alias;applied_alias,alias;applied_alias,4,0,yes
JPN-1895-1945,RYU-1937-1945,fao1952,1937,1944,Japan;japan,Ryukyu Islands;ryukyu islands,alias;applied_alias,alias;applied_alias,22,45,yes
JPN-1895-1945,RYU-1937-1945,federico_tena,1937,1938,Japan,Ryukyu Islands,alias,alias,0,0,yes
MASG-1946-1963,MYS-1946-1957,fao1952,1946,1957,Malaya Federation of and Singapore;malaya federation of and singapore,Federation of Malaya;Malaya Fed of;Malaya Federation of;federation of malaya,alias;applied_alias,alias;applied_alias,0,0,yes
MYS-1963-1965,SGP-1963-1965,faostat,1963,1964,Malaysia,Singapore,alias,alias,0,0,yes
MYS-1963-1965,SGP-1963-1965,lassaletta-grassland-share,1963,1964,Malaysia,Singapore,alias,alias,0,0,yes
SYL-1944-1953,SYR-1946-1967,fao1952,1946,1953,Syria and Lebanon;syria and lebanon,Syria;syria,alias;applied_alias,alias;applied_alias,0,0,yes
USA-1867-1959,ALK-1867-1959,fao1952,1867,1959,united states;united states and dependent territories;united states of america,Alaska;alaska,alias;applied_alias;name,alias;applied_alias,20,25,yes
WIN-1833-1960,DMA-1800-2025,fao1952,1938,1951,British West Indies Windward Islands;Windward Islands;british west indies  windward islands;british west indies windward islands,British West Indies Dominica;british west indies dominica,alias;applied_alias,alias;applied_alias,0,0,yes
WIN-1833-1960,GRD-1800-2025,fao1952,1937,1951,British West Indies Windward Islands;Windward Islands;british west indies  windward islands;british west indies windward islands,Br West Indies Grenada;British West Indies Grenada;Windward Islands  Grenada;br west indies grenada,alias;applied_alias,alias;applied_alias,6,6,yes
WIN-1833-1960,LCA-1838-2025,fao1952,1937,1951,British West Indies Windward Islands;Windward Islands;british west indies  windward islands;british west indies windward islands,Br West Indies St Lucia;British West Indies St L cia;British West Indies St Lucia;Jamaica St Lucia,alias;applied_alias,alias;applied_alias,6,6,yes
WIN-1833-1960,VCT-1833-2025,fao1952,1939,1951,British West Indies Windward Islands;Windward Islands;british west indies  windward islands;british west indies windward islands,Br West Indies St Vincent;British West Indies St Vincent;Jamaica St Vincent;Windward Islands  St Vincent,alias;applied_alias,alias;applied_alias,4,4,yes
