source,country,item,unit,indicator,year,n_rows,values,largest,sum_of_rest,ratio,verdict
fao1952,cuba,horses mules asses,1000 heads,livestock:livestock,1951,3,409;34;3,409,37,11.0541,siblings_only
fao1952,cyprus,horses mules asses,1000 heads,livestock:livestock,1938,3,54;11;4,54,15,3.6000,siblings_only
fao1952,cyprus,horses mules asses,1000 heads,livestock:livestock,1949,3,54;10;4,54,14,3.8571,siblings_only
fao1952,cyprus,horses mules asses,1000 heads,livestock:livestock,1950,3,51;8;5,51,13,3.9231,siblings_only
fao1952,cyprus,horses mules asses,1000 heads,livestock:livestock,1951,3,51;8;5,51,13,3.9231,siblings_only
fao1952,dominican republic,horses mules asses,1000 heads,livestock:livestock,1939,3,245;116;48,245,164,1.4939,siblings_only
fao1952,dominican republic,horses mules asses,1000 heads,livestock:livestock,1949,3,139;79;45,139,124,1.1210,siblings_only
fao1952,dominican republic,horses mules asses,1000 heads,livestock:livestock,1950,3,142;80;47,142,127,1.1181,siblings_only
fao1952,ecuador,horses mules asses,1000 heads,livestock:livestock,1939,3,104;48;22,104,70,1.4857,siblings_only
fao1952,ecuador,horses mules asses,1000 heads,livestock:livestock,1949,3,111;100;54,111,154,0.7208,siblings_only
fao1952,egypt,horses mules asses,1000 heads,livestock:livestock,1939,3,1069;47;29,1069,76,14.0658,siblings_only
fao1952,eritrea,horses mules asses,1000 heads,livestock:livestock,1938,3,43;8;1,43,9,4.7778,siblings_only
fao1952,eritrea,horses mules asses,1000 heads,livestock:livestock,1949,3,82;9;1,82,10,8.2000,siblings_only
fao1952,eritrea,horses mules asses,1000 heads,livestock:livestock,1950,3,82;8;1,82,9,9.1111,siblings_only
fao1952,ethiopia,horses mules asses,1000 heads,livestock:livestock,1949,3,3000;1100;1000,3000,2100,1.4286,siblings_only
fao1952,ethiopia,horses mules asses,1000 heads,livestock:livestock,1950,3,3000;1100;1000,3000,2100,1.4286,siblings_only
fao1952,france,horses mules asses,1000 heads,livestock:livestock,1938,3,2692;185;108,2692,293,9.1877,siblings_only
fao1952,france,horses mules asses,1000 heads,livestock:livestock,1949,3,2418;107;88,2418,195,12.4000,siblings_only
fao1952,france,horses mules asses,1000 heads,livestock:livestock,1950,3,2414;106;90,2414,196,12.3163,siblings_only
fao1952,france,horses mules asses,1000 heads,livestock:livestock,1951,3,2397;104;91,2397,195,12.2923,siblings_only
fao1952,french cameroons,horses mules asses,1000 heads,livestock:livestock,1937,2,25;16,25,16,1.5625,siblings_only
fao1952,french cameroons,horses mules asses,1000 heads,livestock:livestock,1949,2,36;16,36,16,2.2500,siblings_only
fao1952,french cameroons,horses mules asses,1000 heads,livestock:livestock,1950,2,36;16,36,16,2.2500,siblings_only
fao1952,french cameroons,horses mules asses,1000 heads,livestock:livestock,1951,2,36;17,36,17,2.1176,siblings_only
fao1952,french equat africa,horses mules asses,1000 heads,livestock:livestock,1939,2,61;31,61,31,1.9677,siblings_only
fao1952,french equat africa,horses mules asses,1000 heads,livestock:livestock,1949,2,104;66,104,66,1.5758,siblings_only
fao1952,french equat africa,horses mules asses,1000 heads,livestock:livestock,1950,2,104;62,104,62,1.6774,siblings_only
fao1952,french equat africa,horses mules asses,1000 heads,livestock:livestock,1951,2,98;66,98,66,1.4848,siblings_only
fao1952,french morocco,horses mules asses,1000 heads,livestock:livestock,1939,3,604;187;147,604,334,1.8084,siblings_only
fao1952,french morocco,horses mules asses,1000 heads,livestock:livestock,1949,3,615;165;144,615,309,1.9903,siblings_only
fao1952,french morocco,horses mules asses,1000 heads,livestock:livestock,1950,3,688;179;149,688,328,2.0976,siblings_only
fao1952,french morocco,horses mules asses,1000 heads,livestock:livestock,1951,3,747;190;156,747,346,2.1590,siblings_only
fao1952,french togoland,horses mules asses,1000 heads,livestock:livestock,1951,2,3;2,3,2,1.5000,siblings_only
fao1952,french west africa,horses mules asses,1000 heads,livestock:livestock,1939,2,469;177,469,177,2.6497,siblings_only
fao1952,french west africa,horses mules asses,1000 heads,livestock:livestock,1949,2,542;198,542,198,2.7374,siblings_only
fao1952,french west africa,horses mules asses,1000 heads,livestock:livestock,1950,2,557;207,557,207,2.6908,siblings_only
fao1952,french west africa,horses mules asses,1000 heads,livestock:livestock,1951,2,560;202,560,202,2.7723,siblings_only
fao1952,germany,horses mules asses,1000 heads,livestock:livestock,1938,2,2391;5,2391,5,478.2000,siblings_only
fao1952,germany,horses mules asses,1000 heads,livestock:livestock,1949,2,2290;6,2290,6,381.6667,siblings_only
fao1952,germany,horses mules asses,1000 heads,livestock:livestock,1950,2,2332;5,2332,5,466.4000,siblings_only
fao1952,germany,horses mules asses,1000 heads,livestock:livestock,1951,2,2296;5,2296,5,459.2000,siblings_only
fao1952,germany eastern,horses mules asses,1000 heads,livestock:livestock,1938,2,811;2,811,2,405.5000,siblings_only
fao1952,germany eastern,horses mules asses,1000 heads,livestock:livestock,1949,2,665;1,665,1,665.0000,siblings_only
fao1952,germany western,horses mules asses,1000 heads,livestock:livestock,1938,2,1566;3,1566,3,522.0000,siblings_only
fao1952,germany western,horses mules asses,1000 heads,livestock:livestock,1949,2,1617;5,1617,5,323.4000,siblings_only
fao1952,germany western,horses mules asses,1000 heads,livestock:livestock,1950,2,1629;4,1629,4,407.2500,siblings_only
fao1952,germany western,horses mules asses,1000 heads,livestock:livestock,1951,2,1570;4,1570,4,392.5000,siblings_only
fao1952,gold coast and br togoland,horses mules asses,1000 heads,livestock:livestock,1938,2,15;4,15,4,3.7500,siblings_only
fao1952,gold coast and br togoland,horses mules asses,1000 heads,livestock:livestock,1949,2,18;6,18,6,3.0000,siblings_only
fao1952,gold coast and br togoland,horses mules asses,1000 heads,livestock:livestock,1950,2,18;6,18,6,3.0000,siblings_only
fao1952,gold coast and br togoland,horses mules asses,1000 heads,livestock:livestock,1951,2,15;5,15,5,3.0000,siblings_only
fao1952,greece,horses mules asses,1000 heads,livestock:livestock,1938,3,404;363;184,404,547,0.7386,siblings_only
fao1952,guadeloupe,horses mules asses,1000 heads,livestock:livestock,1939,3,4;4;1,4,5,0.8000,siblings_only
fao1952,guadeloupe,horses mules asses,1000 heads,livestock:livestock,1951,2,3;2,3,2,1.5000,siblings_only
fao1952,guatemala,horses mules asses,1000 heads,livestock:livestock,1938,2,35;3,35,3,11.6667,siblings_only
fao1952,guatemala,horses mules asses,1000 heads,livestock:livestock,1949,3,157;60;11,157,71,2.2113,siblings_only
fao1952,guatemala,horses mules asses,1000 heads,livestock:livestock,1950,3,183;58;10,183,68,2.6912,siblings_only
fao1952,haiti,horses mules asses,1000 heads,livestock:livestock,1939,3,642;400;64,642,464,1.3836,siblings_only
fao1952,hawaii,horses mules asses,1000 heads,livestock:livestock,1950,2,8;2,8,2,4.0000,siblings_only
fao1952,honduras,horses mules asses,1000 heads,livestock:livestock,1930,3,167;45;12,167,57,2.9298,siblings_only
fao1952,honduras,horses mules asses,1000 heads,livestock:livestock,1949,3,209;72;20,209,92,2.2717,siblings_only
fao1952,honduras,horses mules asses,1000 heads,livestock:livestock,1950,3,198;69;22,198,91,2.1758,siblings_only
fao1952,honduras,horses mules asses,1000 heads,livestock:livestock,1951,3,137;77;23,137,100,1.3700,siblings_only
fao1952,hungary,horses mules asses,1000 heads,livestock:livestock,1939,3,939;5;1,939,6,156.5000,siblings_only
fao1952,india,horses mules asses,1000 heads,livestock:livestock,1940,3,1186;780;50,1186,830,1.4289,siblings_only
fao1952,india,horses mules asses,1000 heads,livestock:livestock,1949,3,397;130;46,397,176,2.2557,siblings_only
fao1952,india,horses mules asses,1000 heads,livestock:livestock,1950,3,401;131;46,401,177,2.2655,siblings_only
fao1952,india,horses mules asses,1000 heads,livestock:livestock,1951,3,1527;1226;59,1527,1285,1.1883,siblings_only
fao1952,iran,horses mules asses,1000 heads,livestock:livestock,1937,3,305;180;52,305,232,1.3147,siblings_only
fao1952,iran,horses mules asses,1000 heads,livestock:livestock,1949,3,365;200;126,365,326,1.1196,siblings_only
fao1952,iran,horses mules asses,1000 heads,livestock:livestock,1951,3,1200;365;126,1200,491,2.4440,siblings_only
fao1952,iraq,horses mules asses,1000 heads,livestock:livestock,1938,3,150;120;60,150,180,0.8333,siblings_only
fao1952,iraq,horses mules asses,1000 heads,livestock:livestock,1949,3,413;188;52,413,240,1.7208,siblings_only
fao1952,ireland,horses mules asses,1000 heads,livestock:livestock,1939,3,445;148;10,445,158,2.8165,siblings_only
fao1952,ireland,horses mules asses,1000 heads,livestock:livestock,1949,3,402;119;5,402,124,3.2419,siblings_only
fao1952,ireland,horses mules asses,1000 heads,livestock:livestock,1950,3,391;114;5,391,119,3.2857,siblings_only
fao1952,ireland,horses mules asses,1000 heads,livestock:livestock,1951,3,367;102;4,367,106,3.4623,siblings_only
fao1952,israel,horses mules asses,1000 heads,livestock:livestock,1949,2,8;2,8,2,4.0000,siblings_only
fao1952,israel,horses mules asses,1000 heads,livestock:livestock,1950,2,15;11,15,11,1.3636,siblings_only
fao1952,israel,horses mules asses,1000 heads,livestock:livestock,1951,2,16;13,16,13,1.2308,siblings_only
fao1952,italy,horses mules asses,1000 heads,livestock:livestock,1939,3,789;781;432,789,1213,0.6505,siblings_only
fao1952,italy,horses mules asses,1000 heads,livestock:livestock,1949,3,798;763;394,798,1157,0.6897,siblings_only
fao1952,italy,horses mules asses,1000 heads,livestock:livestock,1950,3,797;771;398,797,1169,0.6818,siblings_only
fao1952,italy,horses mules asses,1000 heads,livestock:livestock,1951,3,773;768;393,773,1161,0.6658,siblings_only
fao1952,jordan,horses mules asses,1000 heads,livestock:livestock,1938,3,24;6;2,24,8,3.0000,siblings_only
fao1952,jordan,horses mules asses,1000 heads,livestock:livestock,1951,3,50;8;7,50,15,3.3333,siblings_only
fao1952,kenya,horses mules asses,1000 heads,livestock:livestock,1939,2,217;4,217,4,54.2500,siblings_only
fao1952,korea,horses mules asses,1000 heads,livestock:livestock,1937,3,51;3;1,51,4,12.7500,siblings_only
fao1952,lebanon,horses mules asses,1000 heads,livestock:livestock,1938,3,35;8;4,35,12,2.9167,siblings_only
fao1952,lebanon,horses mules asses,1000 heads,livestock:livestock,1949,3,25;8;4,25,12,2.0833,siblings_only
fao1952,lebanon,horses mules asses,1000 heads,livestock:livestock,1951,3,20;10;5,20,15,1.3333,siblings_only
fao1952,libya,horses mules asses,1000 heads,livestock:livestock,1938,3,40;13;4,40,17,2.3529,siblings_only
fao1952,libya,horses mules asses,1000 heads,livestock:livestock,1949,2,109;43,109,43,2.5349,siblings_only
fao1952,libya cyrenaica,horses mules asses,1000 heads,livestock:livestock,1949,2,10;4,10,4,2.5000,siblings_only
fao1952,libya tripolitania,horses mules asses,1000 heads,livestock:livestock,1949,3,27;5;1,27,6,4.5000,siblings_only
fao1952,libya tripolitania,horses mules asses,1000 heads,livestock:livestock,1951,3,29;5;1,29,6,4.8333,siblings_only
fao1952,madagascar,horses mules asses,1000 heads,livestock:livestock,1939,2,2;1,2,1,2.0000,siblings_only
fao1952,malta,horses mules asses,1000 heads,livestock:livestock,1939,3,3;3;3,3,6,0.5000,siblings_only
fao1952,malta,horses mules asses,1000 heads,livestock:livestock,1949,3,4;3;2,4,5,0.8000,siblings_only
fao1952,malta,horses mules asses,1000 heads,livestock:livestock,1950,3,3;3;2,3,5,0.6000,siblings_only
fao1952,malta,horses mules asses,1000 heads,livestock:livestock,1951,3,53;53;52,53,105,0.5048,siblings_only
fao1952,martinique,horses mules asses,1000 heads,livestock:livestock,1949,2,6;4,6,4,1.5000,siblings_only
fao1952,martinique,horses mules asses,1000 heads,livestock:livestock,1950,2,5;4,5,4,1.2500,siblings_only
fao1952,martinique,horses mules asses,1000 heads,livestock:livestock,1951,2,5;4,5,4,1.2500,siblings_only
fao1952,mexico,horses mules asses,1000 heads,livestock:livestock,1940,3,2509;2314;938,2509,3252,0.7715,siblings_only
fao1952,mexico,horses mules asses,1000 heads,livestock:livestock,1949,3,2722;2636;1225,2722,3861,0.7050,siblings_only
fao1952,nicaragua,horses mules asses,1000 heads,livestock:livestock,1930,3,150;40;2,150,42,3.5714,siblings_only
fao1952,nigeria,horses mules asses,1000 heads,livestock:livestock,1937,2,450;169,450,169,2.6627,siblings_only
fao1952,nigeria,horses mules asses,1000 heads,livestock:livestock,1949,2,579;164,579,164,3.5305,siblings_only
fao1952,nigeria,horses mules asses,1000 heads,livestock:livestock,1950,2,579;164,579,164,3.5305,siblings_only
fao1952,pakistan,horses mules asses,1000 heads,livestock:livestock,1940,3,934;540;33,934,573,1.6300,siblings_only
fao1952,pakistan,horses mules asses,1000 heads,livestock:livestock,1950,3,913;470;41,913,511,1.7867,siblings_only
fao1952,palestine,horses mules asses,1000 heads,livestock:livestock,1937,3,92;20;9,92,29,3.1724,siblings_only
fao1952,panama,horses mules asses,1000 heads,livestock:livestock,1951,2,158;5,158,5,31.6000,siblings_only
fao1952,paraguay,horses mules asses,1000 heads,livestock:livestock,1936,3,198;9;7,198,16,12.3750,siblings_only
fao1952,peru,horses mules asses,1000 heads,livestock:livestock,1929,3,432;195;70,432,265,1.6302,siblings_only
fao1952,peru,horses mules asses,1000 heads,livestock:livestock,1949,3,518;433;150,518,583,0.8885,siblings_only
fao1952,peru,horses mules asses,1000 heads,livestock:livestock,1951,3,500;432;140,500,572,0.8741,siblings_only
fao1952,portugal,horses mules asses,1000 heads,livestock:livestock,1934,3,268;120;86,268,206,1.3010,siblings_only
fao1952,puerto rico,horses mules asses,1000 heads,livestock:livestock,1935,3,43;5;3,43,8,5.3750,siblings_only
fao1952,puerto rico,horses mules asses,1000 heads,livestock:livestock,1949,3,39;5;3,39,8,4.8750,siblings_only
fao1952,puerto rico,horses mules asses,1000 heads,livestock:livestock,1950,3,36;4;3,36,7,5.1429,siblings_only
fao1952,puerto rico,horses mules asses,1000 heads,livestock:livestock,1951,3,33;4;2,33,6,5.5000,siblings_only
fao1952,romania,horses mules asses,1000 heads,livestock:livestock,1939,3,2042;14;2,2042,16,127.6250,siblings_only
fao1952,somalia,horses mules asses,1000 heads,livestock:livestock,1949,3,30;10;2,30,12,2.5000,siblings_only
fao1952,south west africa,horses mules asses,1000 heads,livestock:livestock,1939,3,106;29;2,106,31,3.4194,siblings_only
fao1952,south west africa,horses mules asses,1000 heads,livestock:livestock,1949,3,86;53;4,86,57,1.5088,siblings_only
fao1952,south west africa,horses mules asses,1000 heads,livestock:livestock,1950,3,85;50;4,85,54,1.5741,siblings_only
fao1952,south west africa,horses mules asses,1000 heads,livestock:livestock,1951,3,80;48;4,80,52,1.5385,siblings_only
fao1952,southern rhodesia,horses mules asses,1000 heads,livestock:livestock,1939,3,90;4;2,90,6,15.0000,siblings_only
fao1952,southern rhodesia,horses mules asses,1000 heads,livestock:livestock,1949,3,98;5;1,98,6,16.3333,siblings_only
fao1952,southern rhodesia,horses mules asses,1000 heads,livestock:livestock,1950,3,93;6;1,93,7,13.2857,siblings_only
fao1952,southern rhodesia,horses mules asses,1000 heads,livestock:livestock,1951,3,88;6;1,88,7,12.5714,siblings_only
fao1952,spain,horses mules asses,1000 heads,livestock:livestock,1939,3,1117;805;555,1117,1360,0.8213,siblings_only
fao1952,spain,horses mules asses,1000 heads,livestock:livestock,1950,3,1186;822;705,1186,1527,0.7767,siblings_only
fao1952,spanish morocco,horses mules asses,1000 heads,livestock:livestock,1949,3,34;21;19,34,40,0.8500,siblings_only
fao1952,swaziland,horses mules asses,1000 heads,livestock:livestock,1938,2,14;1,14,1,14.0000,siblings_only
fao1952,swaziland,horses mules asses,1000 heads,livestock:livestock,1949,2,16;2,16,2,8.0000,siblings_only
fao1952,swaziland,horses mules asses,1000 heads,livestock:livestock,1950,2,16;2,16,2,8.0000,siblings_only
fao1952,swaziland,horses mules asses,1000 heads,livestock:livestock,1951,2,15;2,15,2,7.5000,siblings_only
fao1952,switzerland,horses mules asses,1000 heads,livestock:livestock,1936,3,140;3;1,140,4,35.0000,siblings_only
fao1952,switzerland,horses mules asses,1000 heads,livestock:livestock,1949,2,138;2,138,2,69.0000,siblings_only
fao1952,switzerland,horses mules asses,1000 heads,livestock:livestock,1950,2,134;2,134,2,67.0000,siblings_only
fao1952,switzerland,horses mules asses,1000 heads,livestock:livestock,1951,2,131;2,131,2,65.5000,siblings_only
fao1952,syria,horses mules asses,1000 heads,livestock:livestock,1939,3,139;66;27,139,93,1.4946,siblings_only
fao1952,syria,horses mules asses,1000 heads,livestock:livestock,1949,3,245;108;57,245,165,1.4848,siblings_only
fao1952,syria,horses mules asses,1000 heads,livestock:livestock,1950,3,267;98;54,267,152,1.7566,siblings_only
fao1952,syria,horses mules asses,1000 heads,livestock:livestock,1951,3,271;97;58,271,155,1.7484,siblings_only
fao1952,tunisia,horses mules asses,1000 heads,livestock:livestock,1939,3,130;92;56,130,148,0.8784,siblings_only
fao1952,tunisia,horses mules asses,1000 heads,livestock:livestock,1950,3,131;69;43,131,112,1.1696,siblings_only
fao1952,tunisia,horses mules asses,1000 heads,livestock:livestock,1951,3,162;76;48,162,124,1.3065,siblings_only
fao1952,turkey,horses mules asses,1000 heads,livestock:livestock,1939,3,964;387;74,964,461,2.0911,siblings_only
fao1952,turkey,horses mules asses,1000 heads,livestock:livestock,1949,3,1164;711;103,1164,814,1.4300,siblings_only
fao1952,turkey,horses mules asses,1000 heads,livestock:livestock,1950,3,1687;1132;104,1687,1236,1.3649,siblings_only
fao1952,turkey,horses mules asses,1000 heads,livestock:livestock,1951,3,1633;1140;109,1633,1249,1.3074,siblings_only
fao1952,united states,horses mules asses,1000 heads,livestock:livestock,1939,2,10629;4163,10629,4163,2.5532,siblings_only
fao1952,united states,horses mules asses,1000 heads,livestock:livestock,1949,2,5898;2348,5898,2348,2.5119,siblings_only
fao1952,united states,horses mules asses,1000 heads,livestock:livestock,1950,2,2149;274,2149,274,7.8431,siblings_only
fao1952,united states,horses mules asses,1000 heads,livestock:livestock,1951,2,4993;2074,4993,2074,2.4074,siblings_only
fao1952,uruguay,horses mules asses,1000 heads,livestock:livestock,1937,3,644;11;5,644,16,40.2500,siblings_only
fao1952,uruguay,horses mules asses,1000 heads,livestock:livestock,1951,3,667;6;3,667,9,74.1111,siblings_only
fao1952,yugoslavia,horses mules asses,1000 heads,livestock:livestock,1939,3,273;132;21,273,153,1.7843,siblings_only
fao1952,yugoslavia,horses mules asses,1000 heads,livestock:livestock,1949,3,162;50;34,162,84,1.9286,siblings_only
fao1952,yugoslavia,horses mules asses,1000 heads,livestock:livestock,1950,3,158;97;33,158,130,1.2154,siblings_only
fao1952,yugoslavia,horses mules asses,1000 heads,livestock:livestock,1951,3,1095;152;32,1095,184,5.9511,siblings_only
fao1952,canada,linseed,1000 hectares,crops:area,1949,2,131;3,131,3,43.6667,siblings_only
fao1952,canada,linseed,1000 tonnes,crops:production,1949,2,58;1,58,1,58.0000,siblings_only
fao1952,canada,linseed,1000 hectares,crops:area,1950,2,227;2,227,2,113.5000,siblings_only
fao1952,canada,linseed,1000 hectares,crops:area,1951,2,469;3,469,3,156.3333,siblings_only
fao1952,canada,linseed,1000 tonnes,crops:production,1951,2,251;1,251,1,251.0000,siblings_only
fao1952,united states,linseed,1000 hectares,crops:area,1949,2,1993;1,1993,1,1993.0000,siblings_only
fao1952,united states,linseed,1000 tonnes,crops:production,1949,2,1116;1,1116,1,1116.0000,siblings_only
fao1952,united states,linseed,1000 hectares,crops:area,1951,2,580;1,580,1,580.0000,siblings_only
fao1952,argentina,meat,1000 tonnes,livestock:production,1949,4,1027;276;139;110,1027,525,1.9562,siblings_only
fao1952,australia,meat,1000 tonnes,livestock:production,1949,4,603;374;95;72,603,541,1.1146,siblings_only
fao1952,australia,meat,1000 tonnes,livestock:production,1950,4,632;303;86;21,632,410,1.5415,siblings_only
fao1952,australia,meat,1000 tonnes,livestock:production,1951,4,648;268;86;2,648,356,1.8202,siblings_only
fao1952,belgian congo,meat,1000 tonnes,livestock:production,1951,3,8;2;1,8,3,2.6667,siblings_only
fao1952,british west indies trinidad tobago,meat,1000 tonnes,livestock:production,1951,2,3;2,3,2,1.5000,siblings_only
fao1952,cyprus,meat,1000 tonnes,livestock:production,1949,3,8;3;3,8,6,1.3333,siblings_only
fao1952,cyprus,meat,1000 tonnes,livestock:production,1950,3,8;3;3,8,6,1.3333,siblings_only
fao1952,cyprus,meat,1000 tonnes,livestock:production,1951,3,8;3;3,8,6,1.3333,siblings_only
fao1952,france,meat,1000 tonnes,livestock:production,1950,4,1901;790;100;11,1901,901,2.1099,siblings_only
fao1952,france,meat,1000 tonnes,livestock:production,1951,4,990;835;745;100,990,1680,0.5893,siblings_only
fao1952,germany western,meat,1000 tonnes,livestock:production,1951,4,1633;579;29;25,1633,633,2.5798,siblings_only
fao1952,hong kong,meat,1000 tonnes,livestock:production,1949,2,341;5,341,5,68.2000,siblings_only
fao1952,india,meat,1000 tonnes,livestock:production,1949,3,738;374;23,738,397,1.8589,siblings_only
fao1952,northern rhodesia,meat,1000 tonnes,livestock:production,1950,2,10;1,10,1,10.0000,siblings_only
fao1952,northern rhodesia,meat,1000 tonnes,livestock:production,1951,3,12;11;11,12,22,0.5455,siblings_only
fao1952,singapore,meat,1000 tonnes,livestock:production,1949,3,9;1;1,9,2,4.5000,siblings_only
fao1952,singapore,meat,1000 tonnes,livestock:production,1950,2,9;1,9,1,9.0000,siblings_only
fao1952,algeria,milk,1000 tonnes,livestock:production,1949,2,720;250,720,250,2.8800,siblings_only
fao1952,algeria,milk,1000 tonnes,livestock:production,1950,2,650;250,650,250,2.6000,siblings_only
fao1952,cyprus,milk,1000 tonnes,livestock:production,1948,2,22;1,22,1,22.0000,siblings_only
fao1952,cyprus,milk,1000 tonnes,livestock:production,1949,2,30;3,30,3,10.0000,siblings_only
fao1952,cyprus,milk,1000 tonnes,livestock:production,1950,2,28;3,28,3,9.3333,siblings_only
fao1952,cyprus,milk,1000 tonnes,livestock:production,1951,2,28;3,28,3,9.3333,siblings_only
fao1952,egypt,milk,1000 tonnes,livestock:production,1949,2,847;425,847,425,1.9929,siblings_only
fao1952,egypt,milk,1000 tonnes,livestock:production,1950,2,767;397,767,397,1.9320,siblings_only
fao1952,eritrea,milk,1000 tonnes,livestock:production,1950,2,50;27,50,27,1.8519,siblings_only
fao1952,eritrea,milk,1000 tonnes,livestock:production,1951,2,50;27,50,27,1.8519,siblings_only
fao1952,ethiopia,milk,1000 tonnes,livestock:production,1948,2,1350;600,1350,600,2.2500,siblings_only
fao1952,ethiopia,milk,1000 tonnes,livestock:production,1949,2,1800;600,1800,600,3.0000,siblings_only
fao1952,ethiopia,milk,1000 tonnes,livestock:production,1950,2,800;300,800,300,2.6667,siblings_only
fao1952,french somaliland,milk,1000 tonnes,livestock:production,1949,2,15;2,15,2,7.5000,siblings_only
fao1952,french somaliland,milk,1000 tonnes,livestock:production,1950,2,15;2,15,2,7.5000,siblings_only
fao1952,greece,milk,1000 tonnes,livestock:production,1948,2,285;100,285,100,2.8500,siblings_only
fao1952,greece,milk,1000 tonnes,livestock:production,1949,2,204;94,204,94,2.1702,siblings_only
fao1952,greece,milk,1000 tonnes,livestock:production,1950,2,350;133,350,133,2.6316,siblings_only
fao1952,greece,milk,1000 tonnes,livestock:production,1951,2,352;130,352,130,2.7077,siblings_only
fao1952,india,milk,1000 tonnes,livestock:production,1948,2,10278;7698,10278,7698,1.3352,siblings_only
fao1952,iraq,milk,1000 tonnes,livestock:production,1949,2,431;229,431,229,1.8821,siblings_only
fao1952,iraq,milk,1000 tonnes,livestock:production,1950,2,481;405,481,405,1.1877,siblings_only
fao1952,italy,milk,1000 tonnes,livestock:production,1948,2,4202;534,4202,534,7.8689,siblings_only
fao1952,italy,milk,1000 tonnes,livestock:production,1949,2,4917;641,4917,641,7.6708,siblings_only
fao1952,italy,milk,1000 tonnes,livestock:production,1950,2,5257;689,5257,689,7.6299,siblings_only
fao1952,italy,milk,1000 tonnes,livestock:production,1951,2,5447;697,5447,697,7.8149,siblings_only
fao1952,japan,milk,1000 tonnes,livestock:production,1948,2,182;27,182,27,6.7407,siblings_only
fao1952,japan,milk,1000 tonnes,livestock:production,1949,2,277;37,277,37,7.4865,siblings_only
fao1952,japan,milk,1000 tonnes,livestock:production,1950,2,364;33,364,33,11.0303,siblings_only
fao1952,japan,milk,1000 tonnes,livestock:production,1951,2,434;62,434,62,7.0000,siblings_only
fao1952,jordan,milk,1000 tonnes,livestock:production,1948,2,37;4,37,4,9.2500,siblings_only
fao1952,jordan,milk,1000 tonnes,livestock:production,1949,2,36;5,36,5,7.2000,siblings_only
fao1952,malaya federation of,milk,1000 tonnes,livestock:production,1948,2,14;2,14,2,7.0000,siblings_only
fao1952,malaya federation of,milk,1000 tonnes,livestock:production,1949,2,7;1,7,1,7.0000,siblings_only
fao1952,malaya federation of,milk,1000 tonnes,livestock:production,1950,2,9;1,9,1,9.0000,siblings_only
fao1952,malaya federation of,milk,1000 tonnes,livestock:production,1951,2,9;1,9,1,9.0000,siblings_only
fao1952,malta,milk,1000 tonnes,livestock:production,1948,2,16;2,16,2,8.0000,siblings_only
fao1952,malta,milk,1000 tonnes,livestock:production,1949,2,13;2,13,2,6.5000,siblings_only
fao1952,malta,milk,1000 tonnes,livestock:production,1950,2,18;3,18,3,6.0000,siblings_only
fao1952,pakistan,milk,1000 tonnes,livestock:production,1948,2,3340;2476,3340,2476,1.3489,siblings_only
fao1952,pakistan,milk,1000 tonnes,livestock:production,1949,2,3340;2476,3340,2476,1.3489,siblings_only
fao1952,pakistan,milk,1000 tonnes,livestock:production,1950,2,3340;2476,3340,2476,1.3489,siblings_only
fao1952,syria,milk,1000 tonnes,livestock:production,1950,2,211;138,211,138,1.5290,siblings_only
fao1952,syria,milk,1000 tonnes,livestock:production,1951,2,148;127,148,127,1.1654,siblings_only
fao1952,turkey,milk,1000 tonnes,livestock:production,1948,2,856;386,856,386,2.2176,siblings_only
fao1952,turkey,milk,1000 tonnes,livestock:production,1949,2,1070;918,1070,918,1.1656,siblings_only
fao1952,turkey,milk,1000 tonnes,livestock:production,1950,2,791;382,791,382,2.0707,siblings_only
fao1952,turkey,milk,1000 tonnes,livestock:production,1951,2,932;413,932,413,2.2567,siblings_only
fao1952,french west africa,oranges tangerines clementines,1000 tonnes,crops:production,1950,2,58;2,58,2,29.0000,siblings_only
fao1952,alaska,other meat,1000 tonnes,livestock:production,1950,2,0.3;0.1,0.3,0.1,3.0000,siblings_only
fao1952,alaska,other meat,1000 tonnes,livestock:production,1951,2,0.3;0.1,0.3,0.1,3.0000,siblings_only
fao1952,algeria,other meat,1000 tonnes,livestock:production,1949,4,15;5;2.2;0.7,15,7.9,1.8987,siblings_only
fao1952,algeria,other meat,1000 tonnes,livestock:production,1950,4,10;5.5;1.8;0.5,10,7.8,1.2821,siblings_only
fao1952,australia,other meat,1000 tonnes,livestock:production,1948,3,52.5;47.9;43.4,52.5,91.3,0.5750,siblings_only
fao1952,australia,other meat,1000 tonnes,livestock:production,1949,3,52;50.3;46.2,52,96.5,0.5389,siblings_only
fao1952,australia,other meat,1000 tonnes,livestock:production,1950,3,48.9;44.1;34.1,48.9,78.2,0.6253,siblings_only
fao1952,australia,other meat,1000 tonnes,livestock:production,1951,3,47.8;46;43.7,47.8,89.7,0.5329,siblings_only
fao1952,austria,other meat,1000 tonnes,livestock:production,1948,3,3.2;2.1;1.9,3.2,4,0.8000,siblings_only
fao1952,austria,other meat,1000 tonnes,livestock:production,1949,3,3.8;2.7;2.3,3.8,5,0.7600,siblings_only
fao1952,austria,other meat,1000 tonnes,livestock:production,1950,3,4.6;4.5;2.7,4.6,7.2,0.6389,siblings_only
fao1952,austria,other meat,1000 tonnes,livestock:production,1951,2,5.8;3,5.8,3,1.9333,siblings_only
