volume,country,product,variable,unit,year,grid,verdict,paired_variable,paired_value,implied_yield_bound,ref_p10,ref_p90,ref_n,factor_outside,paired_vs_series_median,series_zeros,series_positives
iia_1938_39,belgium,rapeseed,area,hectares,1936,1000,grid_can_explain,production,100,0.2,0.4457,1.6243,89,0.1231,1,6,0
iia_1938_39,belgium,rapeseed,area,hectares,1937,1000,grid_can_explain,production,100,0.2,0.4457,1.6243,89,0.1231,1,6,0
iia_1938_39,belgium,rapeseed,area,hectares,1938,1000,grid_can_explain,production,100,0.2,0.4457,1.6243,89,0.1231,1,6,0
iia_1938_39,japanese taiwan,rapeseed,area,hectares,1933,1000,grid_can_explain,production,100,0.2,0.4457,1.6243,89,0.1231,1,6,0
iia_1938_39,japanese taiwan,rapeseed,area,hectares,1934,1000,grid_can_explain,production,100,0.2,0.4457,1.6243,89,0.1231,1,6,0
iia_1938_39,japanese taiwan,rapeseed,area,hectares,1935,1000,grid_can_explain,production,100,0.2,0.4457,1.6243,89,0.1231,1,6,0
iia_1938_39,british swaziland,tobacco,area,hectares,1937,1000,grid_can_explain,production,10600,21.2,44.1233,174.4262,325,0.1215,0.8583,5,0
iia_1938_39,french cochinchina,blackberries,area,hectares,1936,1000,grid_can_explain,production,600,1.2,1.27,10.045,18,0.1195,0.5714,2,3
iia_1938_39,dutch guiana,citrus fruits: oranges,area,hectares,1933,1000,grid_can_explain,production,700,1.4,0.16,11.7368,35,0.1193,1.1667,3,0
iia_1938_39,british mauritius,groundnut,area,hectares,1933,1000,grid_can_explain,production,100,0.2,0.4,1.7062,226,0.1172,1,5,0
iia_1938_39,british mauritius,groundnut,area,hectares,1934,1000,grid_can_explain,production,100,0.2,0.4,1.7062,226,0.1172,1,5,0
iia_1938_39,british mauritius,groundnut,area,hectares,1935,1000,grid_can_explain,production,100,0.2,0.4,1.7062,226,0.1172,1,5,0
iia_1938_39,british mauritius,groundnut,area,hectares,1936,1000,grid_can_explain,production,100,0.2,0.4,1.7062,226,0.1172,1,5,0
iia_1938_39,british mauritius,groundnut,area,hectares,1937,1000,grid_can_explain,production,100,0.2,0.4,1.7062,226,0.1172,1,5,0
iia_1938_39,british northern rhodesia,groundnut,area,hectares,1934,1000,grid_can_explain,production,100,0.2,0.4,1.7062,226,0.1172,1,5,0
iia_1938_39,british northern rhodesia,groundnut,area,hectares,1935,1000,grid_can_explain,production,100,0.2,0.4,1.7062,226,0.1172,1,5,0
iia_1938_39,british northern rhodesia,groundnut,area,hectares,1936,1000,grid_can_explain,production,100,0.2,0.4,1.7062,226,0.1172,1,5,0
iia_1938_39,guatemala,groundnut,area,hectares,1935,1000,grid_can_explain,production,100,0.2,0.4,1.7062,226,0.1172,1,3,0
iia_1938_39,british‑french cameroon,tobacco,area,hectares,1936,1000,grid_can_explain,production,10000,20,44.1233,174.4262,325,0.1147,1.3605,4,0
iia_1938_39,french tonkin,jute,area,hectares,1934,1000,grid_can_explain,production,100,0.2,0.9745,1.7943,25,0.1115,0.6667,5,0
