raw_label,assigned_modern,iso3,layer_b_label,kind,n_labels_on_target,parent_label,n_sub_labels,notes_countries,notes,mixing_observed,fingerprint_note,dominant_raw_label,dominant_share,territory_signal
cambodia,Cambodia,KHM,cambodia,shares_target,2,,0,0,,yes,french cambodia 100%,french cambodia,1.00,clean
canada,Canada,CAN,canada,shares_target,2,,0,0,,no,canada 74%,canada,0.74,clean
cape verde,Cabo Verde,CPV,cabo verde,one_to_one,1,,0,0,,yes,portuguese cape verde 100%,portuguese cape verde,1.00,redirected
british west indies: cayman islands,Cayman Islands,CYM,,one_to_one,1,,0,0,,unknown,"label not measured (absent, or under --min-rows)",,,unknown
french equatorial africa: chad,Chad,TCD,chad,shares_target,2,,0,0,,no,french equatorial africa: chad 100%,french equatorial africa: chad,1.00,redirected
czechoslovakia,Czechia,CZE,czech republic,whole_with_sub_siblings,2,,1,0,,no,czechoslovakia 93%,czechoslovakia,0.93,redirected
faroe islands,Faroe Islands,FRO,faroe islands,one_to_one,1,,0,0,,no,denmark: faroe islands 100%,denmark: faroe islands,1.00,redirected
greenland,Greenland,GRL,,one_to_one,1,,0,0,,unknown,"label not measured (absent, or under --min-rows)",,,unknown
dominican republic,Dominican Republic,DOM,dominican republic,one_to_one,1,,0,0,,no,dominican republic 100%,dominican republic,1.00,clean
ceylon,Sri Lanka,LKA,sri lanka,one_to_one,1,,0,0,,no,british ceylon 100%,british ceylon,1.00,redirected
new zealand,New Zealand,NZL,new zealand,one_to_one,1,,0,0,,no,new zealand 98%,new zealand,0.98,clean
newfoundland,Canada,CAN,canada,shares_target,2,,0,0,,no,canada 74%,canada,0.74,clean
dutch east indies: bali and lombok,Indonesia,IDN,indonesia,sub_of_sibling,8,dutch east indies,0,0,Only bali and lombok,yes,dutch east indies + dutch java and madura (union 83%),dutch east indies,0.46,mixed
dutch antilles: curaçao,Curaçao,CUW,cura ao,one_to_one,1,,0,0,,no,"label not measured (absent, or under --min-rows)",dutch curaçao and dependencies,1.00,unknown
dutch guiana,Suriname,SUR,suriname,one_to_one,1,,0,0,,no,dutch guiana 100%,dutch guiana,1.00,redirected
dutch east indies: java and madura,Indonesia,IDN,indonesia,sub_of_sibling,8,dutch east indies: java,0,0,Only java and madura,yes,dutch east indies + dutch java and madura (union 83%),dutch east indies,0.46,mixed
dutch east indies: java,Indonesia,IDN,indonesia,sub_of_sibling,8,dutch east indies,3,0,Only java,yes,dutch east indies + dutch java and madura (union 83%),dutch east indies,0.46,mixed
dutch east indies: java and sumatra,Indonesia,IDN,indonesia,sub_of_sibling,8,dutch east indies: java,0,0,Only java and sumatra,yes,dutch east indies + dutch java and madura (union 83%),dutch east indies,0.46,mixed
"dutch east indies: java, madura and outer provinces",Indonesia,IDN,indonesia,sub_of_sibling,8,dutch east indies: java,0,0,"Only java, madura and outer provinces",yes,dutch east indies + dutch java and madura (union 83%),dutch east indies,0.46,mixed
new guinea,Papua New Guinea,PNG,papua new guinea,shares_target,3,,0,0,,no,dutch new guinea + australian papua and new guinea (union 100%),dutch new guinea,0.72,mixed
dutch east indies: sumatra,Indonesia,IDN,indonesia,sub_of_sibling,8,dutch east indies,0,0,Only sumatra,yes,dutch east indies + dutch java and madura (union 83%),dutch east indies,0.46,mixed
dutch east indies,Indonesia,IDN,indonesia,whole_with_sub_siblings,8,,7,0,,yes,dutch east indies + dutch java and madura (union 83%),dutch east indies,0.46,mixed
dutch east indies: outer provinces,Indonesia,IDN,indonesia,sub_of_sibling,8,dutch east indies,0,0,Only non-Java islands,yes,dutch east indies + dutch java and madura (union 83%),dutch east indies,0.46,mixed
el salvador: san salvador,El Salvador,SLV,el salvador,sub_of_sibling,2,el salvador,0,0,Tangier ,yes,el salvador + el salvador: san salvador department (union 100%),el salvador,0.55,mixed
transjordan,Jordan,JOR,jordan,one_to_one,1,,0,0,,no,british transjordan 100%,british transjordan,1.00,redirected
ethiopia,Ethiopia,ETH,ethiopia,shares_target,2,,0,0,,yes,australia 100%,australia,1.00,redirected
federated malay states,Malaysia,MYS,malaysia,shares_target,13,,0,0,,yes,british borneo + british malaya + british federated malay states (union 92%),british borneo,0.34,mixed
saint pierre and miquelon,France,FRA,france,shares_target,3,,0,0,,no,france 84%,france,0.84,clean
algeria,Algeria,DZA,algeria,one_to_one,1,,0,0,,no,french algeria 100%,french algeria,1.00,clean
cochinchina,Viet Nam,VNM,viet nam,shares_target,5,,0,0,,no,french tonkin 94%,french tonkin,0.94,redirected
dahomey,Benin,BEN,benin,shares_target,3,,0,0,,no,french dahomey 100%,french dahomey,1.00,redirected
french west africa: dahomey,Benin,BEN,benin,whole_with_sub_siblings,3,,1,0,,no,french dahomey 100%,french dahomey,1.00,redirected
french west africa: dahomey and dependencies,Benin,BEN,benin,sub_of_sibling,3,french west africa: dahomey,0,0,"Dependencies included Porto‑Novo, etc.",no,french dahomey 100%,french dahomey,1.00,redirected
french guiana,French Guiana,GUF,french guiana,one_to_one,1,,0,0,,no,french guiana 100%,french guiana,1.00,clean
french equatorial africa: gabon,Gabon,GAB,gabon,one_to_one,1,,0,0,,no,french equatorial africa: gabon 100%,french equatorial africa: gabon,1.00,redirected
french antilles: guadeloupe,Guadeloupe,GLP,guadeloupe,whole_with_sub_siblings,3,,2,0,,no,french guadeloupe + french guadeloupe and dependencies (union 93%),french guadeloupe,0.78,mixed
french antilles: guadeloupe and dependencies,Guadeloupe,GLP,guadeloupe,sub_of_sibling,3,french antilles: guadeloupe,0,0,,no,french guadeloupe + french guadeloupe and dependencies (union 93%),french guadeloupe,0.78,mixed
french antilles: guadeloupe: marie-galante,Guadeloupe,GLP,guadeloupe,sub_of_sibling,3,french antilles: guadeloupe,0,0,,no,french guadeloupe + french guadeloupe and dependencies (union 93%),french guadeloupe,0.78,mixed
french west africa: french guinea,Guinea,GIN,guinea,one_to_one,1,,0,0,,no,french guinea 100%,french guinea,1.00,clean
french india,India,IND,india,shares_target,7,,0,0,,no,british india 55%,british india,0.55,clean
french west africa: ivory coast,Côte d'Ivoire,CIV,ivory coast,one_to_one,1,,0,0,,no,french ivory coast 100%,french ivory coast,1.00,clean
madagascar,Madagascar,MDG,madagascar,whole_with_sub_siblings,2,,1,0,,no,french madagascar 92%,french madagascar,0.92,clean
madagascar and dependencies,Madagascar,MDG,madagascar,sub_of_sibling,2,madagascar,0,0,,no,french madagascar 92%,french madagascar,0.92,clean
french antilles: martinique,Martinique,MTQ,martinique,one_to_one,1,,0,0,,no,french martinique 100%,french martinique,1.00,clean
french west africa: mauritania,Mauritania,MRT,mauritania,shares_target,2,,0,0,,no,french mauritania 100%,french mauritania,1.00,clean
mauritania,Mauritania,MRT,mauritania,shares_target,2,,0,0,,no,french mauritania 100%,french mauritania,1.00,clean
new caledonia,New Caledonia,NCL,new caledonia,whole_with_sub_siblings,2,,1,0,,no,french new caledonia 100%,french new caledonia,1.00,clean
new caledonia and dependencies,New Caledonia,NCL,new caledonia,sub_of_sibling,2,new caledonia,0,0,,no,french new caledonia 100%,french new caledonia,1.00,clean
french west africa: niger,Niger,NER,niger,sub_of_sibling,2,french west africa,0,0,,no,french niger + french west africa (union 100%),french niger,0.69,mixed
reunion,Réunion,REU,reunion,shares_target,2,,0,0,,no,french reunion 100%,french reunion,1.00,clean
south reunion,Réunion,REU,reunion,shares_target,2,,0,0,,no,french reunion 100%,french reunion,1.00,clean
