raw_label,assigned_modern,iso3,layer_b_label,kind,n_labels_on_target,parent_label,n_sub_labels,notes_countries,notes,mixing_observed,fingerprint_note,dominant_raw_label,dominant_share,territory_signal
china: manchuria,"China, mainland",CHN,china mainland,sub_of_sibling,5,china,0,0,,no,"label not measured (absent, or under --min-rows)",china,0.56,unknown
colombia,Colombia,COL,colombia,one_to_one,1,,0,0,,no,colombia 100%,colombia,1.00,clean
costa rica,Costa Rica,CRI,costa rica,one_to_one,1,,0,0,,no,costa rica 100%,costa rica,1.00,clean
cuba,Cuba,CUB,cuba,one_to_one,1,,0,0,,no,cuba 100%,cuba,1.00,clean
ecuador,Ecuador,ECU,ecuador,one_to_one,1,,0,0,,no,ecuador 100%,ecuador,1.00,clean
el salvador,El Salvador,SLV,el salvador,whole_with_sub_siblings,2,,1,0,,yes,el salvador + el salvador: san salvador department (union 100%),el salvador,0.55,mixed
estonia,Estonia,EST,estonia,one_to_one,1,,0,0,,no,estonia 100%,estonia,1.00,clean
finland,Finland,FIN,finland,one_to_one,1,,0,0,,no,finland 100%,finland,1.00,clean
guatemala,Guatemala,GTM,guatemala,one_to_one,1,,0,0,,no,guatemala 100%,guatemala,1.00,clean
haiti,Haiti,HTI,haiti,one_to_one,1,,0,0,,no,haiti 100%,haiti,1.00,clean
honduras,Honduras,HND,honduras,one_to_one,1,,0,0,,no,honduras 100%,honduras,1.00,clean
iceland,Iceland,ISL,,one_to_one,1,,0,0,,unknown,"label not measured (absent, or under --min-rows)",,,unknown
latvia,Latvia,LVA,latvia,one_to_one,1,,0,0,,no,latvia 100%,latvia,1.00,clean
liberia,Liberia,LBR,liberia,one_to_one,1,,0,0,,no,liberia 100%,liberia,1.00,clean
lithuania,Lithuania,LTU,lithuania,one_to_one,1,,0,0,,no,lithuania 100%,lithuania,1.00,clean
nicaragua,Nicaragua,NIC,nicaragua,one_to_one,1,,0,0,,no,nicaragua 100%,nicaragua,1.00,clean
panama,Panama,PAN,panama,whole_with_sub_siblings,2,,1,0,,no,panama 93%,panama,0.93,clean
paraguay,Paraguay,PRY,paraguay,one_to_one,1,,0,0,,no,paraguay 100%,paraguay,1.00,clean
peru,Peru,PER,peru,one_to_one,1,,0,0,,no,peru 82%,peru,0.82,clean
poland,Poland,POL,poland,one_to_one,1,,0,0,,no,poland 100%,poland,1.00,clean
portugal,Portugal,PRT,portugal,whole_with_sub_siblings,4,,1,0,,no,portugal 64%,portugal,0.64,clean
venezuela,Venezuela (Bolivarian Republic of),VEN,venezuela,one_to_one,1,,0,0,,no,venezuela 100%,venezuela,1.00,clean
russia [europe and asia],Russian Federation,RUS,russian federation,sub_of_sibling,9,russia [europe],0,0,Complete Russia,no,ussr 50%,ussr,0.50,redirected
russia [asia],Russian Federation,RUS,russian federation,whole_with_sub_siblings,9,,2,0,Only Asian part,no,ussr 50%,ussr,0.50,redirected
russia [asia]: 9 governments,Russian Federation,RUS,russian federation,sub_of_sibling,9,russia [asia],0,0,it does not specify what these governments are,no,ussr 50%,ussr,0.50,redirected
russia [asia]: other governments,Russian Federation,RUS,russian federation,sub_of_sibling,9,russia [asia],0,0,it does not specify what these governments are,no,ussr 50%,ussr,0.50,redirected
russia [europe],Russian Federation,RUS,russian federation,whole_with_sub_siblings,9,,1,0,Only European part,no,ussr 50%,ussr,0.50,redirected
saint christopher,Saint Kitts and Nevis,KNA,saint kitts and nevis,shares_target,3,,0,0,,no,british saint christopher and nevis 100%,british saint christopher and nevis,1.00,redirected
british west indies: saint kitts and nevis,Saint Kitts and Nevis,KNA,saint kitts and nevis,sub_of_sibling,3,british west indies: saint kitts,0,0,,no,british saint christopher and nevis 100%,british saint christopher and nevis,1.00,redirected
british west indies: saint kitts,Saint Kitts and Nevis,KNA,saint kitts and nevis,whole_with_sub_siblings,3,,1,0,,no,british saint christopher and nevis 100%,british saint christopher and nevis,1.00,redirected
british west indies: saint lucia,Saint Lucia,LCA,saint lucia,one_to_one,1,,0,0,,no,british saint lucia 100%,british saint lucia,1.00,clean
british west indies: saint vincent,Saint Vincent and the Grenadines,VCT,saint vincent and the grenadines,one_to_one,1,,0,0,,no,british saint vincent 100%,british saint vincent,1.00,redirected
french west africa: dakar,Senegal,SEN,senegal,shares_target,3,,0,0,,no,french senegal 95%,french senegal,0.95,clean
british south west africa,Namibia,NAM,namibia,shares_target,3,,0,0,,no,german south west africa 100%,german south west africa,1.00,redirected
spain,Spain,ESP,spain,whole_with_sub_siblings,2,,1,0,,no,spain 87%,spain,0.87,clean
spain: canary islands,Spain,ESP,spain,sub_of_sibling,2,spain,0,0,Only Canary Islands,no,spain 87%,spain,0.87,clean
fernando po,Equatorial Guinea,GNQ,equatorial guinea,shares_target,5,,0,0,,yes,bulgaria + spanish spanish guinea including fernando po (union 52%),bulgaria,0.26,mixed
spanish territories on the gulf of guinea: fernando po,Equatorial Guinea,GNQ,equatorial guinea,shares_target,5,,0,0,Spanish Territories on the Gulf of Guinea,yes,bulgaria + spanish spanish guinea including fernando po (union 52%),bulgaria,0.26,mixed
spanish territories on the gulf of guinea: spanish guinea,Equatorial Guinea,GNQ,equatorial guinea,whole_with_sub_siblings,4,,1,0,Spanish Territories on the Gulf of Guinea,yes,bulgaria + spanish spanish guinea including fernando po (union 52%),bulgaria,0.26,mixed
spanish territories on the gulf of guinea: spanish guinea,Equatorial Guinea,GNQ,equatorial guinea,whole_with_sub_siblings,4,,1,0,Spanish Territories on the Gulf of Guinea,yes,bulgaria + spanish spanish guinea including fernando po (union 52%),bulgaria,0.26,mixed
spanish territories on the gulf of guinea: spanish guinea and fernando po,Equatorial Guinea,GNQ,equatorial guinea,sub_of_sibling,5,spanish territories on the gulf of guinea: spanish guinea,0,0,Spanish Territories on the Gulf of Guinea,yes,bulgaria + spanish spanish guinea including fernando po (union 52%),bulgaria,0.26,mixed
spanish morocco,Morocco,MAR,morocco,shares_target,3,,0,0,,no,french morocco 99%,french morocco,0.99,clean
china: manchukuo,"China, mainland",CHN,china mainland,sub_of_sibling,5,china,0,0,,no,"label not measured (absent, or under --min-rows)",china,0.56,unknown
straits settlements,Singapore,SGP,singapore,whole_with_sub_siblings,2,,1,0,,no,british straits settlements 100%,british straits settlements,1.00,redirected
zanzibar,United Republic of Tanzania,TZA,tanzania,shares_target,2,,0,0,,no,british tanganyika 100%,british tanganyika,1.00,redirected
sweden,Sweden,SWE,sweden,one_to_one,1,,0,0,,no,sweden 100%,sweden,1.00,clean
switzerland,Switzerland,CHE,switzerland,one_to_one,1,,0,0,,no,switzerland 80%,switzerland,0.80,clean
saar,Germany,DEU,germany,shares_target,2,,0,0,Saarland,no,germany 78%,germany,0.78,clean
british west indies: trinidad and tobago,Trinidad and Tobago,TTO,trinidad and tobago,shares_target,2,,0,0,,no,british trinidad and tobago 100%,british trinidad and tobago,1.00,clean
trinidad and tobago,Trinidad and Tobago,TTO,trinidad and tobago,shares_target,2,,0,0,,no,british trinidad and tobago 100%,british trinidad and tobago,1.00,clean
turkey,Türkiye,TUR,turkey,whole_with_sub_siblings,4,,3,0,,no,turkey 97%,turkey,0.97,clean
turkey [europe and asia],Türkiye,TUR,turkey,sub_of_sibling,4,turkey,0,0,,no,turkey 97%,turkey,0.97,clean
turkey [asia],Türkiye,TUR,turkey,sub_of_sibling,4,turkey,0,0,,no,turkey 97%,turkey,0.97,clean
turkey [europe],Türkiye,TUR,turkey,sub_of_sibling,4,turkey,1,0,,no,turkey 97%,turkey,0.97,clean
british west indies: turks and caicos islands,Turks and Caicos Islands,TCA,,one_to_one,1,,0,0,,unknown,"label not measured (absent, or under --min-rows)",,,unknown
malay protected states: johore,Malaysia,MYS,malaysia,shares_target,13,,0,0,,yes,british borneo + british malaya + british federated malay states (union 92%),british borneo,0.34,mixed
malay protected states: kedah,Malaysia,MYS,malaysia,shares_target,13,,0,0,,yes,british borneo + british malaya + british federated malay states (union 92%),british borneo,0.34,mixed
malay protected states: kelantan,Malaysia,MYS,malaysia,shares_target,13,,0,0,,yes,british borneo + british malaya + british federated malay states (union 92%),british borneo,0.34,mixed
malay protected states: perlis,Malaysia,MYS,malaysia,shares_target,13,,0,0,,yes,british borneo + british malaya + british federated malay states (union 92%),british borneo,0.34,mixed
malay protected states: terengganu,Malaysia,MYS,malaysia,shares_target,13,,0,0,,yes,british borneo + british malaya + british federated malay states (union 92%),british borneo,0.34,mixed
union of south africa,South Africa,ZAF,south africa,whole_with_sub_siblings,2,,1,0,,no,union of south africa 97%,union of south africa,0.97,redirected
union of south africa: cape province,South Africa,ZAF,south africa,sub_of_sibling,2,union of south africa,0,0,,no,union of south africa 97%,union of south africa,0.97,redirected
united kingdom,United Kingdom of Great Britain and Northern Ireland,GBR,united kingdom,whole_with_sub_siblings,6,,4,0,,no,uk 85%,uk,0.85,redirected
united kingdom: england and wales,United Kingdom of Great Britain and Northern Ireland,GBR,united kingdom,sub_of_sibling,6,united kingdom,0,0,,no,uk 85%,uk,0.85,redirected
united kingdom: great britain,United Kingdom of Great Britain and Northern Ireland,GBR,united kingdom,sub_of_sibling,6,united kingdom,0,0,,no,uk 85%,uk,0.85,redirected
united kingdom: north ireland,United Kingdom of Great Britain and Northern Ireland,GBR,united kingdom,sub_of_sibling,6,united kingdom,0,0,,no,uk 85%,uk,0.85,redirected
united kingdom: scotland,United Kingdom of Great Britain and Northern Ireland,GBR,united kingdom,sub_of_sibling,6,united kingdom,0,0,,no,uk 85%,uk,0.85,redirected
mexico,Mexico,MEX,mexico,one_to_one,1,,0,0,,no,mexico 93%,mexico,0.93,clean
panama canal,Panama,PAN,panama,sub_of_sibling,2,panama,0,0,,no,panama 93%,panama,0.93,clean
united states of america,United States of America,USA,united states of america,whole_with_sub_siblings,8,,5,0,,no,usa 52%,usa,0.52,redirected
united states of america: alaska,United States of America,USA,united states of america,sub_of_sibling,8,united states of america,0,0,,no,usa 52%,usa,0.52,redirected
united states of america: california,United States of America,USA,united states of america,sub_of_sibling,8,united states of america,0,0,,no,usa 52%,usa,0.52,redirected
united states of america: louisiana and florida,United States of America,USA,united states of america,sub_of_sibling,8,united states of america,0,0,,no,usa 52%,usa,0.52,redirected
united states of america: other states,United States of America,USA,united states of america,sub_of_sibling,8,united states of america,0,0,,no,usa 52%,usa,0.52,redirected
united states of america and canada,United States of America,USA,united states of america,sub_of_sibling,8,united states of america,0,0,,no,usa 52%,usa,0.52,redirected
hawaii,United States of America,USA,united states of america,shares_target,8,,0,0,Only hawaii,no,usa 52%,usa,0.52,redirected
puerto rico,United States of America,USA,united states of america,shares_target,8,,0,0,Commonwealth of Puerto Rico,no,usa 52%,usa,0.52,redirected
american samoa,American Samoa,ASM,american samoa,one_to_one,1,,0,0,,no,us samoa 100%,us samoa,1.00,redirected
philippines,Philippines,PHL,philippines,one_to_one,1,,0,0,,no,us philippines 99%,us philippines,0.99,clean
us virgin islands,US Virgin Islands,UVI,,one_to_one,1,,0,0,,unknown,"label not measured (absent, or under --min-rows)",,,unknown
french west africa: upper volta,Burkina Faso,BFA,burkina faso,shares_target,2,,0,0,,no,french upper volta 100%,french upper volta,1.00,redirected
upper volta,Burkina Faso,BFA,burkina faso,shares_target,2,,0,0,,no,french upper volta 100%,french upper volta,1.00,redirected
soviet union [europe and asia],Russian Federation,RUS,russian federation,sub_of_sibling,9,soviet union [europe],0,0,,no,ussr 50%,ussr,0.50,redirected
soviet union: transcaucasia,Azerbaijan,AZE,azerbaijan,one_to_one,1,,0,0,"Modern Georgia, Armenia and Azerbaiyán",no,ussr: transcaucasian sfsr 100%,ussr: transcaucasian sfsr,1.00,redirected
soviet union [asia],Russian Federation,RUS,russian federation,shares_target,9,,0,0,,no,ussr 50%,ussr,0.50,redirected
soviet union [europe],Russian Federation,RUS,russian federation,whole_with_sub_siblings,9,,1,0,,no,ussr 50%,ussr,0.50,redirected
british samoa,Samoa,WSM,samoa,shares_target,3,,0,0,,no,new zealand western samoa + british samoa (union 100%),new zealand western samoa,0.72,mixed
total,nan,NAN,,whole_with_sub_siblings,22,,21,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total [excluding ussr],nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total africa,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total asia,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total australia,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total canada,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total europe,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total general,nan,NAN,,sub_of_sibling,22,total,2,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total general [excluding ussr],nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total general [including ussr],nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total germany,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total net,nan,NAN,,sub_of_sibling,22,total,1,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total net [excluding ussr],nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total north and central america,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total north hemisphere aggregated,nan,NAN,,sub_of_sibling,22,total,1,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total north hemisphere aggregated [excluding ussr],nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total oceania,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total south america,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total south hemisphere aggregated,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total soviet union,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total union of south africa,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
total united kingdom,nan,NAN,,sub_of_sibling,22,total,0,0,TOTAL,unknown,"label not measured (absent, or under --min-rows)",,,unknown
