polity_code,start_year,end_year,cow_code,polity_type,our_source,our_km2,border_verdict,n_reference_borders,reference_covers,reference_bookkeeping_steps,reference_km2_at_start,reference_km2_at_end,max_step_ratio,change_years,reference_iou,source_gap_pct
JPN-GIFU-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,10599,no_reference,0,,0,,,,,,
JPN-GUMMA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,6379,no_reference,0,,0,,,,,,
JPN-HIROSHIMA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,8368,no_reference,0,,0,,,,,,
JPN-HOKKAIDO-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,78268,no_reference,0,,0,,,,,,
JPN-HYOGO-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,8367,no_reference,0,,0,,,,,,
JPN-IBARAKI-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,6119,no_reference,0,,0,,,,,,
JPN-ISHIKAWA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,4230,no_reference,0,,0,,,,,,
JPN-IWATE-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,15234,no_reference,0,,0,,,,,,
JPN-KAGAWA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,1707,no_reference,0,,0,,,,,,
JPN-KAGOSHIMA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,9078,no_reference,0,,0,,,,,,
JPN-KANAGAWA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,2370,no_reference,0,,0,,,,,,
JPN-KOCHI-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,7056,no_reference,0,,0,,,,,,
JPN-KUMAMOTO-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,7506,no_reference,0,,0,,,,,,
JPN-KYOTO-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,4640,no_reference,0,,0,,,,,,
JPN-MIE-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,5779,no_reference,0,,0,,,,,,
JPN-MIYAGI-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,7200,no_reference,0,,0,,,,,,
JPN-MIYAZAKI-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,7686,no_reference,0,,0,,,,,,
JPN-NAGANO-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,13580,no_reference,0,,0,,,,,,
JPN-NAGASAKI-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,4192,no_reference,0,,0,,,,,,
JPN-NARA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,3689,no_reference,0,,0,,,,,,
JPN-NIIGATA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,12702,no_reference,0,,0,,,,,,
JPN-OITA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,6313,no_reference,0,,0,,,,,,
JPN-OKAYAMA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,7223,no_reference,0,,0,,,,,,
JPN-OSAKA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,1912,no_reference,0,,0,,,,,,
JPN-SAGA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,2424,no_reference,0,,0,,,,,,
JPN-SAITAMA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,3791,no_reference,0,,0,,,,,,
JPN-SHIGA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,4004,no_reference,0,,0,,,,,,
JPN-SHIMANE-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,6730,no_reference,0,,0,,,,,,
JPN-SHIZUOKA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,7601,no_reference,0,,0,,,,,,
JPN-TOCHIGI-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,6401,no_reference,0,,0,,,,,,
JPN-TOKUSHIMA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,4141,no_reference,0,,0,,,,,,
JPN-TOKYO-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,2127,no_reference,0,,0,,,,,,
JPN-TOTTORI-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,3476,no_reference,0,,0,,,,,,
JPN-TOYAMA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,4270,no_reference,0,,0,,,,,,
JPN-WAKAYAMA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,4652,no_reference,0,,0,,,,,,
JPN-YAMAGATA-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,9340,no_reference,0,,0,,,,,,
JPN-YAMAGUCHI-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,6093,no_reference,0,,0,,,,,,
JPN-YAMANASHI-1871-2025,1871,2025,,subnational,gadm-4.1-adm1,4473,no_reference,0,,0,,,,,,
KAZ-1991-2025,1991,2025,705,national,cshapes-2.0,2723347,stable_where_covered,1,1991-2019,1,2723103,2723103,,,0.999,0.01
KEN-1888-1891,1888,1891,501,national,cshapes-2.0,469075,stable_confirmed,1,1888-1890,0,469649,469649,,,0.998,-0.12
KEN-1891-1894,1891,1894,501,national,cshapes-2.0,1041593,stable_confirmed,1,1891-1893,0,1041480,1041480,,,0.999,0.01
KEN-1894-1902,1894,1902,501,national,cshapes-2.0,660238,stable_confirmed,1,1894-1901,0,660120,660120,,,0.999,0.02
KEN-1902-1907,1902,1907,501,national,cshapes-2.0,772641,stable_confirmed,1,1902-1906,0,772550,772550,,,0.999,0.01
KEN-1907-1924,1907,1924,501,national,cshapes-2.0,635652,stable_confirmed,1,1907-1923,2,635868,635868,,,0.999,-0.03
KEN-1924-1926,1924,1926,501,national,cshapes-2.0,541484,stable_confirmed,1,1924-1925,0,541463,541463,,,0.999,0.0
KEN-1926-1963,1926,1963,501,national,cshapes-2.0,581930,stable_confirmed,1,1926-1962,0,581892,581892,,,0.999,0.01
KEN-1963-2025,1963,2025,501,national,cshapes-2.0,581930,stable_where_covered,1,1963-2019,0,581892,581892,,,0.999,0.01
