polity_code,start_year,end_year,cow_code,polity_type,our_source,our_km2,border_verdict,n_reference_borders,reference_covers,reference_bookkeeping_steps,reference_km2_at_start,reference_km2_at_end,max_step_ratio,change_years,reference_iou,source_gap_pct
MOR-1904-1956,1904,1956,,national,cshapes-2.0,374453,no_reference,0,,0,,,,,,
MOR-1956-1958,1956,1958,,national,cshapes-2.0,350268,no_reference,0,,0,,,,,,
MOS-1800-1897,1800,1897,,national,paine-2024,101614,no_reference,0,,0,,,,,,
MOZ-1800-1891,1800,1891,541,national,cshapes-2.0,633873,stable_where_covered,1,1886-1890,0,633866,633866,,,0.999,0.0
MOZ-1891-1975,1891,1975,541,national,cshapes-2.0,786364,stable_confirmed,1,1891-1974,0,786319,786319,,,0.998,0.01
MOZ-1975-2025,1975,2025,541,national,cshapes-2.0,786364,stable_where_covered,1,1975-2019,0,786319,786319,,,0.998,0.01
MRT-1920-1960,1920,1960,435,national,cshapes-2.0,826211,changed,2,1920-1959,0,826366,1038483,1.257,1944,0.999,-0.02
MRT-1960-1975,1960,1975,435,national,cshapes-2.0,1038075,stable_confirmed,1,1960-1974,0,1038483,1038483,,,0.999,-0.04
MRT-1975-1979,1975,1979,435,national,cshapes-2.0,1135925,stable_confirmed,1,1975-1978,0,1136257,1136257,,,0.999,-0.03
MRT-1979-2025,1979,2025,435,national,cshapes-2.0,1038075,stable_where_covered,1,1979-2019,0,1038483,1038483,,,0.999,-0.04
MSR-1800-2025,1800,2025,,national,gadm-4.1-adm0,101,no_reference,0,,0,,,,,,
MTQ-1816-2025,1816,2025,66,national,cshapes-2.0,1127,stable_where_covered,1,1886-2019,0,1148,1148,,,0.966,-1.84
MUS-1800-2025,1800,2025,590,national,cshapes-2.0,2106,stable_where_covered,1,1886-2019,1,2133,2133,,,0.987,-1.28
MWI-1891-1953,1891,1953,553,national,cshapes-2.0,118359,stable_confirmed,1,1891-1952,0,118484,118484,,,0.996,-0.11
MWI-1953-1964,1953,1964,553,national,cshapes-2.0,118359,no_reference,0,,0,,,,,,
MWI-1964-2025,1964,2025,553,national,cshapes-2.0,118359,stable_where_covered,1,1964-2019,0,118484,118484,,,0.996,-0.11
MYS-1946-1957,1946,1957,,national,cshapes-2.0,131452,no_reference,0,,0,,,,,,
MYS-1957-1963,1957,1963,820,national,cshapes-2.0,131452,stable_confirmed,1,1957-1962,0,131495,131495,,,0.996,-0.03
MYS-1963-1965,1963,1965,820,national,cshapes-2.0,328762,stable_confirmed,1,1963-1964,0,328936,328936,,,0.996,-0.05
MYS-1965-2025,1965,2025,820,national,cshapes-2.0,328230,stable_where_covered,1,1965-2019,0,328391,328391,,,0.996,-0.05
MYT-1800-2025,1800,2025,,territory,gadm-4.1-adm0,392,no_reference,0,,0,,,,,,
NAM-1884-1886,1884,1886,565,national,cshapes-2.0,824893,no_reference,0,,0,,,,,,
NAM-1886-1915,1886,1915,565,national,cshapes-2.0,824893,stable_confirmed,1,1886-1914,0,824759,824759,,,0.999,0.02
NAM-1915-1920,1915,1920,565,national,cshapes-2.0,824893,stable_confirmed,1,1915-1919,0,824759,824759,,,0.999,0.02
NAM-1920-1990,1920,1990,565,national,cshapes-2.0,824893,stable_confirmed,1,1920-1989,1,824759,824759,,,0.999,0.02
NAM-1990-2025,1990,2025,565,national,cshapes-2.0,824893,stable_where_covered,1,1990-2019,0,824759,824759,,,0.999,0.02
NAT-1843-1895,1843,1895,,national,cshapes-2.0,43583,no_reference,0,,0,,,,,,
NAT-1895-1910,1895,1910,,national,cshapes-2.0,72249,no_reference,0,,0,,,,,,
NCL-1800-2025,1800,2025,,national,gadm-4.1-adm0,18796,no_reference,0,,0,,,,,,
NDB-1823-1894,1823,1894,,national,paine-2024,33269,no_reference,0,,0,,,,,,
NER-1911-1922,1911,1922,436,national,cshapes-2.0,1181761,stable_confirmed,1,1911-1921,0,1182017,1182017,,,0.999,-0.02
NER-1922-1947,1922,1947,436,national,cshapes-2.0,1181761,changed,2,1922-1946,1,1182017,1259559,1.066,1932,0.999,-0.02
NER-1947-1960,1947,1960,436,national,cshapes-2.0,1181761,stable_confirmed,1,1947-1959,0,1182017,1182017,,,0.999,-0.02
NER-1960-2025,1960,2025,436,national,cshapes-2.0,1181761,stable_where_covered,1,1960-2019,0,1182017,1182017,,,0.999,-0.02
NFK-1914-2025,1914,2025,,territory,gadm-4.1-adm0,41,no_reference,0,,0,,,,,,
NFL-1800-1907,1800,1907,,colonial,cshapes-2.0,398115,no_reference,0,,0,,,,,,
NFL-1907-1949,1907,1949,21,national,cshapes-2.0,398115,stable_confirmed,1,1907-1948,0,398423,398423,,,0.995,-0.08
NGA-1886-1914,1886,1914,,national,cshapes-2.0,862491,no_reference,0,,0,,,,,,
NGA-1914-1960,1914,1960,475,national,cshapes-2.0,862491,stable_confirmed,1,1914-1959,0,862547,862547,,,0.999,-0.01
NGA-1960-1961,1960,1961,475,national,cshapes-2.0,862491,no_reference,0,,0,,,,,,
NGA-1961-2025,1961,2025,475,national,cshapes-2.0,908470,stable_where_covered,1,1961-2019,0,908494,908494,,,0.999,-0.0
NGBC-1916-1960,1916,1960,,aggregate,constructed,949950,no_reference,0,,0,,,,,,
NIC-1800-2025,1800,2025,93,national,cshapes-2.0,128077,stable_where_covered,1,1886-2019,0,128097,128097,,,0.997,-0.02
NIU-1800-2025,1800,2025,,territory,gadm-4.1-adm0,264,no_reference,0,,0,,,,,,
NKR-1800-1901,1800,1901,,national,paine-2024,13134,no_reference,0,,0,,,,,,
NLD-1800-1830,1800,1830,,national,cliopatria,71105,no_reference,0,,0,,,,,,
NLD-1830-2025,1830,2025,,national,cliopatria,38295,no_reference,0,,0,,,,,,
NNG-1949-1963,1949,1963,,colonial,cshapes-2.0,410399,no_reference,0,,0,,,,,,
NNI-1899-1904,1899,1904,385,national,cshapes-2.0,727178,no_reference,0,,0,,,,,,
NNI-1904-1913,1904,1913,385,national,cshapes-2.0,660437,reference_mismatch,1,1905-1912,0,320644,320644,,,0.0,105.97
NOR-1800-2025,1800,2025,385,national,cshapes-2.0,320132,stable_where_covered,1,1905-2019,0,320644,320644,,,0.992,-0.16
NPL-1800-1816,1800,1816,,national,cliopatria,179823,no_reference,0,,0,,,,,,
NPL-1816-2025,1816,2025,,national,cliopatria,148391,no_reference,0,,0,,,,,,
NRH-1911-1953,1911,1953,,colonial,cshapes-2.0,752073,no_reference,0,,0,,,,,,
NRH-1953-1964,1953,1964,551,national,cshapes-2.0,752073,no_reference,0,,0,,,,,,
NRU-1888-2025,1888,2025,970,national,gadm-4.1-adm0,22,no_reference,0,,0,,,,,,
NSW-1800-1901,1800,1901,,national,cshapes-2.0,799589,no_reference,0,,0,,,,,,
NUP-1800-1897,1800,1897,,national,none,,no_reference,0,,0,,,,,,
NWR-1900-1905,1900,1905,,national,cshapes-2.0,369613,no_reference,0,,0,,,,,,
NZL-1840-2025,1840,2025,920,national,cshapes-2.0,268690,stable_where_covered,1,1886-2019,1,268492,268492,,,0.995,0.07
OMN-1800-1856,1800,1856,,national,cliopatria,176188,no_reference,0,,0,,,,,,
OMN-1856-2025,1856,2025,,national,cliopatria,314239,no_reference,0,,0,,,,,,
OTT-1800-1886,1800,1886,640,national,cliopatria,2106441,no_reference,0,,0,,,,,,
OTT-1886-1908,1886,1908,640,national,cshapes-2.0,2823367,stable_confirmed,1,1886-1907,0,2823096,2823096,,,0.998,0.01
OTT-1908-1912,1908,1912,640,national,cshapes-2.0,2823367,stable_confirmed,1,1908-1911,0,2823096,2823096,,,0.998,0.01
OYO-1800-1836,1800,1836,,national,paine-2024,17858,no_reference,0,,0,,,,,,
PAK-1937-1947,1937,1947,770,national,cshapes-2.0,932577,no_reference,0,,0,,,,,,
PAK-1947-1949,1947,1949,770,national,cshapes-2.0,932577,stable_confirmed,1,1947-1948,0,932692,932692,,,0.998,-0.01
PAK-1949-1971,1949,1971,770,national,cshapes-2.0,1014357,stable_confirmed,1,1949-1970,2,1014381,1014381,,,0.998,-0.0
PAK-1971-2025,1971,2025,770,national,cshapes-2.0,876509,stable_where_covered,1,1971-2019,0,876534,876534,,,0.998,-0.0
PAK-WP-1949-1971,1949,1971,,subnational,constructed,876509,no_reference,0,,0,,,,,,
PAL-1920-1948,1920,1948,,national,cshapes-2.0,27009,no_reference,0,,0,,,,,,
PAN-1903-1979,1903,1979,95,national,cshapes-2.0,74050,stable_confirmed,1,1903-1978,0,74108,74108,,,0.993,-0.08
PAN-1979-2025,1979,2025,95,national,cshapes-2.0,74050,stable_where_covered,1,1979-2019,0,74108,74108,,,0.993,-0.08
PAP-1800-1870,1800,1870,327,national,cliopatria,39269,no_reference,0,,0,,,,,,
PAPNG-1920-1949,1920,1949,,aggregate,constructed,461618,no_reference,0,,0,,,,,,
PCN-1800-2025,1800,2025,,territory,gadm-4.1-adm0,54,no_reference,0,,0,,,,,,
PER-1825-1884,1825,1884,135,national,cshapes-2.0,1277593,no_reference,0,,0,,,,,,
PER-1825-1909,1825,1909,135,national,cshapes-2.0,1277593,stable_where_covered,1,1886-1908,0,1277690,1277690,,,0.999,-0.01
PER-1884-1909,1884,1909,135,national,cshapes-2.0,1277593,stable_where_covered,1,1886-1908,0,1277690,1277690,,,0.999,-0.01
PER-1909-1922,1909,1922,135,national,cshapes-2.0,1246141,stable_confirmed,1,1909-1921,0,1246182,1246182,,,0.999,-0.0
PER-1922-1942,1922,1942,135,national,cshapes-2.0,1204360,stable_confirmed,1,1922-1941,0,1204363,1204363,,,0.999,-0.0
PER-1942-2025,1942,2025,135,national,cshapes-2.0,1290852,stable_where_covered,1,1942-2019,0,1290854,1290854,,,0.999,-0.0
PHL-1800-2025,1800,2025,840,national,cshapes-2.0,291825,stable_where_covered,1,1886-2019,4,292048,292048,,,0.991,-0.08
PLW-1991-2025,1991,2025,986,national,gadm-4.1-adm0,481,no_reference,0,,0,,,,,,
PNG-1949-1975,1949,1975,,national,cshapes-2.0,461639,no_reference,0,,0,,,,,,
PNG-1975-2025,1975,2025,910,national,cshapes-2.0,461639,stable_where_covered,1,1975-2019,0,461689,461689,,,0.996,-0.01
PNV-1800-1882,1800,1882,,national,paine-2024,7092,no_reference,0,,0,,,,,,
POL-1815-1918,1815,1918,290,national,cshapes-2.0,130180,no_reference,0,,0,,,,,,
POL-1918-1919,1918,1919,290,national,cshapes-2.0,130180,no_reference,0,,0,,,,,,
POL-1919-1920,1919,1920,290,national,constructed,256627,no_reference,0,,0,,,,,,
POL-1920-1921,1920,1921,290,national,cshapes-2.0,284630,no_reference,0,,0,,,,,,
POL-1921-1945,1921,1945,290,national,cshapes-2.0,388370,stable_confirmed,1,1921-1944,0,388378,388378,,,0.998,-0.0
POL-1945-2025,1945,2025,290,national,cshapes-2.0,311828,stable_where_covered,1,1945-2019,0,311679,311679,,,0.998,0.05
PRI-1800-2025,1800,2025,,national,gadm-4.1-adm0,8973,no_reference,0,,0,,,,,,
PRK-1948-2025,1948,2025,731,national,cshapes-2.0,122300,stable_where_covered,1,1948-2019,0,122203,122203,,,0.997,0.08
PRT-1800-2025,1800,2025,235,national,cshapes-2.0,91805,stable_where_covered,1,1886-2019,0,91872,91872,,,0.994,-0.07
PRT-ALE-1986-2025,1986,2025,,subnational,eurostat-gisco-nuts2,31519,no_reference,0,,0,,,,,,
PRT-AV-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,2740,no_reference,0,,0,,,,,,
PRT-BG-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,6581,no_reference,0,,0,,,,,,
PRT-BJ-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,10267,no_reference,0,,0,,,,,,
PRT-BRA-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,2708,no_reference,0,,0,,,,,,
PRT-CB-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,6631,no_reference,0,,0,,,,,,
PRT-CENTRO-1986-2025,1986,2025,,subnational,eurostat-gisco-nuts2,28191,no_reference,0,,0,,,,,,
PRT-CO-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,3973,no_reference,0,,0,,,,,,
PRT-EV-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,7400,no_reference,0,,0,,,,,,
PRT-FA-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,4955,no_reference,0,,0,,,,,,
PRT-GU-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,5556,no_reference,0,,0,,,,,,
PRT-LE-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,3506,no_reference,0,,0,,,,,,
PRT-LI-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,2765,no_reference,0,,0,,,,,,
PRT-LIS-1986-2025,1986,2025,,subnational,eurostat-gisco-nuts2,2860,no_reference,0,,0,,,,,,
PRT-PG-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,6078,no_reference,0,,0,,,,,,
PRT-PO-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,2325,no_reference,0,,0,,,,,,
PRT-PT11-1986-2025,1986,2025,,subnational,eurostat-gisco-nuts2,21267,no_reference,0,,0,,,,,,
PRT-PT15-1986-2025,1986,2025,,subnational,eurostat-gisco-nuts2,4961,no_reference,0,,0,,,,,,
PRT-SA-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,6705,no_reference,0,,0,,,,,,
PRT-SE-1926-2025,1926,2025,,subnational,gadm-4.1-adm1,5050,no_reference,0,,0,,,,,,
PRT-VC-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,2217,no_reference,0,,0,,,,,,
PRT-VI-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,5030,no_reference,0,,0,,,,,,
PRT-VR-1835-2025,1835,2025,,subnational,gadm-4.1-adm1,4307,no_reference,0,,0,,,,,,
PRY-1811-1870,1811,1870,150,national,none,,no_reference,0,,0,,,,,,
PRY-1811-1938,1811,1938,150,national,cshapes-2.0,293547,stable_where_covered,1,1886-1937,0,293542,293542,,,0.998,0.0
PRY-1870-1932,1870,1932,150,national,cshapes-2.0,293547,stable_where_covered,1,1886-1931,0,293542,293542,,,0.998,0.0
PRY-1932-1938,1932,1938,150,national,cshapes-2.0,293547,stable_confirmed,1,1932-1937,0,293542,293542,,,0.998,0.0
PRY-1938-2025,1938,2025,150,national,cshapes-2.0,398816,stable_where_covered,1,1938-2019,0,398809,398809,,,0.999,0.0
PSE-1948-2025,1948,2025,,disputed,gadm-4.1-adm0,6209,no_reference,0,,0,,,,,,
PTIND-1816-1961,1816,1961,235,colonial,constructed,3779,reference_mismatch,1,1886-1960,0,91872,91872,,,0.0,-95.89
PYF-1800-2025,1800,2025,,national,gadm-4.1-adm0,4004,no_reference,0,,0,,,,,,
QAT-1800-2025,1800,2025,694,national,cshapes-2.0,11062,stable_where_covered,1,1916-2019,1,11089,11089,,,0.992,-0.24
QUE-1859-1901,1859,1901,,national,cshapes-2.0,1745198,no_reference,0,,0,,,,,,
RAFR-1850-2021,1850,2021,,aggregate,reporting-areas,,no_reference,0,,0,,,,,,
RAFR-1850-2025,1850,2025,,aggregate,reporting-areas,270926,no_reference,0,,0,,,,,,
RASI-1850-2021,1850,2021,,aggregate,reporting-areas,,no_reference,0,,0,,,,,,
RASI-1850-2025,1850,2025,,aggregate,reporting-areas,1139,no_reference,0,,0,,,,,,
REU-1816-1946,1816,1946,585,colonial,cshapes-2.0,2623,stable_where_covered,1,1886-1945,0,2642,2642,,,0.989,-0.72
REU-1946-2025,1946,2025,585,national,cshapes-2.0,2623,stable_where_covered,1,1946-2019,0,2642,2642,,,0.989,-0.72
REUR-1850-2021,1850,2021,,aggregate,reporting-areas,,no_reference,0,,0,,,,,,
REUR-1850-2025,1850,2025,,aggregate,reporting-areas,2211148,no_reference,0,,0,,,,,,
RLAM-1850-2013,1850,2013,,aggregate,reporting-areas,,no_reference,0,,0,,,,,,
RLAM-1850-2025,1850,2025,,aggregate,reporting-areas,22123,no_reference,0,,0,,,,,,
RNAM-1850-2021,1850,2021,,aggregate,reporting-areas,,no_reference,0,,0,,,,,,
RNAM-1850-2025,1850,2025,,aggregate,reporting-areas,268,no_reference,0,,0,,,,,,
ROCE-1850-2021,1850,2021,,aggregate,reporting-areas,,no_reference,0,,0,,,,,,
ROCE-1850-2025,1850,2025,,aggregate,reporting-areas,30423,no_reference,0,,0,,,,,,
ROU-1859-1913,1859,1913,360,national,cshapes-europe,128451,stable_where_covered,1,1886-1912,0,128499,128499,,,0.992,-0.04
ROU-1913-1918,1913,1918,360,national,cshapes-2.0,136202,stable_confirmed,1,1913-1917,1,136186,136186,,,0.997,0.01
ROU-1918-1919,1918,1919,360,national,cshapes-2.0,296126,no_reference,0,,0,,,,,,
ROU-1919-1920,1919,1920,360,national,cshapes-2.0,141305,no_reference,0,,0,,,,,,
ROU-1920-1940,1920,1940,360,national,cshapes-2.0,296126,stable_confirmed,1,1920-1939,0,296087,296087,,,0.999,0.01
ROU-1940-1947,1940,1947,360,national,constructed,193832,stable_confirmed,1,1940-1946,0,237379,237379,,,0.815,-18.34
ROU-1940-2025,1940,2025,360,national,cshapes-2.0,245035,stable_where_covered,1,1940-2019,0,237379,237379,,,0.967,3.23
ROU-1947-2025,1947,2025,360,national,cshapes-2.0,237353,stable_where_covered,1,1947-2019,0,237379,237379,,,0.998,-0.01
ROW-1850-2023,1850,2023,,aggregate,reporting-areas,,no_reference,0,,0,,,,,,
ROW-1850-2025,1850,2025,,aggregate,reporting-areas,2570942,no_reference,0,,0,,,,,,
RSFSR-1917-1991,1917,1991,365,national,cshapes-2.0,21824149,changed,4,1918-1990,0,21405134,22065965,1.013,1921;1940;1945,0.96,1.96
RUS-1991-2014,1991,2014,365,national,cshapes-2.0,16882066,stable_confirmed,1,1991-2013,0,16882578,16882578,,,0.999,-0.0
RUS-2014-2025,2014,2025,365,national,cshapes-2.0,16907953,stable_where_covered,1,2014-2019,0,16908414,16908414,,,0.999,-0.0
RVN-1954-1975,1954,1975,817,national,cshapes-2.0,168502,stable_confirmed,1,1954-1974,0,168562,168562,,,0.996,-0.04
RWA-1922-1962,1922,1962,,subnational,cshapes-2.0,25186,no_reference,0,,0,,,,,,
RWA-1962-2025,1962,2025,517,national,cshapes-2.0,25186,stable_where_covered,1,1962-2019,0,25138,25138,,,0.994,0.19
RWB-1919-1922,1919,1922,,national,none,,no_reference,0,,0,,,,,,
RWB-1922-1962,1922,1962,515,national,cshapes-2.0,52351,stable_confirmed,1,1922-1961,0,52326,52326,,,0.996,0.05
RWK-1800-1890,1800,1890,,national,paine-2024,25176,no_reference,0,,0,,,,,,
RYU-1937-1945,1937,1945,,subnational,gadm-4.1-adm1,2337,no_reference,0,,0,,,,,,
RYU-1945-1972,1945,1972,,national,gadm-4.1-adm1,2337,no_reference,0,,0,,,,,,
SAA-1947-1957,1947,1957,,national,gadm-4.1-adm1,2565,no_reference,0,,0,,,,,,
SAB-1920-1935,1920,1935,,colonial,none,,no_reference,0,,0,,,,,,
SAC-1935-1947,1935,1947,,national,none,,no_reference,0,,0,,,,,,
SAR-1800-1860,1800,1860,325,national,cliopatria,77962,no_reference,0,,0,,,,,,
SAU-1924-2025,1924,2025,670,national,cshapes-2.0,1954367,changed,2,1932-2019,1,1954496,1924636,1.016,2000,1.0,-0.01
SBZ-1938-1949,1938,1949,265,national,cshapes-2.0,109271,stable_where_covered,1,1945-1948,0,109254,109254,,,0.997,0.02
SCG-1992-2006,1992,2006,,national,cshapes-2.0,101959,no_reference,0,,0,,,,,,
SCG-XK-1999-2006,1999,2006,,subnational,constructed,91240,no_reference,0,,0,,,,,,
SDN-2011-2025,2011,2025,625,national,cshapes-2.0,1859556,stable_where_covered,1,2011-2019,0,1859620,1859620,,,0.999,-0.0
SEN-1854-1886,1854,1886,,national,cshapes-2.0,196150,no_reference,0,,0,,,,,,
SEN-1886-1960,1886,1960,433,national,cshapes-2.0,196150,stable_confirmed,1,1886-1959,0,195996,195996,,,0.997,0.08
SEN-1960-2025,1960,2025,433,national,cshapes-2.0,196150,stable_where_covered,1,1960-2019,0,195996,195996,,,0.997,0.08
SER-1816-1878,1816,1878,,national,cliopatria,,no_reference,0,,0,,,,,,
SER-1816-1913,1816,1913,,national,cshapes-2.0,52539,no_reference,0,,0,,,,,,
SER-1878-1913,1878,1913,345,national,cshapes-2.0,52539,no_reference,0,,0,,,,,,
SER-1913-1918,1913,1918,,national,cshapes-europe,90538,no_reference,0,,0,,,,,,
SER-1918-1945,1918,1945,,subnational,cshapes-europe,90538,no_reference,0,,0,,,,,,
SER-2006-2008,2006,2008,,national,cshapes-2.0,101959,no_reference,0,,0,,,,,,
SGP-1946-1963,1946,1963,830,colonial,cshapes-2.0,545,stable_confirmed,1,1946-1962,0,545,545,,,1.0,-0.08
SGP-1963-1965,1963,1965,,subnational,cshapes-2.0,545,no_reference,0,,0,,,,,,
SGP-1965-2025,1965,2025,830,national,cshapes-2.0,545,stable_where_covered,1,1965-2019,0,545,545,,,1.0,-0.08
SGS-1800-2025,1800,2025,,territory,gadm-4.1-adm0,4052,no_reference,0,,0,,,,,,
SHN-1834-1967,1834,1967,,colonial,gadm-4.1-adm1,123,no_reference,0,,0,,,,,,
SLB-1800-2025,1800,2025,940,national,gadm-4.1-adm0,28051,changed,2,1893-2019,2,19641,26861,1.368,1899,0.599,42.82
SLE-1800-1886,1800,1886,451,national,cshapes-2.0,72503,no_reference,0,,0,,,,,,
SLE-1886-1889,1886,1889,451,national,cshapes-2.0,83131,stable_confirmed,1,1886-1888,0,83202,83202,,,0.993,-0.09
SLE-1889-1961,1889,1961,451,national,cshapes-2.0,72503,stable_confirmed,1,1889-1960,1,72479,72479,,,0.996,0.03
SLE-1961-2025,1961,2025,451,national,cshapes-2.0,72503,stable_where_covered,1,1961-2019,0,72479,72479,,,0.996,0.03
SLM-1800-1887,1800,1887,,national,paine-2024,16999,no_reference,0,,0,,,,,,
SLV-1821-2025,1821,2025,92,national,cshapes-2.0,20558,stable_where_covered,1,1886-2019,0,20556,20556,,,0.992,0.01
SMO-1912-1956,1912,1956,,national,cshapes-2.0,52792,no_reference,0,,0,,,,,,
SMR-1800-2025,1800,2025,,national,gadm-4.1-adm0,61,no_reference,0,,0,,,,,,
SNE-1800-1887,1800,1887,,national,paine-2024,17418,no_reference,0,,0,,,,,,
SNI-1899-1906,1899,1906,,national,cshapes-2.0,130457,no_reference,0,,0,,,,,,
SNI-1906-1913,1906,1913,,national,cshapes-2.0,202245,no_reference,0,,0,,,,,,
SNW-1814-1905,1814,1905,380,national,cshapes-europe,765831,stable_where_covered,1,1886-1904,0,766623,766623,,,0.99,-0.1
SOK-1804-1903,1804,1903,,national,paine-2024,644061,no_reference,0,,0,,,,,,
SOM-1960-2025,1960,2025,520,national,cshapes-2.0,635882,stable_where_covered,1,1960-2019,0,636242,636242,,,0.998,-0.06
SPM-1816-2025,1816,2025,,colonial,gadm-4.1-adm0,230,no_reference,0,,0,,,,,,
SRB-2006-2008,2006,2008,345,national,cshapes-2.0,87993,no_reference,0,,0,,,,,,
SRB-2008-2025,2008,2025,345,national,cshapes-2.0,77251,no_reference,0,,0,,,,,,
SRB-XK-2006-2008,2006,2008,,subnational,constructed,77242,no_reference,0,,0,,,,,,
SRH-1953-1964,1953,1964,552,national,cshapes-2.0,389716,no_reference,0,,0,,,,,,
SSD-2011-2025,2011,2025,626,national,cshapes-2.0,627258,stable_where_covered,1,2011-2019,0,627318,627318,,,0.999,-0.01
SSM-1914-1945,1914,1945,,aggregate,constructed,2026,no_reference,0,,0,,,,,,
STP-1800-2025,1800,2025,403,national,gadm-4.1-adm0,1012,no_reference,0,,0,,,,,,
SUD-1899-1934,1899,1934,,national,cshapes-2.0,2580014,no_reference,0,,0,,,,,,
SUD-1934-1956,1934,1956,,national,cshapes-2.0,2486812,no_reference,0,,0,,,,,,
SUD-1956-2011,1956,2011,,national,cshapes-2.0,2486812,no_reference,0,,0,,,,,,
SUR-1800-1886,1800,1886,,colonial,cshapes-2.0,144982,no_reference,0,,0,,,,,,
SUR-1886-1954,1886,1954,115,national,cshapes-2.0,144982,stable_confirmed,1,1886-1953,0,144985,144985,,,0.997,-0.0
SUR-1954-1975,1954,1975,115,national,cshapes-2.0,144982,stable_confirmed,1,1954-1974,0,144985,144985,,,0.997,-0.0
SUR-1975-2025,1975,2025,115,national,cshapes-2.0,144982,stable_where_covered,1,1975-2019,0,144985,144985,,,0.997,-0.0
SVK-1993-2025,1993,2025,317,national,cshapes-2.0,48943,stable_where_covered,1,1993-2019,0,48927,48927,,,0.996,0.03
SVN-1992-2025,1992,2025,349,national,cshapes-2.0,20401,stable_where_covered,1,1992-2019,0,20426,20426,,,0.994,-0.12
SWA-1884-1912,1884,1912,,national,cshapes-2.0,176369,no_reference,0,,0,,,,,,
SWA-1912-1958,1912,1958,,national,cshapes-2.0,269194,no_reference,0,,0,,,,,,
SWE-1800-1809,1800,1809,380,national,gadm-4.1-adm0,449297,no_reference,0,,0,,,,,,
SWE-1809-1814,1809,1814,380,national,gadm-4.1-adm0,449297,no_reference,0,,0,,,,,,
SWE-1814-1905,1814,1905,380,national,gadm-4.1-adm0,449297,stable_where_covered,1,1886-1904,0,766623,766623,,,0.574,-41.39
SWE-1905-2025,1905,2025,380,national,cshapes-2.0,445909,stable_where_covered,1,1905-2019,0,445979,445979,,,0.998,-0.02
SWK-1800-1894,1800,1894,,national,paine-2024,22366,no_reference,0,,0,,,,,,
SWZ-1894-2025,1894,2025,572,national,cshapes-2.0,17103,stable_where_covered,1,1895-2019,2,17111,17111,,,0.997,-0.04
SXM-2010-2025,2010,2025,,territory,gadm-4.1-adm0,38,no_reference,0,,0,,,,,,
SYC-1903-2025,1903,2025,591,national,gadm-4.1-adm0,488,no_reference,0,,0,,,,,,
SYL-1920-1944,1920,1944,,aggregate,constructed,198309,no_reference,0,,0,,,,,,
SYL-1944-1953,1944,1953,,aggregate,constructed,198309,no_reference,0,,0,,,,,,
SYR-1920-1922,1920,1922,,national,cshapes-2.0,188105,no_reference,0,,0,,,,,,
SYR-1922-1946,1922,1946,652,national,cshapes-2.0,188105,stable_confirmed,1,1922-1945,0,188004,188004,,,0.998,0.05
SYR-1946-1967,1946,1967,652,national,cshapes-2.0,188105,stable_confirmed,1,1946-1966,0,188004,188004,,,0.998,0.05
SYR-1967-2025,1967,2025,652,national,cshapes-2.0,187000,stable_where_covered,1,1967-2019,0,186892,186892,,,0.998,0.06
TAN-1891-1920,1891,1920,,national,cshapes-2.0,991218,no_reference,0,,0,,,,,,
TAN-1920-1922,1920,1922,,national,cshapes-2.0,938880,no_reference,0,,0,,,,,,
TAN-1922-1964,1922,1961,,national,cshapes-2.0,938880,no_reference,0,,0,,,,,,
TAS-1825-1901,1825,1901,,national,cshapes-2.0,68132,no_reference,0,,0,,,,,,
TCA-1800-2025,1800,2025,,territory,gadm-4.1-adm0,974,no_reference,0,,0,,,,,,
TCD-1900-1912,1900,1912,,national,cshapes-2.0,1271822,no_reference,0,,0,,,,,,
TCD-1912-1919,1912,1919,,national,cshapes-2.0,1220889,no_reference,0,,0,,,,,,
TCD-1919-1960,1919,1960,483,national,cshapes-2.0,1271822,stable_where_covered,1,1920-1959,0,1271888,1271888,,,0.999,-0.01
TCD-1960-2025,1960,2025,483,national,cshapes-2.0,1271822,stable_where_covered,1,1960-2019,0,1271888,1271888,,,0.999,-0.01
TGO-1960-2025,1960,2025,461,national,cshapes-2.0,57137,stable_where_covered,1,1960-2019,0,57094,57094,,,0.995,0.08
THA-1800-1893,1800,1893,800,national,cshapes-2.0,778462,stable_where_covered,1,1886-1892,0,778578,778578,,,0.998,-0.01
THA-1893-1904,1893,1904,800,national,cshapes-2.0,604164,stable_confirmed,1,1893-1903,0,604305,604305,,,0.997,-0.02
