ratio,item,unit,whep_code,polity_name,source,median_value,area,n,item_median_intensity,assertion_keys,known_flow,flow_origin_iso3
484.6699017281025,cacao,1000 hectares,TTO-1800-2025,Trinidad and Tobago,fao1952,81.0,4952.729517430746,1,3.374382869663275e-05,british west indies trinidad and tobago|fao1952|1937-1951; british west indies trinidad tobago|fao1952|1949-1951; leeward islands trinidad and tobago|fao1952|1951-1951,,
474.52526384221835,hops,tonnes,F51-1945-1947,Czechoslovakia (1945-1947),iia,372100.0,111773.18236346252,1,0.007015565997551479,czech republic|iia|1945-1945,,
472.644067745282,hops,tonnes,F51-1938-1945,Czechoslovakia (1938-1945),iia,333950.0,100712.76559040853,6,0.007015565997551479,czech republic|iia|1938-1944,,
470.7253574701887,"tobacco, unmanufactured",tonnes,BGR-1919-1940,Bulgaria (1919-1940),iia,2486100.0,103263.13610091528,3,0.051145295153688305,bulgaria|iia|1919-1939,,
450.9961439257038,lemons and limes,ha,MSR-1800-2025,Montserrat,iia,200.0,101.08444734488369,7,0.0043870524430124356,montserrat|iia|1909-1945,,
445.8187150525336,sugar cane,ha,BRB-1800-2025,Barbados,mitchell,15000.0,434.58445270912586,52,0.07742100024431484,barbados|mitchell|1850-1960,,
430.46351617710906,"tobacco, unmanufactured",tonnes,HUN-1920-1938,Hungary (1920-1938),iia,2047600.0,93004.31166177182,3,0.051145295153688305,hungary|iia|1920-1937,,
420.88652087128037,pesticides copper sulphate,tonnes,ITA-1919-2025,Italy,fao1952,70436.0,300310.4439810905,5,0.0005572617459487168,italy|fao1952|1937-1951; ltaly|fao1952|1949-1951,,
392.90465862332434,sugar raw centrifugal,tonnes,BRB-1800-2025,Barbados,mitchell,52500.0,434.58445270912586,108,0.3074665960637625,barbados|mitchell|1850-1960,,
392.6207942848246,pesticides ddt,tonnes,SAA-1947-1957,Saar Protectorate,fao1952,250.0,2565.2203150015116,3,0.00024822301177225895,france saar|fao1952|1948-1951; saar|fao1952|1949-1951,,
386.7703175496858,"cacao, beans",ha,GRD-1800-2025,Grenada,iia,8000.0,359.45318636546244,10,0.0575432666059208,grenada|iia|1909-1945,,
373.8771290537874,lemons and limes,tonnes,DMA-1800-2025,Dominica,iia,8270.0,746.7822563482973,17,0.02961983397613065,dominica|iia|1909-1944,,
371.405652929896,lemons and limes,ha,LCA-1838-2025,Saint Lucia,iia,1000.0,613.7318536183993,14,0.0043870524430124356,saint lucia|iia|1909-1945,,
362.9707162574083,sugar raw centrifugal,tonnes,MUS-1800-2025,Mauritius,iia,235000.0,2105.7089060802027,37,0.3074665960637625,mauritius|iia|1909-1945,,
361.90526373390645,sugar cane,ha,MUS-1800-2025,Mauritius,mitchell,59000.0,2105.7089060802027,80,0.07742100024431484,mauritius|mitchell|1856-1960,,
353.45650075391194,natural rubber,1000 tonnes,LKA-1800-2025,Sri Lanka,fao1952,98.80000000000001,65954.96220180139,4,4.238122399211664e-06,ceylon|fao1952|1937-1951,,
350.34616667328356,cotton seed,tonnes,MSR-1800-2025,Montserrat,iia,600.0,101.08444734488369,24,0.016942189667314478,montserrat|iia|1909-1945,,
320.199310554496,agaves,1000 tonnes,COM-1946-1975,Comoros (1946-1975),fao1952,6.0,1683.6992152062924,3,1.1129261537479109e-05,comoro islands|fao1952|1949-1951,,
312.284827148136,"cacao, beans",ha,TTO-1800-2025,Trinidad and Tobago,iia,89000.0,4952.729517430746,27,0.0575432666059208,trinidad and tobago|iia|1909-1945,,
310.27260721801304,phosphate rock,1000 tonnes,ANT-1816-1961,Dutch Caribbean (colonial),fao1952,63.5,794.5531766581097,8,0.00025757714307060326,netherlands w indies|fao1952|1936-1951; neth west indies|fao1952|1949-1951; netherlands west indies|fao1952|1937-1951,,
307.2988864219507,p,tonnes,LUX-1839-2025,Luxembourg,iia,250000.0,2590.86862192315,13,0.3140028796474058,luxembourg|iia|1909-1945,,
305.23419360770765,lemons and limes,ha,DMA-1800-2025,Dominica,iia,1000.0,746.7822563482973,15,0.0043870524430124356,dominica|iia|1909-1944,,
299.1896205687257,sugar cane,tonnes,MUS-1800-2025,Mauritius,mitchell,190000.0,2105.7089060802027,101,0.3015843103313033,mauritius|mitchell|1856-1960,,
299.0905133855754,"cacao, beans",tonnes,TTO-1800-2025,Trinidad and Tobago,mitchell,24000.0,4952.729517430746,65,0.016201827088642793,trinidad and tobago|mitchell|1850-1960,,
299.00102583274827,use builton wasteland,1000 hectares,NRU-1888-2025,Nauru,fao1952,173.0,22.019163815489765,1,0.026276807670378346,nauru|fao1952|1937-1951,,
298.63751492707985,groundnuts,1000 tonnes,FRIN-1816-1954,French India (Établissements français dans l'Inde),fao1952,5.0,546.7035111937369,1,3.062483645856704e-05,french india|fao1952|1937-1951,,
298.22794378836585,p,tonnes,GCAR-1899-1914,German Caroline Islands (Karolinen),iia,45000.0,480.54111163559963,5,0.3140028796474058,palau|iia|1909-1914,,
295.8197368062376,sugar cane,tonnes,DOM-1800-2025,Dominican Republic,juan,4312000.0,48332.9008946207,5,0.3015843103313033,dominican republic|juan|1900-1960,,
291.2007791709083,coffee,1000 tonnes,CPV-1886-1975,Cape Verde (Portuguese colony),fao1952,40.15,3938.947183464104,2,3.500361185590796e-05,cape verde islands|fao1952|1937-1951,,
287.42763043416835,hops,tonnes,BEL-1831-2025,Belgium,iia,61889.5,30692.03925557064,4,0.007015565997551479,belgium|iia|1909-1945,,
284.8927114988549,"tobacco, unmanufactured",tonnes,ITA-1919-2025,Italy,iia,4375800.0,300310.4439810905,3,0.051145295153688305,italy|iia|1919-1945,,
272.36547239183136,agaves,1000 hectares,COM-1946-1975,Comoros (1946-1975),fao1952,11.0,1683.6992152062924,3,2.398701044339369e-05,comoro islands|fao1952|1949-1951,,
271.6389890986693,"cacao, beans",tonnes,TTO-1800-2025,Trinidad and Tobago,iia,21797.2,4952.729517430746,5,0.016201827088642793,trinidad and tobago|iia|1909-1945,,
270.0056096338768,tea,ha,LKA-1800-2025,Sri Lanka,iia,199224.0,65954.96220180139,36,0.011187199751528947,sri lanka|iia|1909-1945,,
267.8387885367032,hops,tonnes,DEU-1920-1938,Germany (1920-1938),iia,884700.0,470825.35311272315,3,0.007015565997551479,germany|iia|1920-1937,,
264.1995092990799,"groundnuts, with shell",ha,GMB-1800-2025,Gambia,iia,44000.0,10627.738270113981,7,0.01567039051079133,gambia|iia|1939-1945,,
258.7190890090085,phosphate rock,1000 tonnes,TTPI-1947-1994,Trust Territory of the Pacific Islands,fao1952,135.0,2025.8065605565075,3,0.00025757714307060326,pacific is us trust|fao1952|1949-1951; pacific is us tr|fao1952|1949-1951; pacific is u s|fao1952|1949-1951,,
254.54594491719075,beer of barley,tonnes,BEL-1831-2025,Belgium,mitchell,813240.0,30692.03925557064,108,0.10409426519973411,belgium|mitchell|1850-1960,,
251.89643989671808,"marine fish, other",tonnes,HKG-1842-2025,Hong Kong,mitchell,54500.0,1128.3490558475178,12,0.19174807067242947,china hong kong sar|mitchell|1948-1960,,
