verify_order,key,label,source,candidate,status,route,rows,years_observed,n_distinct_years,candidate_period,polity_type,wiki_status,polygon_status,verified_equal_reachable,nested_reporting,inclusion_impossible,boundary_year,alias_precedent_confidence,banked_precedent,tier
557,hungary|mitchell|1945-1946,hungary,mitchell,HUN-1944-1947,pending,iso,2,1945-1946,2,1944-1947,national,draft,assigned,False,False,False,False,,False,thin
558,thailand|mitchell|1906-1906,thailand,mitchell,THA-1904-1907,pending,iso,2,1906-1906,1,1904-1907,national,draft,assigned,False,False,False,False,,False,thin
559,austria|mitchell|1918-1918,austria,mitchell,AUT-1918-1919,pending,iso,1,1918-1918,1,1918-1919,national,draft,assigned,False,False,False,False,,False,thin
560,central african republic|mitchell|1960-1960,central african republic,mitchell,CAF-1960-2025,pending,iso,1,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
561,congo|mitchell|1960-1960,congo,mitchell,COG-1960-2025,pending,iso,1,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
562,ethiopia|iia|1932-1932,ethiopia,iia,ETH-1907-1936,pending,iso,1,1932-1932,1,1907-1936,national,draft,assigned,False,False,False,False,,False,thin
563,ethiopia|iia|1945-1945,ethiopia,iia,ETH-1941-1952,pending,iso,1,1945-1945,1,1941-1952,national,draft,assigned,False,False,False,False,,False,thin
564,gabon|mitchell|1960-1960,gabon,mitchell,GAB-1960-2025,pending,iso,1,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,,False,thin
565,germany|iia|1945-1945,germany,iia,DEU-1945-1949,pending,iso,1,1945-1945,1,1945-1949,national,draft,assigned,False,False,False,False,,False,thin
566,germany|mitchell|1919-1919,germany,mitchell,DEU-1919-1920,pending,iso,1,1919-1919,1,1919-1920,national,draft,assigned,False,False,False,False,,False,thin
567,hungary|mitchell|1918-1918,hungary,mitchell,HUN-1918-1920,pending,iso,1,1918-1918,1,1918-1920,national,draft,assigned,False,False,False,False,,False,thin
568,hungary|mitchell|1938-1938,hungary,mitchell,HUN-1938-1940,pending,iso,1,1938-1938,1,1938-1940,national,draft,assigned,False,False,False,False,,False,thin
569,india|mitchell|1885-1885,india,mitchell,IND-1800-1886,pending,iso,1,1885-1885,1,1800-1886,national,draft,polygon_vintage_drift,False,False,False,False,,False,thin
570,italy|juan|1919-1960,italy,juan,ITA-1919-2025,pending,applied_alias+iso,4229,1919-1960,42,1919-2025,national,draft,assigned,False,False,False,False,,False,bulk
571,brazil|juan|1909-1960,brazil,juan,BRA-1909-2025,pending,iso,2547,1909-1960,52,1909-2025,national,draft,assigned,False,False,False,False,,False,bulk
572,chile|juan|1902-1960,chile,juan,CHL-1902-2025,reopened,iso,1705,1902-1960,59,1902-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
573,canada|juan|1900-1948,canada,juan,CAN-1886-1949,reopened,applied_alias+iso,1574,1900-1948,49,1886-1949,national,draft,assigned,False,False,False,False,,False,bulk
574,hungary|juan|1851-1917,hungary,juan,HUN-1800-1918,reopened,iso,1003,1851-1917,55,1800-1918,national,draft,assigned,False,False,False,False,,False,bulk
575,indonesia|mitchell|1850-1944,indonesia,mitchell,IDN-1800-1945,pending,iso,810,1850-1944,95,1800-1945,colonial,draft,polygon_vintage_drift,False,False,False,False,,False,bulk
576,peru|juan|1942-1960,peru,juan,PER-1942-2025,reopened,iso,694,1942-1960,19,1942-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
577,hungary|juan|1920-1937,hungary,juan,HUN-1920-1938,reopened,applied_alias+iso,677,1920-1937,18,1920-1938,national,draft,assigned,False,False,False,False,,False,bulk
578,canada|juan|1949-1960,canada,juan,CAN-1949-2025,reopened,iso,600,1949-1960,12,1949-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
579,hungary|juan|1947-1960,hungary,juan,HUN-1947-2025,reopened,iso,565,1947-1960,14,1947-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
580,syrian arab republic|iia|1922-1945,syrian arab republic,iia,SYR-1922-1946,reopened,iso,492,1922-1945,21,1922-1946,national,draft,assigned,False,False,False,False,,False,bulk
581,brazil|mitchell|1909-1960,brazil,mitchell,BRA-1909-2025,pending,iso,466,1909-1960,52,1909-2025,national,draft,assigned,False,False,False,False,,False,bulk
582,haiti|juan|1900-1960,haiti,juan,HTI-1800-2025,pending,iso,419,1900-1960,59,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
583,canada|mitchell|1886-1948,canada,mitchell,CAN-1886-1949,reopened,applied_alias+iso,414,1886-1948,63,1886-1949,national,draft,assigned,False,False,False,False,,False,bulk
584,finland|juan|1878-1916,finland,juan,FIN-1809-1917,pending,iso,405,1878-1916,39,1809-1917,national,draft,assigned,False,False,False,False,,False,bulk
585,guyana|mitchell|1850-1960,guyana,mitchell,GUY-1800-2025,pending,iso,383,1850-1960,110,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
586,italy|iia|1919-1945,italy,iia,ITA-1919-2025,pending,applied_alias+iso,382,1919-1945,24,1919-2025,national,draft,assigned,False,False,False,False,,False,bulk
587,panama|juan|1912-1960,panama,juan,PAN-1903-1979,pending,iso,379,1912-1960,48,1903-1979,national,draft,assigned,False,False,False,False,,False,bulk
588,indonesia|iia|1909-1944,indonesia,iia,IDN-1800-1945,pending,iso,375,1909-1944,33,1800-1945,colonial,draft,polygon_vintage_drift,False,False,False,False,,False,bulk
589,senegal|mitchell|1886-1959,senegal,mitchell,SEN-1886-1960,pending,iso,365,1886-1959,45,1886-1960,national,draft,assigned,False,False,False,False,,False,bulk
590,india|mitchell|1949-1960,india,mitchell,IND-1949-2025,pending,iso,350,1949-1960,12,1949-2025,national,draft,assigned,False,False,False,False,,False,bulk
591,nigeria|mitchell|1914-1959,nigeria,mitchell,NGA-1914-1960,pending,iso,347,1914-1959,46,1914-1960,national,reviewed,assigned,True,False,False,False,,False,bulk
592,zimbabwe|mitchell|1901-1952,zimbabwe,mitchell,ZWE-1900-1953,pending,iso,332,1901-1952,49,1900-1953,national,draft,assigned,False,False,False,False,,False,bulk
593,iran|mitchell|1905-1960,iran,mitchell,IRN-1828-2025,pending,iso,305,1905-1960,56,1828-2025,national,draft,assigned,False,False,False,False,,False,bulk
594,mozambique|mitchell|1901-1960,mozambique,mitchell,MOZ-1891-1975,pending,iso,285,1901-1960,58,1891-1975,national,draft,assigned,False,False,False,False,,False,bulk
595,germany|juan|1938-1944,germany,juan,DEU-1938-1945,pending,iso,280,1938-1944,7,1938-1945,national,draft,assigned,False,False,False,False,,False,bulk
596,uganda|mitchell|1926-1960,uganda,mitchell,UGA-1926-1962,pending,iso,274,1926-1960,35,1926-1962,national,draft,assigned,False,False,False,False,,False,bulk
597,zimbabwe|iia|1911-1945,zimbabwe,iia,ZWE-1900-1953,pending,iso,273,1911-1945,31,1900-1953,national,draft,assigned,False,False,False,False,,False,bulk
598,indonesia|mitchell|1949-1960,indonesia,mitchell,IDN-1949-1963,pending,iso,268,1949-1960,12,1949-1963,national,draft,assigned,False,False,False,False,,False,bulk
599,chile|mitchell|1902-1960,chile,mitchell,CHL-1902-2025,pending,iso,265,1902-1960,58,1902-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
600,fiji|mitchell|1879-1960,fiji,mitchell,FJI-1800-2025,pending,iso,254,1879-1960,81,1800-2025,national,draft,proxy,False,False,False,False,,False,bulk
601,bolivia|juan|1938-1960,bolivia,juan,BOL-1938-2025,pending,iso,250,1938-1960,23,1938-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
602,peru|juan|1922-1941,peru,juan,PER-1922-1942,pending,iso,248,1922-1941,20,1922-1942,national,draft,assigned,False,False,False,False,,False,bulk
603,trinidad and tobago|mitchell|1850-1960,trinidad and tobago,mitchell,TTO-1800-2025,pending,iso,243,1850-1960,109,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
604,saint vincent and the grenadines|iia|1909-1945,saint vincent and the grenadines,iia,VCT-1833-2025,pending,iso,232,1909-1945,34,1833-2025,national,draft,assigned,False,False,False,False,,False,bulk
605,japan|mitchell|1851-1894,japan,mitchell,JPN-1800-1895,pending,iso,231,1851-1894,42,1800-1895,national,draft,assigned,False,False,False,False,,False,bulk
606,kenya|mitchell|1926-1960,kenya,mitchell,KEN-1926-1963,pending,iso,226,1926-1960,35,1926-1963,national,draft,assigned,False,False,False,False,,False,bulk
607,japan|mitchell|1952-1960,japan,mitchell,JPN-1952-2025,pending,applied_alias+iso,224,1952-1960,9,1952-2025,national,draft,assigned,False,False,False,False,,False,bulk
608,congo|iia|1919-1945,congo,iia,COG-1919-1960,pending,iso,223,1919-1945,21,1919-1960,national,draft,assigned,False,False,False,False,,False,bulk
609,yugoslavia|fao1952|1947-1951,Yugoslavia,fao1952,F248-1947-1991,pending,applied_alias+name,211,1947-1951,5,1947-1991,national,draft,estimate,False,False,False,False,,False,bulk
610,bolivia|juan|1910-1937,bolivia,juan,BOL-1909-1938,pending,iso,205,1910-1937,17,1909-1938,national,draft,assigned,False,False,False,False,,False,bulk
611,mauritius|iia|1909-1945,mauritius,iia,MUS-1800-2025,pending,iso,192,1909-1945,34,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
612,paraguay|juan|1911-1931,paraguay,juan,PRY-1870-1932,pending,iso,190,1911-1931,21,1870-1932,national,draft,estimate,False,False,False,False,,False,bulk
613,guadeloupe|iia|1909-1945,guadeloupe,iia,GLP-1816-2025,pending,iso,187,1909-1945,34,1816-2025,national,draft,assigned,False,False,False,False,,False,bulk
614,suriname|iia|1909-1945,suriname,iia,SUR-1886-1954,pending,iso,185,1909-1945,33,1886-1954,national,draft,assigned,False,False,False,False,,False,bulk
615,guadeloupe|mitchell|1850-1960,guadeloupe,mitchell,GLP-1816-2025,pending,iso,183,1850-1960,105,1816-2025,national,draft,assigned,False,False,False,False,,False,bulk
616,mauritius|mitchell|1856-1960,mauritius,mitchell,MUS-1800-2025,pending,iso,181,1856-1960,101,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
617,belgian congo|fao1952|1937-1951,Belgian Congo,fao1952,COD-1910-1960,pending,applied_alias,180,1937-1951,6,1910-1960,national,draft,assigned,False,False,False,False,,False,bulk
618,fiji|iia|1909-1945,fiji,iia,FJI-1800-2025,pending,iso,178,1909-1945,33,1800-2025,national,draft,proxy,False,False,False,False,,False,bulk
619,ghana|mitchell|1898-1956,ghana,mitchell,GHA-1898-1957,pending,iso,177,1898-1956,59,1898-1957,national,draft,assigned,False,False,False,False,,False,bulk
620,hungary|juan|1940-1943,hungary,juan,HUN-1940-1944,pending,iso,176,1940-1943,4,1940-1944,national,draft,proxy,False,False,False,False,,False,bulk
621,iran|iia|1913-1945,iran,iia,IRN-1828-2025,pending,iso,173,1913-1945,21,1828-2025,national,draft,assigned,False,False,False,False,,False,bulk
622,chile|iia|1909-1945,chile,iia,CHL-1902-2025,pending,iso,172,1909-1945,30,1902-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
623,ecuador|juan|1900-1941,ecuador,juan,ECU-1800-1942,pending,iso,171,1900-1941,42,1800-1942,national,draft,assigned,False,False,False,False,,False,bulk
624,canada|iia|1909-1945,canada,iia,CAN-1886-1949,reopened,iso,170,1909-1945,34,1886-1949,national,draft,assigned,False,False,False,False,,False,bulk
625,chile|juan|1860-1883,chile,juan,CHL-1810-1884,pending,iso,168,1860-1883,24,1810-1884,national,draft,unassigned,False,False,False,False,,False,bulk
626,montserrat|iia|1909-1945,montserrat,iia,MSR-1800-2025,pending,iso,166,1909-1945,34,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
627,kenya|iia|1929-1945,kenya,iia,KEN-1926-1963,pending,iso,161,1929-1945,17,1926-1963,national,draft,assigned,False,False,False,False,,False,bulk
628,barbados|mitchell|1850-1960,barbados,mitchell,BRB-1800-2025,pending,iso,160,1850-1960,108,1800-2025,national,draft,proxy,False,False,False,False,,False,bulk
629,ivory coast|mitchell|1947-1959,ivory coast,mitchell,CIV-1947-1960,pending,iso,160,1947-1959,13,1947-1960,national,draft,assigned,False,False,False,False,,False,bulk
630,syrian arab republic|mitchell|1922-1945,syrian arab republic,mitchell,SYR-1922-1946,pending,iso,160,1922-1945,24,1922-1946,national,draft,assigned,False,False,False,False,,False,bulk
631,peru|mitchell|1942-1960,peru,mitchell,PER-1942-2025,pending,iso,158,1942-1960,19,1942-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
632,saint kitts and nevis|iia|1909-1945,saint kitts and nevis,iia,KNA-1800-2025,pending,iso,156,1909-1945,34,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
633,rwanda and burundi|mitchell|1924-1960,rwanda and burundi,mitchell,RWB-1922-1962,pending,applied_alias,155,1924-1960,31,1922-1962,national,draft,assigned,False,False,False,False,,False,bulk
634,french west africa|fao1952|1937-1951,French West Africa,fao1952,AOF-1895-1960,pending,applied_alias,150,1937-1951,7,1895-1960,national,draft,assigned,False,False,False,False,,False,bulk
635,eritrea|iia|1922-1938,eritrea,iia,ERI-1889-1952,pending,iso,149,1922-1938,14,1889-1952,national,draft,assigned,False,False,False,False,,False,bulk
636,guinea|mitchell|1921-1957,guinea,mitchell,GIN-1894-1958,pending,iso,148,1921-1957,36,1894-1958,national,draft,assigned,False,False,False,False,,False,bulk
637,ecuador|mitchell|1881-1941,ecuador,mitchell,ECU-1800-1942,pending,iso,147,1881-1941,61,1800-1942,national,draft,assigned,False,False,False,False,,False,bulk
638,grenada|iia|1909-1945,grenada,iia,GRD-1800-2025,pending,iso,146,1909-1945,34,1800-2025,national,draft,proxy,False,False,False,False,,False,bulk
639,germany|juan|1945-1948,germany,juan,DEU-1945-1949,pending,iso,141,1945-1948,4,1945-1949,national,draft,assigned,False,False,False,False,,False,bulk
640,brazil|iia|1910-1945,brazil,iia,BRA-1909-2025,pending,iso,138,1910-1945,25,1909-2025,national,draft,assigned,False,False,False,False,,False,bulk
641,martinique|mitchell|1850-1960,martinique,mitchell,MTQ-1816-2025,pending,iso,137,1850-1960,109,1816-2025,national,draft,assigned,False,False,False,False,,False,bulk
642,zambia|iia|1922-1944,zambia,iia,NRH-1911-1953,pending,iso,136,1922-1944,19,1911-1953,colonial,draft,assigned,False,False,False,False,,False,bulk
643,hungary|iia|1920-1937,hungary,iia,HUN-1920-1938,pending,applied_alias+iso,135,1920-1937,14,1920-1938,national,draft,assigned,False,False,False,False,,False,bulk
644,syrian arab republic|mitchell|1946-1960,syrian arab republic,mitchell,SYR-1946-1967,pending,iso,132,1946-1960,15,1946-1967,national,draft,assigned,False,False,False,False,,False,bulk
645,saint lucia|iia|1909-1945,saint lucia,iia,LCA-1838-2025,pending,iso,130,1909-1945,34,1838-2025,national,draft,assigned,False,False,False,False,,False,bulk
646,benin|iia|1929-1945,benin,iia,BEN-1898-1960,pending,iso,127,1929-1945,17,1898-1960,national,draft,assigned,False,False,False,False,,False,bulk
647,lesotho|mitchell|1904-1960,lesotho,mitchell,LSO-1886-1966,pending,iso,124,1904-1960,32,1886-1966,national,draft,assigned,False,False,False,False,,False,bulk
648,hungary|juan|1944-1946,hungary,juan,HUN-1944-1947,pending,iso,123,1944-1946,3,1944-1947,national,draft,assigned,False,False,False,False,,False,bulk
649,antigua and barbuda|iia|1909-1945,antigua and barbuda,iia,ATG-1800-2025,pending,iso,122,1909-1945,32,1800-2025,national,draft,proxy,False,False,False,False,,False,bulk
650,benin|mitchell|1921-1959,benin,mitchell,BEN-1898-1960,pending,iso,121,1921-1959,34,1898-1960,national,draft,assigned,False,False,False,False,,False,bulk
651,peru|juan|1909-1921,peru,juan,PER-1909-1922,pending,iso,120,1909-1921,13,1909-1922,national,reviewed,assigned,True,False,False,False,,False,bulk
652,iraq|mitchell|1932-1960,iraq,mitchell,IRQ-1932-2025,pending,iso,119,1932-1960,29,1932-2025,national,draft,assigned,False,False,False,False,,False,bulk
653,germany|juan|1850-1865,germany,juan,DEU-1800-1866,pending,iso,116,1850-1865,16,1800-1866,national,draft,assigned,False,False,False,False,,False,bulk
654,malaysia|iia|1909-1944,malaysia,iia,BNB-1881-1963,pending,iso,116,1909-1944,30,1881-1963,colonial,draft,assigned,False,False,False,False,,False,bulk
655,dominica|iia|1909-1944,dominica,iia,DMA-1800-2025,pending,iso,115,1909-1944,31,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
656,panama|mitchell|1921-1960,panama,mitchell,PAN-1903-1979,pending,iso,115,1921-1960,40,1903-1979,national,draft,assigned,False,False,False,False,,False,bulk
657,guinea|iia|1913-1945,guinea,iia,GIN-1894-1958,pending,iso,114,1913-1945,22,1894-1958,national,draft,assigned,False,False,False,False,,False,bulk
658,vanuatu|iia|1911-1945,vanuatu,iia,VUT-1800-2025,pending,iso,112,1911-1945,27,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
659,mauritania|iia|1922-1945,mauritania,iia,MRT-1920-1960,pending,iso,111,1922-1945,21,1920-1960,national,draft,assigned,False,False,False,False,,False,bulk
660,trinidad and tobago|iia|1909-1945,trinidad and tobago,iia,TTO-1800-2025,pending,iso,109,1909-1945,33,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
661,senegal|iia|1922-1945,senegal,iia,SEN-1886-1960,pending,iso,106,1922-1945,21,1886-1960,national,draft,assigned,False,False,False,False,,False,bulk
662,chile|juan|1884-1898,chile,juan,CHL-1884-1899,pending,iso,105,1884-1898,15,1884-1899,national,draft,assigned,False,False,False,False,,False,bulk
663,canada|mitchell|1949-1960,canada,mitchell,CAN-1949-2025,reopened,iso,104,1949-1960,12,1949-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
664,namibia|mitchell|1920-1960,namibia,mitchell,NAM-1920-1990,pending,iso,103,1920-1960,35,1920-1990,national,draft,assigned,False,False,False,False,,False,bulk
665,sierra leone|iia|1913-1945,sierra leone,iia,SLE-1889-1961,pending,iso,103,1913-1945,25,1889-1961,national,draft,assigned,False,False,False,False,,False,bulk
666,ghana|iia|1909-1945,ghana,iia,GHA-1898-1957,pending,iso,102,1909-1945,34,1898-1957,national,draft,assigned,False,False,False,False,,False,bulk
667,ivory coast|mitchell|1932-1946,ivory coast,mitchell,CIV-1932-1947,pending,iso,101,1932-1946,15,1932-1947,national,draft,assigned,False,False,False,False,,False,bulk
668,lebanon|iia|1923-1943,lebanon,iia,LBN-1920-1944,pending,iso,101,1923-1943,14,1920-1944,national,draft,assigned,False,False,False,False,,False,bulk
669,mauritania|mitchell|1921-1959,mauritania,mitchell,MRT-1920-1960,pending,iso,101,1921-1959,36,1920-1960,national,draft,assigned,False,False,False,False,,False,bulk
670,haiti|iia|1909-1945,haiti,iia,HTI-1800-2025,pending,iso,99,1909-1945,29,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
671,iraq|iia|1932-1945,iraq,iia,IRQ-1932-2025,pending,iso,97,1932-1945,14,1932-2025,national,draft,assigned,False,False,False,False,,False,bulk
672,mozambique|iia|1913-1937,mozambique,iia,MOZ-1891-1975,pending,iso,97,1913-1937,14,1891-1975,national,draft,assigned,False,False,False,False,,False,bulk
673,barbados|iia|1909-1943,barbados,iia,BRB-1800-2025,pending,iso,92,1909-1943,29,1800-2025,national,draft,proxy,False,False,False,False,,False,bulk
674,guyana|iia|1909-1945,guyana,iia,GUY-1800-2025,pending,iso,92,1909-1945,33,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
675,peru|mitchell|1922-1941,peru,mitchell,PER-1922-1942,pending,iso,91,1922-1941,20,1922-1942,national,draft,assigned,False,False,False,False,,False,bulk
676,uganda|mitchell|1910-1925,uganda,mitchell,UGA-1910-1926,pending,iso,84,1910-1925,16,1910-1926,national,draft,assigned,False,False,False,False,,False,bulk
677,hungary|juan|1938-1939,hungary,juan,HUN-1938-1940,pending,iso,83,1938-1939,2,1938-1940,national,draft,assigned,False,False,False,False,,False,bulk
678,niger|mitchell|1947-1959,niger,mitchell,NER-1947-1960,reopened,iso,82,1947-1959,13,1947-1960,national,draft,assigned,False,False,False,False,,False,bulk
679,peru|iia|1922-1941,peru,iia,PER-1922-1942,pending,iso,81,1922-1941,16,1922-1942,national,draft,assigned,False,False,False,False,,False,bulk
680,bolivia|mitchell|1938-1960,bolivia,mitchell,BOL-1938-2025,pending,iso,80,1938-1960,23,1938-2025,national,reviewed,assigned,True,False,False,False,,False,bulk
681,nigeria|iia|1922-1945,nigeria,iia,NGA-1914-1960,pending,iso,79,1922-1945,21,1914-1960,national,reviewed,assigned,True,False,False,False,,False,bulk
682,togo|mitchell|1933-1959,togo,mitchell,FTO-1920-1960,pending,iso,76,1933-1959,20,1920-1960,national,draft,assigned,False,False,False,False,,False,bulk
683,india|iia|1909-1913,india,iia,IND-1893-1914,pending,iso,75,1909-1913,5,1893-1914,national,draft,assigned,False,False,False,False,,False,bulk
684,haiti|mitchell|1918-1960,haiti,mitchell,HTI-1800-2025,pending,iso,69,1918-1960,42,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
685,ivory coast|mitchell|1914-1931,ivory coast,mitchell,CIV-1902-1932,pending,iso,69,1914-1931,18,1902-1932,national,draft,assigned,False,False,False,False,,False,bulk
686,libya|iia|1925-1933,libya,iia,LBY-1925-1934,pending,iso,69,1925-1933,6,1925-1934,national,draft,assigned,False,False,False,False,,False,bulk
687,paraguay|juan|1932-1937,paraguay,juan,PRY-1932-1938,pending,iso,69,1932-1937,6,1932-1938,national,draft,assigned,False,False,False,False,,False,bulk
688,paraguay|iia|1909-1931,paraguay,iia,PRY-1870-1932,pending,iso,68,1909-1931,18,1870-1932,national,draft,estimate,False,False,False,False,,False,bulk
689,india|mitchell|1947-1948,india,mitchell,IND-1947-1949,pending,iso,66,1947-1948,2,1947-1949,national,draft,assigned,False,False,False,False,,False,bulk
690,ethiopia|mitchell|1952-1960,ethiopia,mitchell,ETH-1952-1993,pending,iso,65,1952-1960,9,1952-1993,national,draft,assigned,False,False,False,False,,False,bulk
691,colombia|juan|1903-1921,colombia,juan,COL-1903-1922,pending,iso,61,1903-1921,19,1903-1922,national,reviewed,assigned,True,False,False,False,,False,bulk
692,equatorial guinea|mitchell|1900-1959,equatorial guinea,mitchell,GNQ-1886-1968,pending,iso,60,1900-1959,60,1886-1968,national,draft,assigned,False,False,False,False,,False,bulk
693,indonesia|mitchell|1945-1948,indonesia,mitchell,IDN-1945-1949,pending,iso,60,1945-1948,4,1945-1949,national,draft,assigned,False,False,False,False,,False,bulk
694,sao tome and principe|mitchell|1900-1959,sao tome and principe,mitchell,STP-1800-2025,pending,iso,60,1900-1959,60,1800-2025,national,draft,proxy,False,False,False,False,,False,bulk
695,hungary|juan|1918-1919,hungary,juan,HUN-1918-1920,pending,iso,56,1918-1919,2,1918-1920,national,draft,assigned,False,False,False,False,,False,bulk
696,hungary|mitchell|1861-1917,hungary,mitchell,HUN-1800-1918,pending,iso,56,1861-1917,56,1800-1918,national,draft,assigned,False,False,False,False,,False,bulk
697,cambodia|mitchell|1953-1960,cambodia,mitchell,KHM-1953-2025,pending,iso,55,1953-1960,8,1953-2025,national,draft,assigned,False,False,False,False,,False,bulk
698,sierra leone|mitchell|1914-1960,sierra leone,mitchell,SLE-1889-1961,pending,iso,55,1914-1960,42,1889-1961,national,draft,assigned,False,False,False,False,,False,bulk
699,germany|iia|1938-1944,germany,iia,DEU-1938-1945,pending,iso,54,1938-1944,7,1938-1945,national,draft,assigned,False,False,False,False,,False,bulk
700,nigeria|mitchell|1889-1913,nigeria,mitchell,NGA-1886-1914,pending,iso,53,1889-1913,24,1886-1914,national,draft,assigned,False,False,False,False,,False,bulk
701,eswatini|mitchell|1909-1960,eswatini,mitchell,SWZ-1894-2025,pending,iso,49,1909-1960,47,1894-2025,national,draft,assigned,False,False,False,False,,False,bulk
702,jordan|iia|1929-1944,jordan,iia,JOR-1923-1946,pending,iso,47,1929-1944,13,1923-1946,national,draft,assigned,False,False,False,False,,False,bulk
703,libya|iia|1934-1942,libya,iia,LBY-1934-1943,pending,iso,47,1934-1942,9,1934-1943,national,draft,assigned,False,False,False,False,,False,bulk
704,martinique|iia|1909-1945,martinique,iia,MTQ-1816-2025,pending,iso,47,1909-1945,32,1816-2025,national,draft,assigned,False,False,False,False,,False,bulk
705,reunion|fao1952|1949-1951,Réunion,fao1952,REU-1946-2025,pending,applied_alias,47,1949-1951,3,1946-2025,national,draft,assigned,False,False,False,False,,False,bulk
706,samoa|iia|1910-1945,samoa,iia,WSM-1900-2025,pending,iso,47,1910-1945,28,1900-2025,national,draft,assigned,False,False,False,False,,False,bulk
707,afghanistan|mitchell|1954-1960,afghanistan,mitchell,AFG-1919-2025,pending,iso,45,1954-1960,6,1919-2025,national,draft,assigned,False,False,False,False,,False,bulk
708,hungary|iia|1909-1916,hungary,iia,HUN-1800-1918,pending,iso,44,1909-1916,8,1800-1918,national,draft,assigned,False,False,False,False,,False,bulk
709,kenya|mitchell|1908-1923,kenya,mitchell,KEN-1907-1924,pending,iso,43,1908-1923,16,1907-1924,national,draft,assigned,False,False,False,False,,False,bulk
710,malaysia|mitchell|1946-1956,malaysia,mitchell,MYS-1946-1957,pending,iso,43,1946-1956,11,1946-1957,national,draft,assigned,False,False,False,False,,False,bulk
711,cabo verde|iia|1932-1944,cabo verde,iia,CPV-1886-1975,pending,iso,42,1932-1944,10,1886-1975,colonial,draft,assigned,False,False,False,False,,False,bulk
712,liberia|mitchell|1919-1960,liberia,mitchell,LBR-1847-2025,pending,iso,42,1919-1960,36,1847-2025,national,draft,assigned,False,False,False,False,,False,bulk
713,hungary|iia|1938-1939,hungary,iia,HUN-1938-1940,pending,iso,41,1938-1939,2,1938-1940,national,draft,assigned,False,False,False,False,,False,bulk
714,india|iia|1937-1945,india,iia,IND-1937-1947,pending,iso,41,1937-1945,9,1937-1947,national,draft,assigned,False,False,False,False,,False,bulk
715,italy|mitchell|1919-1960,italy,mitchell,ITA-1919-2025,pending,applied_alias+iso,41,1919-1960,41,1919-2025,national,draft,assigned,False,False,False,False,,False,bulk
716,lebanon|mitchell|1944-1960,lebanon,mitchell,LBN-1944-2025,pending,iso,41,1944-1960,17,1944-2025,national,draft,assigned,False,False,False,False,,False,bulk
717,chad|mitchell|1930-1959,chad,mitchell,TCD-1919-1960,pending,iso,40,1930-1959,29,1919-1960,national,draft,assigned,False,False,False,False,,False,bulk
718,morocco|mitchell|1958-1960,morocco,mitchell,MAR-1958-1975,pending,iso,40,1958-1960,3,1958-1975,national,draft,assigned,False,False,False,False,,False,bulk
719,panama|iia|1912-1945,panama,iia,PAN-1903-1979,pending,iso,40,1912-1945,27,1903-1979,national,draft,assigned,False,False,False,False,,False,bulk
720,ecuador|iia|1913-1941,ecuador,iia,ECU-1800-1942,pending,iso,38,1913-1941,13,1800-1942,national,draft,assigned,False,False,False,False,,False,bulk
721,gambia|mitchell|1922-1960,gambia,mitchell,GMB-1800-2025,pending,iso,38,1922-1960,38,1800-2025,national,draft,assigned,False,False,False,False,,False,bulk
722,germany|juan|1866-1870,germany,juan,DEU-1866-1871,pending,iso,37,1866-1870,5,1866-1871,national,draft,assigned,False,False,False,False,,False,bulk
723,peru|mitchell|1909-1921,peru,mitchell,PER-1909-1922,pending,iso,36,1909-1921,12,1909-1922,national,reviewed,assigned,True,False,False,False,,False,bulk
724,bolivia|mitchell|1910-1937,bolivia,mitchell,BOL-1909-1938,pending,iso,35,1910-1937,9,1909-1938,national,draft,assigned,False,False,False,False,,False,bulk
725,ethiopia|mitchell|1942-1951,ethiopia,mitchell,ETH-1941-1952,pending,iso,35,1942-1951,8,1941-1952,national,draft,assigned,False,False,False,False,,False,bulk
726,lebanon|iia|1944-1945,lebanon,iia,LBN-1944-2025,pending,iso,35,1944-1945,2,1944-2025,national,draft,assigned,False,False,False,False,,False,bulk
