verify_order,key,label,source,candidate,status,route,rows,years_observed,n_distinct_years,candidate_period,polity_type,wiki_status,polygon_status,verified_equal_reachable,nested_reporting,inclusion_impossible,boundary_year,alias_precedent_confidence,banked_precedent,tier
443,bulgaria|mitchell|1895-1912,bulgaria,mitchell,BGR-1878-1913,pending,applied_alias,17,1895-1912,17,1878-1913,national,draft,assigned,False,False,False,False,high,False,precedent
444,finland|iia|1940-1945,finland,iia,FIN-1940-2025,pending,iso,17,1940-1945,6,1940-2025,national,draft,assigned,False,False,False,False,,True,precedent
445,germany|mitchell|1920-1937,germany,mitchell,DEU-1920-1938,pending,iso,16,1920-1937,16,1920-1938,national,draft,assigned,False,False,False,False,,True,precedent
446,honduras|iia|1912-1938,honduras,iia,HND-1800-2025,pending,iso,16,1912-1938,7,1800-2025,national,draft,polygon_vintage_drift,False,False,False,False,,True,precedent
447,pacific is us trust|fao1952|1949-1951,Pacific Is us trust,fao1952,TTPI-1947-1994,pending,applied_alias,16,1949-1951,3,1947-1994,colonial,draft,proxy,False,False,False,False,high,False,precedent
448,romania|iia|1909-1912,romania,iia,ROU-1859-1913,pending,applied_alias,16,1909-1912,4,1859-1913,national,draft,assigned,False,False,False,False,high,False,precedent
449,russian federation|mitchell|1924-1939,russian federation,mitchell,F228-1921-1940,pending,applied_alias,16,1924-1939,16,1921-1940,national,draft,assigned,False,False,False,False,high,False,precedent
450,russian federation|mitchell|1945-1960,russian federation,mitchell,F228-1945-1991,pending,applied_alias,16,1945-1960,16,1945-1991,national,draft,assigned,False,False,False,False,high,False,precedent
451,czech republic|mitchell|1947-1960,czech republic,mitchell,F51-1947-1993,pending,applied_alias,14,1947-1960,14,1947-1993,national,draft,assigned,False,False,False,False,high,False,precedent
452,netherlands west indies|fao1952|1937-1951,Netherlands West Indies,fao1952,ANT-1816-1961,pending,applied_alias,14,1937-1951,4,1816-1961,colonial,draft,proxy,False,False,False,False,high,False,precedent
453,virgin is us|fao1952|1936-1951,Virgin Is US,fao1952,VIR-1917-2025,pending,applied_alias,14,1936-1951,4,1917-2025,colonial,draft,assigned,False,False,False,False,high,False,precedent
454,ivory coast|mitchell|1960-1960,ivory coast,mitchell,CIV-1960-2025,pending,applied_alias,13,1960-1960,1,1960-2025,national,draft,assigned,False,False,False,False,high,False,precedent
455,bulgaria|mitchell|1948-1960,bulgaria,mitchell,BGR-1940-2025,pending,applied_alias,12,1948-1960,12,1940-2025,national,reviewed,assigned,True,False,False,False,high,True,precedent
456,germany|mitchell|1949-1960,germany,mitchell,DEU-1949-1990,pending,iso,12,1949-1960,12,1949-1990,national,draft,assigned,False,False,False,False,,True,precedent
457,romania|mitchell|1948-1960,romania,mitchell,ROU-1947-2025,pending,applied_alias,12,1948-1960,12,1947-2025,national,reviewed,assigned,True,False,False,False,high,False,precedent
458,korea|fao1952|1949-1951,Korea,fao1952,KOR-1948-2025,pending,applied_alias,11,1949-1951,3,1948-2025,national,draft,assigned,False,False,False,False,high,False,precedent
459,singapore|iia|1909-1919,singapore,iia,GBM-1895-1946,pending,applied_alias,11,1909-1919,11,1895-1946,colonial,draft,assigned,False,False,False,False,high,False,precedent
460,british solomon is|fao1952|1949-1951,British Solomon Is,fao1952,SLB-1800-2025,pending,applied_alias,9,1949-1951,3,1800-2025,national,draft,proxy,False,False,False,False,high,False,precedent
461,dr congo|mitchell|1960-1960,dr congo,mitchell,COD-1960-2025,pending,applied_alias,9,1960-1960,1,1960-2025,national,reviewed,assigned,True,False,False,False,high,False,precedent
462,finland|mitchell|1932-1939,finland,mitchell,FIN-1917-1940,pending,iso,8,1932-1939,8,1917-1940,national,draft,assigned,False,False,False,False,,True,precedent
463,russian federation|iia|1917-1917,russian federation,iia,F228-1917-1918,pending,applied_alias,8,1917-1917,1,1917-1918,national,draft,assigned,False,False,False,False,high,False,precedent
464,russian federation|iia|1918-1918,russian federation,iia,F228-1918-1920,pending,applied_alias,8,1918-1918,1,1918-1920,national,draft,assigned,False,False,False,False,high,False,precedent
465,russian federation|mitchell|1906-1913,russian federation,mitchell,F228-1905-1914,pending,applied_alias,8,1906-1913,8,1905-1914,national,draft,assigned,False,False,False,False,high,False,precedent
466,viet nam|mitchell|1954-1954,viet nam,mitchell,F237-1954-1975,pending,applied_alias,8,1954-1954,1,1954-1975,aggregate,draft,estimate,False,False,False,False,high,False,precedent
467,yemen|fao1952|1937-1951,Yemen,fao1952,MKY-1918-1962,pending,applied_alias,8,1937-1951,6,1918-1962,national,draft,assigned,False,False,False,False,high,False,precedent
468,zambia|mitchell|1953-1960,zambia,mitchell,NRH-1953-1964,pending,applied_alias,8,1953-1960,7,1953-1964,national,draft,assigned,False,False,False,False,high,False,precedent
469,bulgaria|iia|1918-1918,bulgaria,iia,BGR-1918-1919,pending,applied_alias,7,1918-1918,1,1918-1919,national,draft,assigned,False,False,False,False,high,False,precedent
470,cape of good hope|mitchell|1865-1892,cape of good hope,mitchell,CAP-1800-1895,pending,applied_alias,7,1865-1892,7,1800-1895,national,draft,polygon_vintage_drift,False,False,False,False,high,False,precedent
471,comoro islands|fao1952|1949-1951,Comoro Islands,fao1952,COM-1946-1975,pending,applied_alias,7,1949-1951,3,1946-1975,national,draft,assigned,False,False,False,False,high,False,precedent
472,czech republic|mitchell|1938-1944,czech republic,mitchell,F51-1938-1945,pending,applied_alias,7,1938-1944,7,1938-1945,national,draft,assigned,False,False,False,False,high,False,precedent
473,ecuador|iia|1942-1945,ecuador,iia,ECU-1942-2025,pending,iso,7,1942-1945,4,1942-2025,national,reviewed,assigned,True,False,False,False,,True,precedent
474,israel|fao1952|1937-1938,Israel,fao1952,PAL-1920-1948,pending,applied_alias,7,1937-1938,2,1920-1948,national,draft,assigned,False,False,False,False,medium,False,precedent
475,natal|mitchell|1945-1957,natal,mitchell,ZAF-1910-2025,pending,applied_alias,7,1945-1957,6,1910-2025,national,reviewed,assigned,True,False,False,False,medium,False,precedent
476,tanzania|mitchell|1920-1921,tanzania,mitchell,TAN-1920-1922,pending,applied_alias,7,1920-1921,2,1920-1922,national,draft,assigned,False,False,False,False,medium,False,precedent
477,british solomon islands|fao1952|1937-1951,British Solomon Islands,fao1952,SLB-1800-2025,pending,applied_alias,6,1937-1951,4,1800-2025,national,draft,proxy,False,False,False,False,high,False,precedent
478,china mainland|iia|1914-1917,"china, mainland",iia,CHN-1914-1921,pending,applied_alias,6,1914-1917,4,1914-1921,national,draft,assigned,False,False,False,False,high,False,precedent
479,libya|mitchell|1945-1947,libya,mitchell,LBY-1943-1949,pending,applied_alias,6,1945-1947,2,1943-1949,national,draft,assigned,False,False,False,False,high,False,precedent
480,ltaly|fao1952|1949-1951,ltaly,fao1952,ITA-1919-2025,pending,applied_alias,6,1949-1951,3,1919-2025,national,draft,assigned,False,False,False,False,high,False,precedent
481,necherlands|fao1952|1949-1951,Necherlands,fao1952,NLD-1830-2025,pending,applied_alias,6,1949-1951,3,1830-2025,national,draft,assigned,False,False,False,False,high,False,precedent
482,pacific is u s|fao1952|1949-1951,Pacific Is (U S,fao1952,TTPI-1947-1994,pending,applied_alias,6,1949-1951,3,1947-1994,colonial,draft,proxy,False,False,False,False,high,False,precedent
483,singapore christmas island|fao1952|1949-1951,Singapore Christmas Island,fao1952,CXR-1946-1958,pending,applied_alias,6,1949-1951,3,1946-1958,colonial,draft,assigned,False,False,False,False,high,False,precedent
484,botswana|iia|1929-1933,botswana,iia,BEC-1885-1966,pending,applied_alias,5,1929-1933,5,1885-1966,national,draft,assigned,False,False,False,False,medium,False,precedent
485,china mainland|iia|1913-1913,"china, mainland",iia,CHN-1913-1914,pending,applied_alias,5,1913-1913,1,1913-1914,national,draft,assigned,False,False,False,False,high,False,precedent
486,china mainland|mitchell|1887-1891,"china, mainland",mitchell,CHN-1800-1895,pending,applied_alias,5,1887-1891,5,1800-1895,national,draft,assigned,False,False,False,False,high,False,precedent
487,pacific is|fao1952|1950-1950,Pacific Is,fao1952,TTPI-1947-1994,pending,applied_alias,5,1950-1950,1,1947-1994,colonial,draft,proxy,False,False,False,False,high,False,precedent
488,panama canal zone|fao1952|1951-1951,Panama Canal Zone,fao1952,CZN-1903-1979,pending,applied_alias,5,1951-1951,1,1903-1979,colonial,draft,unassigned,False,False,False,False,high,False,precedent
489,russian federation|iia|1920-1920,russian federation,iia,F228-1920-1921,pending,applied_alias,5,1920-1920,1,1920-1921,national,draft,assigned,False,False,False,False,high,False,precedent
