"year","country","iso_draft","polity_name","FAOSTAT_name","item","item_code","value","unit","area_code","region","region_UN","iso3c","polity_code","Source","source_file","sheet"
1902,"Philippines","PHL","Philippines","Philippines","Tobacco, unmanufactured",826,9200,"tonnes",171,"South East Asia","Asia","PHL","PHL","mitchell","page201-250.xlsx","page_12_table_1"
1902,"Puerto Rico","PRI","Puerto Rico","Puerto Rico","Sugar Raw Centrifugal",162,91000,"tonnes",177,"Central America","Americas","PRI","PRI","mitchell","page401-450.xlsx","page_37_table_1"
1902,"Romania","ROU","Romania","Romania","Beer of barley",51,3840,"tonnes",183,"Eastern Europe","Europe","ROU","ROU","mitchell","mitchell_beer_4203-4219.xlsx","page_4207_table_1"
1902,"Russian Federation","RUS","Russian Federation","Russian Federation","Beer of barley",51,456480,"tonnes",185,"Former USSR","Europe","RUS","RUS","mitchell","mitchell_beer_4203-4219.xlsx","page_4207_table_1"
1902,"Serbia","SRB","Serbia","Serbia","Beer of barley",51,5680,"tonnes",272,"OECD Europe","Europe","SRB","SRB","mitchell","mitchell_beer_4203-4219.xlsx","page_4207_table_1"
1902,"South Africa","ZAF","South Africa","South Africa","Sugar cane",156,13000,"ha",202,"Southern Africa","Africa","ZAF","ZAF","mitchell","Sugar (extracted from 101-150).xlsx","Copia de page_26_table_1"
1902,"South Africa","ZAF","South Africa","South Africa","Sugar cane",156,21000,"tonnes",202,"Southern Africa","Africa","ZAF","ZAF","mitchell","Sugar (extracted from 101-150).xlsx","Copia de page_26_table_1 (2)"
1902,"South Africa","ZAF","South Africa","South Africa","Wine",564,16137,"tonnes",202,"Southern Africa","Africa","ZAF","ZAF","mitchell","page151-200.xlsx","page_34_table_1"
1902,"Sri Lanka","LKA","Sri Lanka","Sri Lanka","Cattle",866,1348000,"heads",38,"South Asia","Asia","LKA","LKA","mitchell","page251-300.xlsx","page_39_table_1"
1902,"Sri Lanka","LKA","Sri Lanka","Sri Lanka","Coffee, green",656,600,"tonnes",38,"South Asia","Asia","LKA","LKA","mitchell","page151-200.xlsx","page_17_table_1"
1902,"Sri Lanka","LKA","Sri Lanka","Sri Lanka","Goats",1016,147000,"heads",38,"South Asia","Asia","LKA","LKA","mitchell","page251-300.xlsx","page_39_table_1"
1902,"Sri Lanka","LKA","Sri Lanka","Sri Lanka","Swine / pigs",1034,92000,"heads",38,"South Asia","Asia","LKA","LKA","mitchell","page251-300.xlsx","page_39_table_1"
1902,"Sri Lanka","LKA","Sri Lanka","Sri Lanka","Rice, paddy",27,284000,"ha",38,"South Asia","Asia","LKA","LKA","mitchell","11-50.xlsx","page_31_table_1"
1902,"Sri Lanka","LKA","Sri Lanka","Sri Lanka","Rice, paddy",27,265000,"tonnes",38,"South Asia","Asia","LKA","LKA","mitchell","page51-100.xlsx","page_36_table_1"
1902,"Sri Lanka","LKA","Sri Lanka","Sri Lanka","Sheep",976,87000,"heads",38,"South Asia","Asia","LKA","LKA","mitchell","page251-300.xlsx","page_39_table_1"
1902,"Sri Lanka","LKA","Sri Lanka","Sri Lanka","Tea",667,68000,"tonnes",38,"South Asia","Asia","LKA","LKA","mitchell","page151-200.xlsx","page_17_table_1"
1902,"Sweden","SWE","Sweden","Sweden","Beer of barley",51,235280,"tonnes",210,"OECD Europe","Europe","SWE","SWE","mitchell","mitchell_beer_4203-4219.xlsx","page_4207_table_1"
1902,"Switzerland","CHE","Switzerland","Switzerland","Beer of barley",51,159920,"tonnes",211,"OECD Europe","Europe","CHE","CHE","mitchell","mitchell_beer_4203-4219.xlsx","page_4207_table_1"
1902,"Sao Tome and Principe","STP","Sao Tome and Principe","Sao Tome and Principe","Cacao, beans",661,21000,"tonnes",193,"Western Africa","Africa","STP","STP","mitchell","page151-200.xlsx","page_13_table_1"
1902,"China, Taiwan Province of","TWN","China, Taiwan","China, Taiwan Province of","Cattle",866,77000,"heads",214,"East Asia","Asia","TWN","TWN","mitchell","page251-300.xlsx","page_39_table_1"
1902,"China, Taiwan Province of","TWN","China, Taiwan","China, Taiwan Province of","Goats",1016,105000,"heads",214,"East Asia","Asia","TWN","TWN","mitchell","page251-300.xlsx","page_39_table_1"
1902,"China, Taiwan Province of","TWN","China, Taiwan","China, Taiwan Province of","Swine / pigs",1034,779000,"heads",214,"East Asia","Asia","TWN","TWN","mitchell","page251-300.xlsx","page_39_table_1"
1902,"China, Taiwan Province of","TWN","China, Taiwan","China, Taiwan Province of","Rice, paddy",27,381750,"tonnes",214,"East Asia","Asia","TWN","TWN","mitchell","page51-100.xlsx","page_36_table_1 (2)"
1902,"China, Taiwan Province of","TWN","China, Taiwan","China, Taiwan Province of","Sugar cane",156,35000,"tonnes",214,"East Asia","Asia","TWN","TWN","mitchell","Sugar (extracted from 101-150).xlsx","Copia de page_32_table_1"
1902,"China, Taiwan Province of","TWN","China, Taiwan","China, Taiwan Province of","Tea",667,13000,"tonnes",214,"East Asia","Asia","TWN","TWN","mitchell","page151-200.xlsx","page_17_table_1"
1902,"Tanzania","TZA","Tanzania","United Republic of Tanzania","Coffee, green",656,400,"tonnes",215,"Southern Africa","Africa","TZA","TZA","mitchell","page151-200.xlsx","page_13_table_1"
1902,"Trinidad and Tobago","TTO","Trinidad and Tobago","Trinidad and Tobago","Cacao, beans",661,170000,"tonnes",220,"Central America","Americas","TTO","TTO","mitchell","page451-500.xlsx","page_27_table_1"
1902,"Trinidad and Tobago","TTO","Trinidad and Tobago","Trinidad and Tobago","Sugar Raw Centrifugal",162,60000,"tonnes",220,"Central America","Americas","TTO","TTO","mitchell","page401-450.xlsx","page_37_table_1"
1902,"Trinidad and Tobago","TTO","Trinidad and Tobago","Trinidad and Tobago","Sugar cane",156,21000,"ha",220,"Central America","Americas","TTO","TTO","mitchell","page351-400.xlsx","Copia de page_11_table_2"
1902,"Tunisia","TUN","Tunisia","Tunisia","Asses",1107,92000,"heads",222,"Northern Africa","Africa","TUN","TUN","mitchell","page251-300.xlsx","Copia de page_22_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Barley",44,376000,"ha",222,"Northern Africa","Africa","TUN","TUN","mitchell","4.xlsx","page_4_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Barley",44,68000,"tonnes",222,"Northern Africa","Africa","TUN","TUN","mitchell","page51-100.xlsx","page_10_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Cattle",866,2e+05,"heads",222,"Northern Africa","Africa","TUN","TUN","mitchell","page251-300.xlsx","page_25_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Goats",1016,509000,"heads",222,"Northern Africa","Africa","TUN","TUN","mitchell","page251-300.xlsx","page_25_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Horses",1096,29000,"heads",222,"Northern Africa","Africa","TUN","TUN","mitchell","page251-300.xlsx","Copia de page_22_table_1"
1902,"Tunisia","TUN","Tunisia","Tunisia","Mules and hinnies",1110,16000,"heads",222,"Northern Africa","Africa","TUN","TUN","mitchell","page251-300.xlsx","Copia de page_22_table_1"
