cow_code,cow_name,cow_start,cow_end,iso3,verified
475,Nigeria,1960,2025,NGA,unchanged
481,Gabon,1960,2025,GAB,unchanged
482,Central African Republic,1960,2025,CAF,unchanged
483,Chad,1960,2025,TCD,unchanged
484,Congo,1960,2025,COG,unchanged
490,DR Congo,1960,2025,COD,unchanged
500,Uganda,1962,2025,UGA,unchanged
501,Kenya,1963,2025,KEN,unchanged
510,Tanzania,1961,2025,TZA,unchanged
516,Burundi,1962,2025,BDI,unchanged
517,Rwanda,1962,2025,RWA,unchanged
520,Somalia,1960,2025,SOM,unchanged
522,Djibouti,1977,2025,DJI,unchanged
530,Ethiopia,1898,2025,ETH,unchanged
531,Eritrea,1993,2025,ERI,unchanged
540,Angola,1975,2025,AGO,unchanged
541,Mozambique,1975,2025,MOZ,unchanged
551,Zambia,1964,2025,ZMB,unchanged
552,Zimbabwe,1980,2025,ZWE,unchanged
553,Malawi,1964,2025,MWI,unchanged
560,South Africa,1910,2025,ZAF,unchanged
565,Namibia,1990,2025,NAM,unchanged
570,Lesotho,1966,2025,LSO,unchanged
571,Botswana,1966,2025,BWA,unchanged
572,Eswatini,1968,2025,SWZ,unchanged
580,Madagascar,1960,2025,MDG,unchanged
581,Comoros,1975,2025,COM,cshapes-2.0-gwcode
590,Mauritius,1968,2025,MUS,unchanged
591,Seychelles,1976,2025,SYC,unchanged
600,Morocco,1956,2025,MAR,unchanged
615,Algeria,1962,2025,DZA,unchanged
616,Tunisia,1956,2025,TUN,unchanged
620,Libya,1951,2025,LBY,unchanged
625,Sudan,1956,2025,SDN,unchanged
626,South Sudan,2011,2025,SSD,unchanged
630,Iran,1816,2025,IRN,unchanged
640,Turkey,1816,2025,TUR,unchanged
645,Iraq,1932,2025,IRQ,unchanged
651,Egypt,1855,2025,EGY,unchanged
652,Syria,1946,2025,SYR,unchanged
660,Lebanon,1946,2025,LBN,unchanged
663,Jordan,1946,2025,JOR,unchanged
666,Israel,1948,2025,ISR,unchanged
670,Saudi Arabia,1927,2025,SAU,unchanged
678,Yemen,1990,2025,YEM,unchanged
679,North Yemen,1918,1990,NA,unchanged
680,South Yemen,1967,1990,NA,unchanged
690,Kuwait,1961,2025,KWT,unchanged
692,Bahrain,1971,2025,BHR,unchanged
694,Qatar,1971,2025,QAT,unchanged
696,UAE,1971,2025,ARE,unchanged
698,Oman,1920,2025,OMN,unchanged
700,Afghanistan,1816,2025,AFG,unchanged
701,Turkmenistan,1991,2025,TKM,unchanged
702,Tajikistan,1991,2025,TJK,unchanged
703,Kyrgyzstan,1991,2025,KGZ,unchanged
704,Uzbekistan,1991,2025,UZB,unchanged
705,Kazakhstan,1991,2025,KAZ,unchanged
710,China,1816,2025,CHN,unchanged
712,Mongolia,1921,2025,MNG,unchanged
713,Taiwan,1949,2025,TWN,unchanged
730,Korea,1816,1910,NA,unchanged
731,North Korea,1948,2025,PRK,unchanged
732,South Korea,1948,2025,KOR,unchanged
740,Japan,1816,2025,JPN,unchanged
750,India,1947,2025,IND,unchanged
770,Pakistan,1947,2025,PAK,unchanged
771,Bangladesh,1971,2025,BGD,unchanged
775,Myanmar,1948,2025,MMR,unchanged
780,Sri Lanka,1948,2025,LKA,unchanged
781,Maldives,1965,2025,MDV,unchanged
790,Nepal,1920,2025,NPL,unchanged
800,Thailand,1816,2025,THA,unchanged
811,Cambodia,1953,2025,KHM,unchanged
812,Laos,1954,2025,LAO,unchanged
816,Vietnam,1954,2025,VNM,unchanged
820,Malaysia,1957,2025,MYS,unchanged
830,Singapore,1965,2025,SGP,unchanged
835,Brunei,1984,2025,BRN,unchanged
840,Philippines,1946,2025,PHL,unchanged
850,Indonesia,1945,2025,IDN,unchanged
860,Timor-Leste,2002,2025,TLS,unchanged
900,Australia,1901,2025,AUS,unchanged
910,Papua New Guinea,1975,2025,PNG,unchanged
920,New Zealand,1907,2025,NZL,unchanged
935,Vanuatu,1980,2025,VUT,unchanged
940,Solomon Islands,1978,2025,SLB,unchanged
946,Kiribati,1979,2025,KIR,unchanged
947,Tuvalu,1978,2025,TUV,unchanged
950,Fiji,1970,2025,FJI,unchanged
955,Tonga,1970,2025,TON,unchanged
970,Nauru,1968,2025,NRU,unchanged
983,Marshall Islands,1991,2025,MHL,unchanged
986,Palau,1994,2025,PLW,unchanged
987,Micronesia,1991,2025,FSM,unchanged
990,Samoa,1962,2025,WSM,unchanged
